G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",hillsdale,86,68,18,86.0,68.0
2,"Mon, Nov 13, 2017",arkansas-state,69,83,4,77.5,75.5
3,"Thu, Nov 16, 2017",howard-payne,112,62,54,89.0,71.0
4,"Mon, Nov 20, 2017",lipscomb,67,75,46,83.5,72.0
5,"Fri, Nov 24, 2017",campbell,85,80,51,83.8,73.6
6,"Sat, Nov 25, 2017",south-carolina-upstate,78,88,41,82.83333333333333,76.0
7,"Sun, Nov 26, 2017",bowling-green-state,88,83,46,83.57142857142857,77.0
8,"Sat, Dec 2, 2017",schreiner,71,43,74,82.0,72.75
9,"Wed, Dec 6, 2017",air-force,62,58,78,79.77777777777777,71.11111111111111
10,"Sat, Dec 9, 2017",texas-state,72,68,82,79.0,70.8
11,"Sun, Dec 17, 2017",lipscomb,65,67,80,77.72727272727273,70.45454545454545
12,"Tue, Dec 19, 2017",arlington-baptist,109,60,129,80.33333333333333,69.58333333333333
13,"Fri, Dec 22, 2017",texas-tech 22,47,74,102,77.76923076923077,69.92307692307692
14,"Thu, Dec 28, 2017",new-orleans,74,77,99,77.5,70.42857142857143
15,"Sat, Dec 30, 2017",sam-houston-state,75,72,102,77.33333333333333,70.53333333333333
16,"Wed, Jan 3, 2018",mcneese-state,79,74,107,77.4375,70.75
17,"Sat, Jan 6, 2018",southeastern-louisiana,70,72,105,77.0,70.82352941176471
18,"Wed, Jan 10, 2018",houston-baptist,82,74,113,77.27777777777777,71.0
19,"Sat, Jan 13, 2018",northwestern-state,69,58,124,76.84210526315789,70.3157894736842
20,"Wed, Jan 17, 2018",stephen-f-austin,66,76,114,76.3,70.6
21,"Sat, Jan 20, 2018",central-arkansas,80,63,131,76.47619047619048,70.23809523809524
22,"Wed, Jan 24, 2018",texas-am-corpus-christi,66,80,117,76.0,70.68181818181819
23,"Wed, Jan 31, 2018",lamar,74,69,122,75.91304347826087,70.6086956521739
24,"Sat, Feb 3, 2018",sam-houston-state,77,84,115,75.95833333333333,71.16666666666667
25,"Wed, Feb 7, 2018",nicholls-state,65,69,111,75.52,71.08
26,"Sat, Feb 10, 2018",incarnate-word,80,69,122,75.6923076923077,71.0
27,"Sat, Feb 17, 2018",southeastern-louisiana,54,68,108,74.88888888888889,70.88888888888889
28,"Thu, Feb 22, 2018",texas-am-corpus-christi,67,76,99,74.60714285714286,71.07142857142857
29,"Sat, Feb 24, 2018",central-arkansas,72,74,97,74.51724137931035,71.17241379310344
30,"Wed, Feb 28, 2018",stephen-f-austin,56,76,77,73.9,71.33333333333333
31,"Sat, Mar 3, 2018",incarnate-word,69,59,87,73.74193548387096,70.93548387096774
G,Date,opponent,Tm,Opp,87,73.74193548387096,70.93548387096774
32,"Mon, Mar 12, 2018",drake,73,80,80,73.71875,71.21875
