G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sun, Nov 12, 2017",texas-state,65,57,8,65.0,57.0
2,"Tue, Nov 14, 2017",canisius,93,79,22,79.0,68.0
3,"Mon, Nov 20, 2017",arkansas-pine-bluff,57,47,32,71.66666666666667,61.0
4,"Tue, Nov 21, 2017",pacific,71,83,20,71.5,66.5
5,"Sun, Nov 26, 2017",colorado,69,81,8,71.0,69.4
6,"Wed, Nov 29, 2017",indiana-state,64,74,-2,69.83333333333333,70.16666666666667
7,"Sat, Dec 2, 2017",denver,61,59,0,68.57142857142857,68.57142857142857
8,"Mon, Dec 4, 2017",western-state,79,67,12,69.875,68.375
9,"Wed, Dec 6, 2017",abilene-christian,58,62,8,68.55555555555556,67.66666666666667
10,"Fri, Dec 8, 2017",california-riverside,48,67,-11,66.5,67.6
11,"Sun, Dec 17, 2017",army,54,79,-36,65.36363636363636,68.63636363636364
12,"Fri, Dec 22, 2017",johnson--wales,111,68,7,69.16666666666667,68.58333333333333
13,"Wed, Dec 27, 2017",new-mexico,58,87,-22,68.3076923076923,70.0
14,"Sat, Dec 30, 2017",fresno-state,59,71,-34,67.64285714285714,70.07142857142857
15,"Sat, Jan 6, 2018",nevada,75,86,-45,68.13333333333334,71.13333333333334
16,"Wed, Jan 10, 2018",nevada-las-vegas,76,81,-50,68.625,71.75
17,"Sat, Jan 13, 2018",san-jose-state,78,71,-43,69.17647058823529,71.70588235294117
18,"Wed, Jan 17, 2018",colorado-state,76,71,-38,69.55555555555556,71.66666666666667
19,"Wed, Jan 24, 2018",utah-state,49,71,-60,68.47368421052632,71.63157894736842
20,"Sat, Jan 27, 2018",boise-state,64,70,-66,68.25,71.55
21,"Sat, Feb 3, 2018",san-diego-state,50,81,-97,67.38095238095238,72.0
22,"Tue, Feb 6, 2018",colorado-state,78,73,-92,67.86363636363636,72.04545454545455
23,"Sat, Feb 10, 2018",new-mexico,100,92,-84,69.26086956521739,72.91304347826087
24,"Wed, Feb 14, 2018",nevada-las-vegas,73,81,-92,69.41666666666667,73.25
25,"Sat, Feb 17, 2018",boise-state,52,76,-116,68.72,73.36
26,"Wed, Feb 21, 2018",san-diego-state,56,67,-127,68.23076923076923,73.11538461538461
27,"Sat, Feb 24, 2018",utah-state,75,65,-117,68.48148148148148,72.81481481481481
28,"Mon, Feb 26, 2018",fresno-state,48,54,-123,67.75,72.14285714285714
29,"Wed, Feb 28, 2018",wyoming,54,66,-135,67.27586206896552,71.93103448275862
30,"Sat, Mar 3, 2018",san-jose-state,83,61,-113,67.8,71.56666666666666
G,Date,opponent,Tm,Opp,-113,67.8,71.56666666666666
31,"Wed, Mar 7, 2018",nevada-las-vegas,90,97,-120,68.51612903225806,72.38709677419355
