G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",cleveland-state,67,57,10,67.0,57.0
2,"Sat, Nov 18, 2017",tennessee-martin,76,59,27,71.5,58.0
3,"Sat, Nov 25, 2017",dayton,60,73,14,67.66666666666667,63.0
4,"Tue, Nov 28, 2017",chattanooga,75,70,19,69.5,64.75
5,"Sat, Dec 2, 2017",marshall,64,86,-3,68.4,69.0
6,"Wed, Dec 6, 2017",purdue-fort-wayne,83,79,1,70.83333333333333,70.66666666666667
7,"Sat, Dec 9, 2017",appalachian-state,94,89,6,74.14285714285714,73.28571428571429
8,"Sat, Dec 16, 2017",mississippi-valley-state,81,63,24,75.0,72.0
9,"Fri, Dec 22, 2017",southern-california,53,84,-7,72.55555555555556,73.33333333333333
10,"Sat, Dec 23, 2017",princeton,62,64,-9,71.5,72.4
11,"Mon, Dec 25, 2017",davidson,78,91,-22,72.0909090909091,74.0909090909091
12,"Fri, Dec 29, 2017",concord,86,49,15,73.25,72.0
13,"Tue, Jan 2, 2018",western-michigan,75,87,3,73.38461538461539,73.15384615384616
14,"Fri, Jan 5, 2018",toledo,65,67,1,72.78571428571429,72.71428571428571
15,"Tue, Jan 9, 2018",buffalo,65,87,-21,72.26666666666667,73.66666666666667
16,"Sat, Jan 13, 2018",bowling-green-state,80,78,-19,72.75,73.9375
17,"Tue, Jan 16, 2018",eastern-michigan,49,63,-33,71.3529411764706,73.29411764705883
18,"Sat, Jan 20, 2018",northern-illinois,82,67,-18,71.94444444444444,72.94444444444444
19,"Tue, Jan 23, 2018",ohio,71,68,-15,71.89473684210526,72.6842105263158
20,"Sat, Jan 27, 2018",ball-state,106,111,-20,73.6,74.6
21,"Tue, Jan 30, 2018",miami-oh,64,79,-35,73.14285714285714,74.80952380952381
22,"Sat, Feb 3, 2018",toledo,56,77,-56,72.36363636363636,74.9090909090909
23,"Tue, Feb 6, 2018",ohio,75,99,-80,72.47826086956522,75.95652173913044
24,"Sat, Feb 10, 2018",central-michigan,69,63,-74,72.33333333333333,75.41666666666667
25,"Tue, Feb 13, 2018",ball-state,77,90,-87,72.52,76.0
26,"Sat, Feb 17, 2018",kent-state,68,78,-97,72.34615384615384,76.07692307692308
27,"Tue, Feb 20, 2018",bowling-green-state,81,79,-95,72.66666666666667,76.18518518518519
28,"Sat, Feb 24, 2018",miami-oh,62,64,-97,72.28571428571429,75.75
29,"Tue, Feb 27, 2018",buffalo,68,80,-109,72.13793103448276,75.89655172413794
30,"Fri, Mar 2, 2018",kent-state,67,65,-107,71.96666666666667,75.53333333333333
G,Date,opponent,Tm,Opp,-107,71.96666666666667,75.53333333333333
31,"Mon, Mar 5, 2018",western-michigan,79,78,-106,72.19354838709677,75.61290322580645
32,"Thu, Mar 8, 2018",eastern-michigan,58,67,-115,71.75,75.34375
