G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",ohio,53,61,-8,53.0,61.0
2,"Mon, Nov 13, 2017",samford,68,87,-27,60.5,74.0
3,"Fri, Nov 17, 2017",alabama,67,104,-64,62.666666666666664,84.0
4,"Tue, Nov 21, 2017",minnesota 14,57,100,-107,61.25,88.0
5,"Fri, Nov 24, 2017",niagara,74,96,-129,63.8,89.6
6,"Sat, Nov 25, 2017",western-carolina,72,82,-139,65.16666666666667,88.33333333333333
7,"Wed, Nov 29, 2017",georgia-state,53,63,-149,63.42857142857143,84.71428571428571
8,"Sat, Dec 2, 2017",austin-peay,47,67,-169,61.375,82.5
9,"Mon, Dec 11, 2017",depaul,59,83,-193,61.111111111111114,82.55555555555556
10,"Wed, Dec 13, 2017",southern-mississippi,54,69,-208,60.4,81.2
11,"Sat, Dec 16, 2017",alabama-birmingham,58,90,-240,60.18181818181818,82.0
12,"Thu, Dec 21, 2017",michigan,47,97,-290,59.083333333333336,83.25
13,"Sat, Dec 23, 2017",georgetown,49,89,-330,58.30769230769231,83.6923076923077
14,"Mon, Jan 1, 2018",grambling,71,64,-323,59.214285714285715,82.28571428571429
15,"Wed, Jan 3, 2018",jackson-state,56,59,-326,59.0,80.73333333333333
16,"Sat, Jan 6, 2018",arkansas-pine-bluff,62,69,-333,59.1875,80.0
17,"Mon, Jan 8, 2018",mississippi-valley-state,65,55,-323,59.529411764705884,78.52941176470588
18,"Sat, Jan 13, 2018",alabama-state,67,70,-326,59.94444444444444,78.05555555555556
19,"Sat, Jan 20, 2018",alcorn-state,52,68,-342,59.526315789473685,77.52631578947368
20,"Mon, Jan 22, 2018",southern,61,62,-343,59.6,76.75
21,"Sat, Jan 27, 2018",texas-southern,56,58,-345,59.42857142857143,75.85714285714286
22,"Mon, Jan 29, 2018",prairie-view,67,88,-366,59.77272727272727,76.4090909090909
23,"Sat, Feb 3, 2018",arkansas-pine-bluff,62,80,-384,59.869565217391305,76.56521739130434
24,"Mon, Feb 5, 2018",mississippi-valley-state,67,77,-394,60.166666666666664,76.58333333333333
25,"Sat, Feb 10, 2018",alabama-state,50,69,-413,59.76,76.28
26,"Sat, Feb 17, 2018",alcorn-state,60,80,-433,59.76923076923077,76.42307692307692
27,"Mon, Feb 19, 2018",southern,50,60,-443,59.407407407407405,75.81481481481481
28,"Sat, Feb 24, 2018",texas-southern,71,106,-478,59.82142857142857,76.89285714285714
29,"Mon, Feb 26, 2018",prairie-view,58,71,-491,59.758620689655174,76.6896551724138
30,"Thu, Mar 1, 2018",grambling,74,84,-501,60.233333333333334,76.93333333333334
31,"Sat, Mar 3, 2018",jackson-state,66,59,-494,60.41935483870968,76.35483870967742
