G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",jacksonville,96,67,29,96.0,67.0
2,"Mon, Nov 13, 2017",chattanooga,89,47,71,92.5,57.0
3,"Thu, Nov 16, 2017",lemoyne-owen,81,57,95,88.66666666666667,57.0
4,"Mon, Nov 20, 2017",richmond,50,63,82,79.0,58.5
5,"Tue, Nov 21, 2017",buffalo,91,96,77,81.4,66.0
6,"Wed, Nov 22, 2017",iowa,85,95,67,82.0,70.83333333333333
7,"Sun, Nov 26, 2017",mississippi-college,90,53,104,83.14285714285714,68.28571428571429
8,"Thu, Nov 30, 2017",memphis,71,56,119,81.625,66.75
9,"Tue, Dec 5, 2017",troy,90,78,131,82.55555555555556,68.0
10,"Sat, Dec 9, 2017",auburn,80,85,126,82.3,69.7
11,"Sat, Dec 16, 2017",alabama-am,90,58,158,83.0,68.63636363636364
12,"Wed, Dec 20, 2017",new-orleans,74,67,165,82.25,68.5
13,"Sat, Dec 23, 2017",mississippi-valley-state,74,57,182,81.61538461538461,67.61538461538461
14,"Sat, Dec 30, 2017",middle-tennessee,60,63,179,80.07142857142857,67.28571428571429
15,"Thu, Jan 4, 2018",florida-atlantic,75,44,210,79.73333333333333,65.73333333333333
16,"Sat, Jan 6, 2018",florida-international,75,64,221,79.4375,65.625
17,"Thu, Jan 11, 2018",southern-mississippi,86,75,232,79.82352941176471,66.17647058823529
18,"Sat, Jan 13, 2018",louisiana-tech,74,62,244,79.5,65.94444444444444
19,"Thu, Jan 18, 2018",western-kentucky,69,77,236,78.94736842105263,66.52631578947368
20,"Sat, Jan 20, 2018",marshall,78,86,228,78.9,67.5
21,"Thu, Jan 25, 2018",texas-el-paso,85,78,235,79.19047619047619,68.0
22,"Sat, Jan 27, 2018",texas-san-antonio,70,82,223,78.77272727272727,68.63636363636364
23,"Thu, Feb 1, 2018",charlotte,76,64,235,78.65217391304348,68.43478260869566
24,"Sat, Feb 3, 2018",old-dominion,60,65,230,77.875,68.29166666666667
25,"Thu, Feb 8, 2018",north-texas,60,67,223,77.16,68.24
26,"Sat, Feb 10, 2018",rice,61,56,228,76.53846153846153,67.76923076923077
27,"Thu, Feb 15, 2018",louisiana-tech,60,73,215,75.92592592592592,67.96296296296296
28,"Sat, Feb 17, 2018",southern-mississippi,87,69,233,76.32142857142857,68.0
29,"Sat, Feb 24, 2018",middle-tennessee 24,54,79,208,75.55172413793103,68.37931034482759
30,"Thu, Mar 1, 2018",marshall,91,77,222,76.06666666666666,68.66666666666667
31,"Sat, Mar 3, 2018",western-kentucky,101,73,250,76.87096774193549,68.80645161290323
G,Date,opponent,Tm,Opp,250,76.87096774193549,68.80645161290323
32,"Wed, Mar 7, 2018",florida-atlantic,83,72,261,77.0625,68.90625
33,"Thu, Mar 8, 2018",western-kentucky,70,98,233,76.84848484848484,69.78787878787878
