G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",mississippi-state,68,96,-28,68.0,96.0
2,"Sun, Nov 12, 2017",iowa,58,92,-62,63.0,94.0
3,"Tue, Nov 14, 2017",south-dakota-state,63,94,-93,63.0,94.0
4,"Fri, Nov 17, 2017",oregon,56,114,-151,61.25,99.0
5,"Mon, Nov 20, 2017",chattanooga,50,67,-168,59.0,92.6
6,"Tue, Nov 21, 2017",savannah-state,97,101,-172,65.33333333333333,94.0
7,"Mon, Nov 27, 2017",cincinnati 11,51,83,-204,63.285714285714285,92.42857142857143
8,"Thu, Nov 30, 2017",jacksonville-state,69,77,-212,64.0,90.5
9,"Tue, Dec 12, 2017",tennessee-state,45,64,-231,61.888888888888886,87.55555555555556
10,"Sat, Dec 16, 2017",winthrop,80,88,-239,63.7,87.6
11,"Thu, Dec 21, 2017",louisiana-tech,62,74,-251,63.54545454545455,86.36363636363636
12,"Fri, Dec 22, 2017",liberty,70,87,-268,64.08333333333333,86.41666666666667
13,"Mon, Jan 1, 2018",jackson-state,73,82,-277,64.76923076923077,86.07692307692308
14,"Wed, Jan 3, 2018",grambling,74,66,-269,65.42857142857143,84.64285714285714
15,"Sat, Jan 6, 2018",mississippi-valley-state,63,46,-252,65.26666666666667,82.06666666666666
16,"Mon, Jan 8, 2018",arkansas-pine-bluff,68,94,-278,65.4375,82.8125
17,"Sat, Jan 13, 2018",alabama-am,70,67,-275,65.70588235294117,81.88235294117646
18,"Sat, Jan 20, 2018",southern,61,63,-277,65.44444444444444,80.83333333333333
19,"Mon, Jan 22, 2018",alcorn-state,64,81,-294,65.36842105263158,80.84210526315789
20,"Sat, Jan 27, 2018",prairie-view,80,86,-300,66.1,81.1
21,"Mon, Jan 29, 2018",texas-southern,82,97,-315,66.85714285714286,81.85714285714286
22,"Sat, Feb 3, 2018",mississippi-valley-state,89,85,-311,67.86363636363636,82.0
23,"Mon, Feb 5, 2018",arkansas-pine-bluff,65,59,-305,67.73913043478261,81.0
24,"Sat, Feb 10, 2018",alabama-am,69,50,-286,67.79166666666667,79.70833333333333
25,"Sat, Feb 17, 2018",southern,67,71,-290,67.76,79.36
26,"Mon, Feb 19, 2018",alcorn-state,82,62,-270,68.3076923076923,78.6923076923077
27,"Sat, Feb 24, 2018",prairie-view,74,80,-276,68.51851851851852,78.74074074074075
28,"Mon, Feb 26, 2018",texas-southern,77,95,-294,68.82142857142857,79.32142857142857
29,"Thu, Mar 1, 2018",jackson-state,62,60,-292,68.58620689655173,78.65517241379311
30,"Sat, Mar 3, 2018",grambling,64,66,-294,68.43333333333334,78.23333333333333
G,Date,opponent,Tm,Opp,-294,68.43333333333334,78.23333333333333
31,"Tue, Mar 6, 2018",texas-southern,76,90,-308,68.6774193548387,78.61290322580645
