G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",memphis,82,70,12,82.0,70.0
2,"Tue, Nov 14, 2017",lipscomb,86,64,34,84.0,67.0
3,"Fri, Nov 17, 2017",alabama-am,104,67,71,90.66666666666667,67.0
4,"Tue, Nov 21, 2017",texas-arlington,77,76,72,87.25,69.25
5,"Fri, Nov 24, 2017",brigham-young,71,59,84,84.0,67.2
6,"Sat, Nov 25, 2017",minnesota 14,84,89,79,84.0,70.83333333333333
7,"Wed, Nov 29, 2017",louisiana-tech,77,74,82,83.0,71.28571428571429
8,"Sun, Dec 3, 2017",central-florida,62,65,79,80.375,70.5
9,"Wed, Dec 6, 2017",rhode-island,68,64,83,79.0,69.77777777777777
10,"Sat, Dec 9, 2017",arizona,82,88,77,79.3,71.6
11,"Tue, Dec 19, 2017",mercer,80,79,78,79.36363636363636,72.27272727272727
12,"Fri, Dec 22, 2017",texas,50,66,62,76.91666666666667,71.75
13,"Sat, Dec 30, 2017",texas-am 5,79,57,84,77.07692307692308,70.61538461538461
14,"Tue, Jan 2, 2018",vanderbilt,75,76,83,76.92857142857143,71.0
15,"Sat, Jan 6, 2018",georgia,46,65,64,74.86666666666666,70.6
16,"Tue, Jan 9, 2018",south-carolina,76,62,78,74.9375,70.0625
17,"Sat, Jan 13, 2018",louisiana-state,74,66,86,74.88235294117646,69.82352941176471
18,"Wed, Jan 17, 2018",auburn 17,76,71,91,74.94444444444444,69.88888888888889
19,"Sat, Jan 20, 2018",mississippi-state,68,62,97,74.57894736842105,69.47368421052632
20,"Tue, Jan 23, 2018",mississippi,66,78,85,74.15,69.9
21,"Sat, Jan 27, 2018",oklahoma 12,80,73,92,74.42857142857143,70.04761904761905
22,"Wed, Jan 31, 2018",missouri,60,69,83,73.77272727272727,70.0
23,"Sat, Feb 3, 2018",florida 23,68,50,101,73.52173913043478,69.1304347826087
24,"Tue, Feb 6, 2018",mississippi-state,63,67,97,73.08333333333333,69.04166666666667
25,"Sat, Feb 10, 2018",tennessee 15,78,50,125,73.28,68.28
26,"Tue, Feb 13, 2018",louisiana-state,80,65,140,73.53846153846153,68.15384615384616
27,"Sat, Feb 17, 2018",kentucky,71,81,130,73.44444444444444,68.62962962962963
28,"Wed, Feb 21, 2018",auburn 12,71,90,111,73.35714285714286,69.39285714285714
29,"Sat, Feb 24, 2018",arkansas,73,76,108,73.34482758620689,69.62068965517241
30,"Tue, Feb 27, 2018",florida,52,73,87,72.63333333333334,69.73333333333333
31,"Sat, Mar 3, 2018",texas-am,66,68,85,72.41935483870968,69.6774193548387
G,Date,opponent,Tm,Opp,85,72.41935483870968,69.6774193548387
32,"Thu, Mar 8, 2018",texas-am,71,70,86,72.375,69.6875
33,"Fri, Mar 9, 2018",auburn 16,81,63,104,72.63636363636364,69.48484848484848
34,"Sat, Mar 10, 2018",kentucky,63,86,81,72.3529411764706,69.97058823529412
G,Date,opponent,Tm,Opp,81,72.3529411764706,69.97058823529412
35,"Thu, Mar 15, 2018",virginia-tech,86,83,84,72.74285714285715,70.34285714285714
36,"Sat, Mar 17, 2018",villanova 2,58,81,61,72.33333333333333,70.63888888888889
