G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",iona,69,67,2,69.0,67.0
2,"Mon, Nov 13, 2017",boston-university,88,74,16,78.5,70.5
3,"Fri, Nov 17, 2017",yale,80,72,24,79.0,71.0
4,"Mon, Nov 20, 2017",suny-oneonta,102,77,49,84.75,72.5
5,"Wed, Nov 22, 2017",dartmouth,91,73,67,86.0,72.6
6,"Sat, Nov 25, 2017",holy-cross,78,62,83,84.66666666666667,70.83333333333333
7,"Mon, Nov 27, 2017",monmouth,73,81,75,83.0,72.28571428571429
8,"Wed, Nov 29, 2017",colgate,75,69,81,82.0,71.875
9,"Sat, Dec 2, 2017",columbia,86,82,85,82.44444444444444,73.0
10,"Wed, Dec 6, 2017",bryant,84,68,101,82.6,72.5
11,"Sat, Dec 9, 2017",siena,74,69,106,81.81818181818181,72.18181818181819
12,"Tue, Dec 12, 2017",memphis,58,67,97,79.83333333333333,71.75
13,"Sat, Dec 16, 2017",canisius,68,65,100,78.92307692307692,71.23076923076923
14,"Wed, Dec 20, 2017",louisville,68,70,98,78.14285714285714,71.14285714285714
15,"Thu, Dec 28, 2017",kent-state,78,68,108,78.13333333333334,70.93333333333334
16,"Wed, Jan 3, 2018",hartford,64,72,100,77.25,71.0
17,"Sat, Jan 6, 2018",new-hampshire,61,64,97,76.29411764705883,70.58823529411765
18,"Wed, Jan 10, 2018",stony-brook,78,65,110,76.38888888888889,70.27777777777777
19,"Sat, Jan 13, 2018",maine,84,66,128,76.78947368421052,70.05263157894737
20,"Mon, Jan 15, 2018",binghamton,66,79,115,76.25,70.5
21,"Thu, Jan 18, 2018",massachusetts-lowell,70,62,123,75.95238095238095,70.0952380952381
22,"Sun, Jan 21, 2018",maryland-baltimore-county,83,39,167,76.27272727272727,68.68181818181819
23,"Wed, Jan 24, 2018",vermont,50,61,156,75.1304347826087,68.34782608695652
24,"Sat, Jan 27, 2018",stony-brook,57,50,163,74.375,67.58333333333333
25,"Sat, Feb 3, 2018",new-hampshire,83,74,172,74.72,67.84
26,"Thu, Feb 8, 2018",vermont,67,72,167,74.42307692307692,68.0
27,"Sun, Feb 11, 2018",hartford,69,63,173,74.22222222222223,67.81481481481481
28,"Thu, Feb 15, 2018",massachusetts-lowell,91,81,183,74.82142857142857,68.28571428571429
29,"Sun, Feb 18, 2018",maryland-baltimore-county,60,68,175,74.3103448275862,68.27586206896552
30,"Sat, Feb 24, 2018",maine,89,79,185,74.8,68.63333333333334
31,"Tue, Feb 27, 2018",binghamton,71,54,202,74.6774193548387,68.16129032258064
G,Date,opponent,Tm,Opp,202,74.6774193548387,68.16129032258064
32,"Sat, Mar 3, 2018",stony-brook,60,69,193,74.21875,68.1875
