G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",louisiana-state,59,99,-40,59.0,99.0
2,"Sun, Nov 12, 2017",creighton,72,109,-77,65.5,104.0
3,"Mon, Nov 13, 2017",northern-iowa,45,73,-105,58.666666666666664,93.66666666666667
4,"Fri, Nov 17, 2017",baylor 25,61,78,-122,59.25,89.75
5,"Sun, Nov 19, 2017",central-arkansas,76,102,-148,62.6,92.2
6,"Wed, Nov 22, 2017",yale,73,87,-162,64.33333333333333,91.33333333333333
7,"Sat, Nov 25, 2017",concordia-al,103,56,-115,69.85714285714286,86.28571428571429
8,"Wed, Nov 29, 2017",tulane,65,81,-131,69.25,85.625
9,"Fri, Dec 1, 2017",rust,89,50,-92,71.44444444444444,81.66666666666667
10,"Sun, Dec 10, 2017",iowa-state,58,78,-112,70.1,81.3
11,"Tue, Dec 12, 2017",fisk,77,69,-104,70.72727272727273,80.18181818181819
12,"Mon, Dec 18, 2017",blue-mountain-college,83,56,-77,71.75,78.16666666666667
13,"Fri, Dec 22, 2017",vanderbilt,51,92,-118,70.15384615384616,79.23076923076923
14,"Mon, Jan 1, 2018",prairie-view,64,76,-130,69.71428571428571,79.0
15,"Wed, Jan 3, 2018",texas-southern,70,85,-145,69.73333333333333,79.4
16,"Sat, Jan 6, 2018",jackson-state,55,60,-150,68.8125,78.1875
17,"Mon, Jan 8, 2018",grambling,61,72,-161,68.3529411764706,77.82352941176471
18,"Sat, Jan 13, 2018",mississippi-valley-state,77,63,-147,68.83333333333333,77.0
19,"Mon, Jan 15, 2018",arkansas-pine-bluff,59,71,-159,68.3157894736842,76.6842105263158
20,"Sat, Jan 20, 2018",alabama-am,68,52,-143,68.3,75.45
21,"Mon, Jan 22, 2018",alabama-state,81,64,-126,68.9047619047619,74.9047619047619
22,"Sat, Jan 27, 2018",southern,48,61,-139,67.95454545454545,74.27272727272727
23,"Sat, Feb 3, 2018",jackson-state,57,60,-142,67.47826086956522,73.65217391304348
24,"Mon, Feb 5, 2018",grambling,72,81,-151,67.66666666666667,73.95833333333333
25,"Sat, Feb 10, 2018",mississippi-valley-state,94,90,-147,68.72,74.6
26,"Mon, Feb 12, 2018",arkansas-pine-bluff,84,52,-115,69.3076923076923,73.73076923076923
27,"Sat, Feb 17, 2018",alabama-am,80,60,-95,69.70370370370371,73.22222222222223
28,"Mon, Feb 19, 2018",alabama-state,62,82,-115,69.42857142857143,73.53571428571429
29,"Sat, Feb 24, 2018",southern,89,85,-111,70.10344827586206,73.93103448275862
30,"Thu, Mar 1, 2018",prairie-view,69,79,-121,70.06666666666666,74.1
31,"Sat, Mar 3, 2018",texas-southern,71,78,-128,70.09677419354838,74.2258064516129
G,Date,opponent,Tm,Opp,-128,70.09677419354838,74.2258064516129
32,"Tue, Mar 6, 2018",prairie-view,71,87,-144,70.125,74.625
