G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",kansas-state,45,83,-38,45.0,83.0
2,"Wed, Nov 15, 2017",west-virginia 24,64,98,-72,54.5,90.5
3,"Sat, Nov 18, 2017",wagner,70,71,-73,59.666666666666664,84.0
4,"Tue, Nov 21, 2017",new-hampshire,74,70,-69,63.25,80.5
5,"Sat, Nov 25, 2017",virginia-military-institute,69,64,-64,64.4,77.2
6,"Wed, Nov 29, 2017",saint-francis-pa,89,100,-75,68.5,81.0
7,"Sat, Dec 2, 2017",maryland-eastern-shore,70,74,-79,68.71428571428571,80.0
8,"Wed, Dec 6, 2017",western-illinois,56,69,-92,67.125,78.625
9,"Sat, Dec 9, 2017",howard,74,63,-81,67.88888888888889,76.88888888888889
10,"Mon, Dec 18, 2017",mount-st-marys,56,59,-84,66.7,75.1
11,"Thu, Dec 21, 2017",marquette,51,92,-125,65.27272727272727,76.63636363636364
12,"Fri, Dec 29, 2017",bucknell,55,84,-154,64.41666666666667,77.25
13,"Tue, Jan 2, 2018",colgate,63,72,-163,64.3076923076923,76.84615384615384
14,"Fri, Jan 5, 2018",navy,64,70,-169,64.28571428571429,76.35714285714286
15,"Mon, Jan 8, 2018",army,54,58,-173,63.6,75.13333333333334
16,"Thu, Jan 11, 2018",loyola-md,76,65,-162,64.375,74.5
17,"Sun, Jan 14, 2018",lehigh,66,76,-172,64.47058823529412,74.58823529411765
18,"Wed, Jan 17, 2018",boston-university,69,58,-161,64.72222222222223,73.66666666666667
19,"Sat, Jan 20, 2018",lafayette,53,62,-170,64.10526315789474,73.05263157894737
20,"Mon, Jan 22, 2018",holy-cross,57,60,-173,63.75,72.4
21,"Sat, Jan 27, 2018",colgate,69,83,-187,64.0,72.9047619047619
22,"Wed, Jan 31, 2018",navy,44,61,-204,63.09090909090909,72.36363636363636
23,"Sat, Feb 3, 2018",army,70,82,-216,63.391304347826086,72.78260869565217
24,"Wed, Feb 7, 2018",loyola-md,69,72,-219,63.625,72.75
25,"Sat, Feb 10, 2018",lehigh,78,80,-221,64.2,73.04
26,"Wed, Feb 14, 2018",boston-university,60,56,-217,64.03846153846153,72.38461538461539
27,"Sat, Feb 17, 2018",lafayette,85,90,-222,64.81481481481481,73.03703703703704
28,"Wed, Feb 21, 2018",holy-cross,64,70,-228,64.78571428571429,72.92857142857143
29,"Sat, Feb 24, 2018",bucknell,61,80,-247,64.65517241379311,73.17241379310344
G,Date,opponent,Tm,Opp,-247,64.65517241379311,73.17241379310344
30,"Tue, Feb 27, 2018",lafayette,86,93,-254,65.36666666666666,73.83333333333333
