G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",toccoa-falls,135,34,101,135.0,34.0
2,"Sun, Nov 12, 2017",bridgewater-va,95,57,139,115.0,45.5
3,"Thu, Nov 16, 2017",iowa-state,98,104,133,109.33333333333333,65.0
4,"Fri, Nov 17, 2017",western-michigan,67,86,114,98.75,70.25
5,"Sun, Nov 19, 2017",texas-el-paso,76,72,118,94.2,70.6
6,"Wed, Nov 22, 2017",james-madison,99,105,112,95.0,76.33333333333333
7,"Sat, Nov 25, 2017",davidson,78,62,128,92.57142857142857,74.28571428571429
8,"Tue, Nov 28, 2017",virginia-commonwealth,72,85,115,90.0,75.625
9,"Sat, Dec 2, 2017",south-florida,84,61,138,89.33333333333333,74.0
10,"Mon, Dec 4, 2017",western-carolina,71,72,137,87.5,73.8
11,"Sat, Dec 9, 2017",akron,89,94,132,87.63636363636364,75.63636363636364
12,"Sat, Dec 16, 2017",ohio-state,67,80,119,85.91666666666667,76.0
13,"Wed, Dec 20, 2017",hampton,53,86,86,83.38461538461539,76.76923076923077
14,"Fri, Dec 29, 2017",texas-state,66,62,90,82.14285714285714,75.71428571428571
15,"Sun, Dec 31, 2017",texas-arlington,80,76,94,82.0,75.73333333333333
16,"Thu, Jan 4, 2018",louisiana-lafayette,45,78,61,79.6875,75.875
17,"Sat, Jan 6, 2018",louisiana-monroe,79,73,67,79.6470588235294,75.70588235294117
18,"Thu, Jan 11, 2018",georgia-state,58,71,54,78.44444444444444,75.44444444444444
19,"Sat, Jan 13, 2018",georgia-southern,59,60,53,77.42105263157895,74.63157894736842
20,"Sat, Jan 20, 2018",south-alabama,77,83,47,77.4,75.05
21,"Mon, Jan 22, 2018",troy,79,81,45,77.47619047619048,75.33333333333333
22,"Thu, Jan 25, 2018",arkansas-little-rock,72,67,50,77.22727272727273,74.95454545454545
23,"Sat, Jan 27, 2018",arkansas-state,88,93,45,77.69565217391305,75.73913043478261
24,"Thu, Feb 1, 2018",texas-arlington,77,89,33,77.66666666666667,76.29166666666667
25,"Sat, Feb 3, 2018",texas-state,59,56,36,76.92,75.48
26,"Sat, Feb 10, 2018",coastal-carolina,81,66,51,77.07692307692308,75.11538461538461
27,"Thu, Feb 15, 2018",south-alabama,66,77,40,76.66666666666667,75.18518518518519
28,"Sat, Feb 17, 2018",troy,65,54,51,76.25,74.42857142857143
29,"Thu, Feb 22, 2018",arkansas-state,79,82,48,76.34482758620689,74.6896551724138
30,"Sat, Feb 24, 2018",arkansas-little-rock,69,67,50,76.1,74.43333333333334
31,"Sat, Mar 3, 2018",coastal-carolina,76,67,59,76.09677419354838,74.19354838709677
G,Date,opponent,Tm,Opp,59,76.09677419354838,74.19354838709677
32,"Wed, Mar 7, 2018",arkansas-little-rock,93,64,88,76.625,73.875
33,"Fri, Mar 9, 2018",texas-arlington,68,84,72,76.36363636363636,74.18181818181819
