G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",idaho-state,94,74,20,94.0,74.0
2,"Tue, Nov 14, 2017",san-diego-state,90,68,42,92.0,71.0
3,"Fri, Nov 17, 2017",northern-arizona,97,62,77,93.66666666666667,68.0
4,"Sun, Nov 19, 2017",california-irvine,99,78,98,95.0,70.5
5,"Thu, Nov 23, 2017",kansas-state,92,90,100,94.4,74.4
6,"Fri, Nov 24, 2017",xavier 15,102,86,116,95.66666666666667,76.33333333333333
7,"Sat, Dec 2, 2017",san-francisco,75,57,134,92.71428571428571,73.57142857142857
8,"Fri, Dec 8, 2017",st-johns-ny,82,70,146,91.375,73.125
9,"Sun, Dec 10, 2017",kansas 2,95,85,156,91.77777777777777,74.44444444444444
10,"Sun, Dec 17, 2017",vanderbilt,76,64,168,90.2,73.4
11,"Tue, Dec 19, 2017",longwood,95,61,202,90.63636363636364,72.27272727272727
12,"Fri, Dec 22, 2017",pacific,104,65,241,91.75,71.66666666666667
13,"Sat, Dec 30, 2017",arizona 17,78,84,235,90.6923076923077,72.61538461538461
14,"Thu, Jan 4, 2018",colorado,81,90,226,90.0,73.85714285714286
15,"Sun, Jan 7, 2018",utah,80,77,229,89.33333333333333,74.06666666666666
16,"Thu, Jan 11, 2018",oregon,72,76,225,88.25,74.1875
17,"Sat, Jan 13, 2018",oregon-state,77,75,227,87.58823529411765,74.23529411764706
18,"Wed, Jan 17, 2018",stanford,77,86,218,87.0,74.88888888888889
19,"Sat, Jan 20, 2018",california,81,73,226,86.6842105263158,74.78947368421052
20,"Thu, Jan 25, 2018",utah,77,80,223,86.2,75.05
21,"Sat, Jan 27, 2018",colorado,80,66,237,85.9047619047619,74.61904761904762
22,"Thu, Feb 1, 2018",washington,64,68,233,84.9090909090909,74.31818181818181
23,"Sun, Feb 4, 2018",washington-state,88,78,243,85.04347826086956,74.47826086956522
24,"Thu, Feb 8, 2018",southern-california,80,78,245,84.83333333333333,74.625
25,"Sat, Feb 10, 2018",ucla,88,79,254,84.96,74.8
26,"Thu, Feb 15, 2018",arizona 17,70,77,247,84.38461538461539,74.88461538461539
27,"Thu, Feb 22, 2018",oregon,68,75,240,83.77777777777777,74.88888888888889
28,"Sat, Feb 24, 2018",oregon-state,75,79,236,83.46428571428571,75.03571428571429
29,"Thu, Mar 1, 2018",california,84,53,267,83.48275862068965,74.27586206896552
30,"Sat, Mar 3, 2018",stanford,83,84,266,83.46666666666667,74.6
G,Date,opponent,Tm,Opp,266,83.46666666666667,74.6
31,"Wed, Mar 7, 2018",colorado,85,97,254,83.51612903225806,75.3225806451613
G,Date,opponent,Tm,Opp,254,83.51612903225806,75.3225806451613
32,"Wed, Mar 14, 2018",syracuse,56,60,250,82.65625,74.84375
