G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",northern-arizona,101,67,34,101.0,67.0
2,"Sun, Nov 12, 2017",maryland-baltimore-county,103,78,59,102.0,72.5
3,"Thu, Nov 16, 2017",cal-state-bakersfield,91,59,91,98.33333333333333,68.0
4,"Wed, Nov 22, 2017",north-carolina-state,84,90,85,94.75,73.5
5,"Thu, Nov 23, 2017",southern-methodist,60,66,79,87.8,72.0
6,"Fri, Nov 24, 2017",purdue 18,64,89,54,83.83333333333333,74.83333333333333
7,"Wed, Nov 29, 2017",long-beach-state,91,56,89,84.85714285714286,72.14285714285714
8,"Sat, Dec 2, 2017",nevada-las-vegas,91,88,92,85.625,74.125
9,"Tue, Dec 5, 2017",texas-am 7,67,64,95,83.55555555555556,73.0
10,"Sat, Dec 9, 2017",alabama,88,82,101,84.0,73.9
11,"Sat, Dec 16, 2017",new-mexico,89,73,117,84.45454545454545,73.81818181818181
12,"Mon, Dec 18, 2017",north-dakota-state,83,53,147,84.33333333333333,72.08333333333333
13,"Thu, Dec 21, 2017",connecticut,73,58,162,83.46153846153847,71.0
14,"Sat, Dec 30, 2017",arizona-state 3,84,78,168,83.5,71.5
15,"Thu, Jan 4, 2018",utah,94,82,180,84.2,72.2
16,"Sat, Jan 6, 2018",colorado,77,80,177,83.75,72.6875
17,"Thu, Jan 11, 2018",oregon-state,62,53,186,82.47058823529412,71.52941176470588
18,"Sat, Jan 13, 2018",oregon,90,83,193,82.88888888888889,72.16666666666667
19,"Wed, Jan 17, 2018",california,79,58,214,82.6842105263158,71.42105263157895
20,"Sat, Jan 20, 2018",stanford,73,71,216,82.2,71.4
21,"Thu, Jan 25, 2018",colorado,80,71,225,82.0952380952381,71.38095238095238
22,"Sat, Jan 27, 2018",utah,74,73,226,81.72727272727273,71.45454545454545
23,"Wed, Jan 31, 2018",washington-state,100,72,254,82.52173913043478,71.47826086956522
24,"Sat, Feb 3, 2018",washington,75,78,251,82.20833333333333,71.75
25,"Thu, Feb 8, 2018",ucla,74,82,243,81.88,72.16
26,"Sat, Feb 10, 2018",southern-california,81,67,257,81.84615384615384,71.96153846153847
27,"Thu, Feb 15, 2018",arizona-state 25,77,70,264,81.66666666666667,71.88888888888889
28,"Thu, Feb 22, 2018",oregon-state,75,65,274,81.42857142857143,71.64285714285714
29,"Sat, Feb 24, 2018",oregon,93,98,269,81.82758620689656,72.55172413793103
30,"Thu, Mar 1, 2018",stanford,75,67,277,81.6,72.36666666666666
31,"Sat, Mar 3, 2018",california,66,54,289,81.09677419354838,71.7741935483871
G,Date,opponent,Tm,Opp,289,81.09677419354838,71.7741935483871
32,"Thu, Mar 8, 2018",colorado,83,67,305,81.15625,71.625
33,"Fri, Mar 9, 2018",ucla,78,67,316,81.06060606060606,71.48484848484848
34,"Sat, Mar 10, 2018",southern-california,75,61,330,80.88235294117646,71.17647058823529
G,Date,opponent,Tm,Opp,330,80.88235294117646,71.17647058823529
35,"Thu, Mar 15, 2018",buffalo,68,89,309,80.51428571428572,71.68571428571428
