G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",ouachita,79,81,-2,79.0,81.0
2,"Tue, Nov 14, 2017",memphis,62,70,-10,70.5,75.5
3,"Sat, Nov 18, 2017",grand-canyon,51,76,-35,64.0,75.66666666666667
4,"Mon, Nov 20, 2017",san-diego,52,66,-49,61.0,73.25
5,"Sat, Nov 25, 2017",robert-morris,64,78,-63,61.6,74.2
6,"Sun, Nov 26, 2017",norfolk-state,70,55,-48,63.0,71.0
7,"Wed, Nov 29, 2017",central-arkansas,71,65,-42,64.14285714285714,70.14285714285714
8,"Sat, Dec 2, 2017",oral-roberts,66,74,-50,64.375,70.625
9,"Sat, Dec 9, 2017",central-arkansas,54,69,-65,63.22222222222222,70.44444444444444
10,"Wed, Dec 13, 2017",bradley,46,86,-105,61.5,72.0
11,"Fri, Dec 15, 2017",sam-houston-state,55,57,-107,60.90909090909091,70.63636363636364
12,"Mon, Dec 18, 2017",university-of-the-ozarks,94,49,-62,63.666666666666664,68.83333333333333
13,"Wed, Dec 20, 2017",mississippi-state,48,64,-78,62.46153846153846,68.46153846153847
14,"Fri, Dec 29, 2017",louisiana-lafayette,63,77,-92,62.5,69.07142857142857
15,"Sun, Dec 31, 2017",louisiana-monroe,71,62,-83,63.06666666666667,68.6
16,"Thu, Jan 4, 2018",georgia-state,64,73,-92,63.125,68.875
17,"Sat, Jan 6, 2018",georgia-southern,69,72,-95,63.470588235294116,69.05882352941177
18,"Thu, Jan 11, 2018",texas-arlington,77,65,-83,64.22222222222223,68.83333333333333
19,"Sat, Jan 13, 2018",texas-state,70,72,-85,64.52631578947368,69.0
20,"Sat, Jan 20, 2018",arkansas-state,62,70,-93,64.4,69.05
21,"Thu, Jan 25, 2018",appalachian-state,67,72,-98,64.52380952380952,69.19047619047619
22,"Sat, Jan 27, 2018",coastal-carolina,62,72,-108,64.4090909090909,69.31818181818181
23,"Thu, Feb 1, 2018",georgia-southern,61,67,-114,64.26086956521739,69.21739130434783
24,"Sat, Feb 3, 2018",georgia-state,51,81,-144,63.708333333333336,69.70833333333333
25,"Thu, Feb 8, 2018",south-alabama,56,73,-161,63.4,69.84
26,"Sat, Feb 10, 2018",troy,64,82,-179,63.42307692307692,70.3076923076923
27,"Sat, Feb 17, 2018",arkansas-state,82,78,-175,64.11111111111111,70.5925925925926
28,"Thu, Feb 22, 2018",coastal-carolina,60,65,-180,63.964285714285715,70.39285714285714
29,"Sat, Feb 24, 2018",appalachian-state,67,69,-182,64.06896551724138,70.34482758620689
30,"Thu, Mar 1, 2018",louisiana-monroe,44,48,-186,63.4,69.6
31,"Sat, Mar 3, 2018",louisiana-lafayette,72,61,-175,63.67741935483871,69.3225806451613
G,Date,opponent,Tm,Opp,-175,63.67741935483871,69.3225806451613
32,"Wed, Mar 7, 2018",appalachian-state,64,93,-204,63.6875,70.0625
