G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",hawaii,70,82,-12,70.0,82.0
2,"Sun, Nov 12, 2017",troy,57,81,-36,63.5,81.5
3,"Mon, Nov 13, 2017",north-dakota,71,80,-45,66.0,81.0
4,"Sat, Nov 18, 2017",southern-methodist,37,72,-80,58.75,78.75
5,"Mon, Nov 20, 2017",air-force,47,57,-90,56.4,74.4
6,"Wed, Nov 22, 2017",texas-state,54,71,-107,56.0,73.83333333333333
7,"Fri, Nov 24, 2017",pacific,69,78,-116,57.857142857142854,74.42857142857143
8,"Sat, Nov 25, 2017",canisius,58,81,-139,57.875,75.25
9,"Sat, Dec 2, 2017",santa-clara,57,72,-154,57.77777777777778,74.88888888888889
10,"Sat, Dec 9, 2017",oregon-state,58,85,-181,57.8,75.9
11,"Wed, Dec 13, 2017",fresno-state,52,78,-207,57.27272727272727,76.0909090909091
12,"Sat, Dec 16, 2017",weber-state,74,96,-229,58.666666666666664,77.75
13,"Tue, Dec 19, 2017",cincinnati 20,49,77,-257,57.92307692307692,77.6923076923077
14,"Fri, Dec 22, 2017",tennessee-martin,68,74,-263,58.642857142857146,77.42857142857143
15,"Mon, Jan 1, 2018",mississippi-valley-state,80,71,-254,60.06666666666667,77.0
16,"Sat, Jan 6, 2018",alabama-am,69,62,-247,60.625,76.0625
17,"Mon, Jan 8, 2018",alabama-state,94,68,-221,62.588235294117645,75.58823529411765
18,"Sat, Jan 13, 2018",southern,78,76,-219,63.44444444444444,75.61111111111111
19,"Mon, Jan 15, 2018",alcorn-state,71,59,-207,63.8421052631579,74.73684210526316
20,"Sat, Jan 20, 2018",prairie-view,72,66,-201,64.25,74.3
21,"Mon, Jan 22, 2018",texas-southern,74,72,-199,64.71428571428571,74.19047619047619
22,"Sat, Jan 27, 2018",grambling,68,69,-200,64.86363636363636,73.95454545454545
23,"Mon, Jan 29, 2018",jackson-state,60,58,-198,64.65217391304348,73.26086956521739
24,"Sat, Feb 3, 2018",alabama-am,80,62,-180,65.29166666666667,72.79166666666667
25,"Mon, Feb 5, 2018",alabama-state,59,65,-186,65.04,72.48
26,"Sat, Feb 10, 2018",southern,62,70,-194,64.92307692307692,72.38461538461539
27,"Mon, Feb 12, 2018",alcorn-state,52,84,-226,64.44444444444444,72.81481481481481
28,"Sat, Feb 17, 2018",prairie-view,71,76,-231,64.67857142857143,72.92857142857143
29,"Mon, Feb 19, 2018",texas-southern,62,61,-230,64.58620689655173,72.51724137931035
30,"Sat, Feb 24, 2018",grambling,75,66,-221,64.93333333333334,72.3
31,"Mon, Feb 26, 2018",jackson-state,48,51,-224,64.38709677419355,71.61290322580645
32,"Sat, Mar 3, 2018",mississippi-valley-state,94,57,-187,65.3125,71.15625
G,Date,opponent,Tm,Opp,-187,65.3125,71.15625
33,"Tue, Mar 6, 2018",mississippi-valley-state,77,73,-183,65.66666666666667,71.21212121212122
34,"Fri, Mar 9, 2018",southern,71,65,-177,65.82352941176471,71.02941176470588
35,"Sat, Mar 10, 2018",texas-southern,69,84,-192,65.91428571428571,71.4
