G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",evansville,63,77,-14,63.0,77.0
2,"Mon, Nov 13, 2017",abilene-christian,83,69,0,73.0,73.0
3,"Thu, Nov 16, 2017",eastern-michigan,59,76,-17,68.33333333333333,74.0
4,"Mon, Nov 20, 2017",howard,92,78,-3,74.25,75.0
5,"Wed, Nov 22, 2017",indiana,70,87,-20,73.4,77.4
6,"Fri, Nov 24, 2017",south-florida,61,72,-31,71.33333333333333,76.5
7,"Wed, Nov 29, 2017",cleveland-state,72,75,-34,71.42857142857143,76.28571428571429
8,"Tue, Dec 5, 2017",tennessee-martin,78,92,-48,72.25,78.25
9,"Sat, Dec 9, 2017",henderson-state,90,76,-34,74.22222222222223,78.0
10,"Wed, Dec 13, 2017",nebraska-omaha,74,77,-37,74.2,77.9
11,"Sat, Dec 16, 2017",florida-atlantic,64,63,-36,73.27272727272727,76.54545454545455
12,"Tue, Dec 19, 2017",wichita-state 11,80,89,-45,73.83333333333333,77.58333333333333
13,"Fri, Dec 22, 2017",culver-stockton,99,68,-14,75.76923076923077,76.84615384615384
14,"Fri, Dec 29, 2017",louisiana-monroe,75,64,-3,75.71428571428571,75.92857142857143
15,"Sun, Dec 31, 2017",louisiana-lafayette,78,88,-13,75.86666666666666,76.73333333333333
16,"Thu, Jan 4, 2018",georgia-southern,49,80,-44,74.1875,76.9375
17,"Sat, Jan 6, 2018",georgia-state,75,79,-48,74.23529411764706,77.05882352941177
18,"Thu, Jan 11, 2018",texas-state,67,73,-54,73.83333333333333,76.83333333333333
19,"Sat, Jan 13, 2018",texas-arlington,71,97,-80,73.6842105263158,77.89473684210526
20,"Sat, Jan 20, 2018",arkansas-little-rock,70,62,-72,73.5,77.1
21,"Thu, Jan 25, 2018",coastal-carolina,47,62,-87,72.23809523809524,76.38095238095238
22,"Sat, Jan 27, 2018",appalachian-state,93,88,-82,73.18181818181819,76.9090909090909
23,"Thu, Feb 1, 2018",georgia-state,66,77,-93,72.8695652173913,76.91304347826087
24,"Sat, Feb 3, 2018",georgia-southern,91,89,-91,73.625,77.41666666666667
25,"Thu, Feb 8, 2018",troy,83,89,-97,74.0,77.88
26,"Sat, Feb 10, 2018",south-alabama,67,87,-117,73.73076923076923,78.23076923076923
27,"Sat, Feb 17, 2018",arkansas-little-rock,78,82,-121,73.88888888888889,78.37037037037037
28,"Thu, Feb 22, 2018",appalachian-state,82,79,-118,74.17857142857143,78.39285714285714
29,"Sat, Feb 24, 2018",coastal-carolina,81,88,-125,74.41379310344827,78.72413793103448
30,"Thu, Mar 1, 2018",louisiana-lafayette,74,85,-136,74.4,78.93333333333334
31,"Sat, Mar 3, 2018",louisiana-monroe,83,79,-132,74.6774193548387,78.93548387096774
G,Date,opponent,Tm,Opp,-132,74.6774193548387,78.93548387096774
32,"Wed, Mar 7, 2018",louisiana-monroe,54,76,-154,74.03125,78.84375
