G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",samford,95,56,39,95.0,56.0
2,"Sun, Nov 12, 2017",bucknell,101,73,67,98.0,64.5
3,"Fri, Nov 17, 2017",fresno-state,83,75,75,93.0,68.0
4,"Thu, Nov 23, 2017",oklahoma,92,83,84,92.75,71.75
5,"Fri, Nov 24, 2017",north-carolina 9,68,87,65,87.8,74.8
6,"Sun, Nov 26, 2017",connecticut,102,67,100,90.16666666666667,73.5
7,"Sat, Dec 2, 2017",houston,65,91,74,86.57142857142857,76.0
8,"Tue, Dec 5, 2017",colorado-state,92,66,100,87.25,74.75
9,"Sat, Dec 9, 2017",minnesota 14,95,79,116,88.11111111111111,75.22222222222223
10,"Sat, Dec 16, 2017",troy,88,63,141,88.1,74.0
11,"Tue, Dec 19, 2017",oral-roberts,104,69,176,89.54545454545455,73.54545454545455
12,"Wed, Dec 27, 2017",cal-state-bakersfield,95,68,203,90.0,73.08333333333333
13,"Sat, Dec 30, 2017",tennessee 19,95,93,205,90.38461538461539,74.61538461538461
14,"Tue, Jan 2, 2018",mississippi-state,75,78,202,89.28571428571429,74.85714285714286
15,"Sat, Jan 6, 2018",auburn,77,88,191,88.46666666666667,75.73333333333333
16,"Wed, Jan 10, 2018",louisiana-state,54,75,170,86.3125,75.6875
17,"Sat, Jan 13, 2018",missouri,65,63,172,85.05882352941177,74.94117647058823
18,"Wed, Jan 17, 2018",florida,73,88,157,84.38888888888889,75.66666666666667
19,"Sat, Jan 20, 2018",mississippi,97,93,161,85.05263157894737,76.57894736842105
20,"Tue, Jan 23, 2018",georgia,80,77,164,84.8,76.6
21,"Sat, Jan 27, 2018",oklahoma-state,66,65,165,83.9047619047619,76.04761904761905
22,"Tue, Jan 30, 2018",texas-am,66,80,151,83.0909090909091,76.22727272727273
23,"Sat, Feb 3, 2018",louisiana-state,86,94,143,83.21739130434783,77.0
24,"Tue, Feb 6, 2018",south-carolina,81,65,159,83.125,76.5
25,"Sat, Feb 10, 2018",vanderbilt,72,54,177,82.68,75.6
26,"Tue, Feb 13, 2018",mississippi,75,64,188,82.38461538461539,75.15384615384616
27,"Sat, Feb 17, 2018",texas-am 21,94,75,207,82.81481481481481,75.14814814814815
28,"Tue, Feb 20, 2018",kentucky,72,87,192,82.42857142857143,75.57142857142857
29,"Sat, Feb 24, 2018",alabama,76,73,195,82.20689655172414,75.48275862068965
30,"Tue, Feb 27, 2018",auburn 14,91,82,204,82.5,75.7
31,"Sat, Mar 3, 2018",missouri,67,77,194,82.0,75.74193548387096
G,Date,opponent,Tm,Opp,194,82.0,75.74193548387096
32,"Thu, Mar 8, 2018",south-carolina,69,64,199,81.59375,75.375
33,"Fri, Mar 9, 2018",florida 23,80,72,207,81.54545454545455,75.27272727272727
34,"Sat, Mar 10, 2018",tennessee 13,66,84,189,81.08823529411765,75.52941176470588
G,Date,opponent,Tm,Opp,189,81.08823529411765,75.52941176470588
35,"Fri, Mar 16, 2018",butler,62,79,172,80.54285714285714,75.62857142857143
