G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",hofstra,74,77,-3,74.0,77.0
2,"Tue, Nov 14, 2017",john-jay,92,43,46,83.0,60.0
3,"Sat, Nov 18, 2017",marist,94,73,67,86.66666666666667,64.33333333333333
4,"Tue, Nov 21, 2017",columbia,88,78,77,87.0,67.75
5,"Mon, Nov 27, 2017",niagara,71,77,71,83.8,69.6
6,"Fri, Dec 1, 2017",maryland-baltimore-county,81,70,82,83.33333333333333,69.66666666666667
7,"Sat, Dec 2, 2017",marist,82,75,89,83.14285714285714,70.42857142857143
8,"Wed, Dec 6, 2017",binghamton,66,71,84,81.0,70.5
9,"Fri, Dec 8, 2017",wake-forest,80,109,55,80.88888888888889,74.77777777777777
10,"Tue, Dec 12, 2017",st-francis-ny,76,64,67,80.4,73.7
11,"Sun, Dec 17, 2017",air-force,79,54,92,80.27272727272727,71.9090909090909
12,"Fri, Dec 29, 2017",boston-university,82,90,84,80.41666666666667,73.41666666666667
13,"Tue, Jan 2, 2018",loyola-md,86,75,95,80.84615384615384,73.53846153846153
14,"Fri, Jan 5, 2018",bucknell,66,83,78,79.78571428571429,74.21428571428571
15,"Mon, Jan 8, 2018",american,58,54,82,78.33333333333333,72.86666666666666
16,"Thu, Jan 11, 2018",lafayette,81,71,92,78.5,72.75
17,"Sun, Jan 14, 2018",navy,64,62,94,77.6470588235294,72.11764705882354
18,"Wed, Jan 17, 2018",holy-cross,66,70,90,77.0,72.0
19,"Sat, Jan 20, 2018",lehigh,93,81,102,77.84210526315789,72.47368421052632
20,"Wed, Jan 24, 2018",colgate,78,81,99,77.85,72.9
21,"Sat, Jan 27, 2018",loyola-md,68,79,88,77.38095238095238,73.19047619047619
22,"Wed, Jan 31, 2018",bucknell,71,83,76,77.0909090909091,73.63636363636364
23,"Sat, Feb 3, 2018",american,82,70,88,77.30434782608695,73.47826086956522
24,"Wed, Feb 7, 2018",lafayette,54,81,61,76.33333333333333,73.79166666666667
25,"Sat, Feb 10, 2018",navy,59,68,52,75.64,73.56
26,"Wed, Feb 14, 2018",holy-cross,65,70,47,75.23076923076923,73.42307692307692
27,"Sat, Feb 17, 2018",lehigh,53,84,16,74.4074074074074,73.81481481481481
28,"Wed, Feb 21, 2018",colgate,83,87,12,74.71428571428571,74.28571428571429
29,"Sat, Feb 24, 2018",boston-university,59,61,10,74.17241379310344,73.82758620689656
G,Date,opponent,Tm,Opp,10,74.17241379310344,73.82758620689656
30,"Tue, Feb 27, 2018",loyola-md,79,82,7,74.33333333333333,74.1
