G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",norfolk-state,102,74,28,102.0,74.0
2,"Thu, Nov 16, 2017",indiana-state,83,64,47,92.5,69.0
3,"Fri, Nov 17, 2017",temple,74,88,33,86.33333333333333,75.33333333333333
4,"Sun, Nov 19, 2017",hofstra,89,78,44,87.0,76.0
5,"Fri, Nov 24, 2017",winthrop,119,85,78,93.4,77.8
6,"Wed, Nov 29, 2017",dayton,73,60,91,90.0,74.83333333333333
7,"Sun, Dec 3, 2017",george-mason,79,63,107,88.42857142857143,73.14285714285714
8,"Wed, Dec 6, 2017",gardner-webb,80,55,132,87.375,70.875
9,"Sat, Dec 9, 2017",alabama-birmingham,85,80,137,87.11111111111111,71.88888888888889
10,"Sat, Dec 16, 2017",middle-tennessee,76,70,143,86.0,71.7
11,"Tue, Dec 19, 2017",murray-state,81,77,147,85.54545454545455,72.18181818181819
12,"Sat, Dec 23, 2017",connecticut,89,64,172,85.83333333333333,71.5
13,"Sat, Dec 30, 2017",cornell,98,77,193,86.76923076923077,71.92307692307692
14,"Tue, Jan 2, 2018",tennessee 23,94,84,203,87.28571428571429,72.78571428571429
15,"Sat, Jan 6, 2018",arkansas 22,88,77,214,87.33333333333333,73.06666666666666
16,"Tue, Jan 9, 2018",mississippi,85,70,229,87.1875,72.875
17,"Sat, Jan 13, 2018",mississippi-state,76,68,237,86.52941176470588,72.58823529411765
18,"Wed, Jan 17, 2018",alabama,71,76,232,85.66666666666667,72.77777777777777
19,"Sat, Jan 20, 2018",georgia,79,65,246,85.3157894736842,72.36842105263158
20,"Wed, Jan 24, 2018",missouri,91,73,264,85.6,72.4
21,"Sat, Jan 27, 2018",louisiana-state,95,70,289,86.04761904761905,72.28571428571429
22,"Tue, Jan 30, 2018",mississippi,79,70,298,85.72727272727273,72.18181818181819
23,"Sat, Feb 3, 2018",vanderbilt,93,81,310,86.04347826086956,72.56521739130434
24,"Wed, Feb 7, 2018",texas-am,80,81,309,85.79166666666667,72.91666666666667
25,"Sat, Feb 10, 2018",georgia,78,61,326,85.48,72.44
26,"Wed, Feb 14, 2018",kentucky,76,66,336,85.11538461538461,72.1923076923077
27,"Sat, Feb 17, 2018",south-carolina,75,84,327,84.74074074074075,72.62962962962963
28,"Wed, Feb 21, 2018",alabama,90,71,346,84.92857142857143,72.57142857142857
29,"Sat, Feb 24, 2018",florida,66,72,340,84.27586206896552,72.55172413793103
30,"Tue, Feb 27, 2018",arkansas,82,91,331,84.2,73.16666666666667
31,"Sat, Mar 3, 2018",south-carolina,79,70,340,84.03225806451613,73.06451612903226
G,Date,opponent,Tm,Opp,340,84.03225806451613,73.06451612903226
32,"Fri, Mar 9, 2018",alabama,63,81,322,83.375,73.3125
G,Date,opponent,Tm,Opp,322,83.375,73.3125
33,"Fri, Mar 16, 2018",college-of-charleston,62,58,326,82.72727272727273,72.84848484848484
34,"Sun, Mar 18, 2018",clemson 20,53,84,295,81.8529411764706,73.17647058823529
