G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",vanderbilt,54,73,-19,54.0,73.0
2,"Mon, Nov 13, 2017",virginia,49,93,-63,51.5,83.0
3,"Wed, Nov 15, 2017",oakland-city,109,50,-4,70.66666666666667,72.0
4,"Sun, Nov 19, 2017",north-carolina-asheville,79,82,-7,72.75,74.5
5,"Wed, Nov 22, 2017",bethel-tn,90,58,25,76.2,71.2
6,"Sun, Nov 26, 2017",miami-oh,86,61,50,77.83333333333333,69.5
7,"Wed, Nov 29, 2017",oklahoma-state,63,79,34,75.71428571428571,70.85714285714286
8,"Sat, Dec 2, 2017",alabama-am,67,47,54,74.625,67.875
9,"Wed, Dec 6, 2017",illinois,57,64,47,72.66666666666667,67.44444444444444
10,"Sat, Dec 16, 2017",evansville,74,78,43,72.8,68.5
11,"Tue, Dec 19, 2017",troy,75,73,45,73.0,68.9090909090909
12,"Fri, Dec 22, 2017",western-kentucky,55,72,28,71.5,69.16666666666667
13,"Thu, Dec 28, 2017",southern-illinois-edwardsville,78,58,48,72.0,68.3076923076923
14,"Sat, Dec 30, 2017",eastern-illinois,70,54,64,71.85714285714286,67.28571428571429
15,"Thu, Jan 4, 2018",tennessee-martin,75,69,70,72.06666666666666,67.4
16,"Sat, Jan 6, 2018",southeast-missouri-state,76,71,75,72.3125,67.625
17,"Thu, Jan 11, 2018",tennessee-tech,74,86,63,72.41176470588235,68.70588235294117
18,"Sat, Jan 13, 2018",jacksonville-state,87,67,83,73.22222222222223,68.61111111111111
19,"Thu, Jan 18, 2018",tennessee-state,56,70,69,72.3157894736842,68.6842105263158
20,"Sat, Jan 20, 2018",belmont,59,83,45,71.65,69.4
21,"Thu, Jan 25, 2018",eastern-kentucky,90,84,51,72.52380952380952,70.0952380952381
22,"Sat, Jan 27, 2018",morehead-state,92,76,67,73.4090909090909,70.36363636363636
23,"Thu, Feb 1, 2018",tennessee-martin,59,57,69,72.78260869565217,69.78260869565217
24,"Sat, Feb 3, 2018",southeast-missouri-state,96,81,84,73.75,70.25
25,"Thu, Feb 8, 2018",murray-state,63,84,63,73.32,70.8
26,"Sat, Feb 10, 2018",eastern-illinois,76,69,70,73.42307692307692,70.73076923076923
27,"Thu, Feb 15, 2018",tennessee-tech,80,86,64,73.66666666666667,71.29629629629629
28,"Sat, Feb 17, 2018",jacksonville-state,60,57,67,73.17857142857143,70.78571428571429
29,"Thu, Feb 22, 2018",southern-illinois-edwardsville,86,82,71,73.62068965517241,71.17241379310344
30,"Sat, Feb 24, 2018",murray-state,64,73,62,73.3,71.23333333333333
G,Date,opponent,Tm,Opp,62,73.3,71.23333333333333
31,"Thu, Mar 1, 2018",eastern-illinois,73,66,69,73.29032258064517,71.06451612903226
32,"Fri, Mar 2, 2018",belmont,79,94,54,73.46875,71.78125
G,Date,opponent,Tm,Opp,54,73.46875,71.78125
33,"Thu, Mar 15, 2018",louisiana-monroe,80,66,68,73.66666666666667,71.60606060606061
34,"Wed, Mar 21, 2018",illinois-chicago,81,83,66,73.88235294117646,71.94117647058823
