G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",dayton,77,78,-1,77.0,78.0
2,"Wed, Nov 15, 2017",oklahoma,69,108,-40,73.0,93.0
3,"Fri, Nov 17, 2017",stony-brook,87,76,-29,77.66666666666667,87.33333333333333
4,"Sun, Nov 19, 2017",oregon,71,95,-53,76.0,89.25
5,"Wed, Nov 22, 2017",bucknell,83,87,-57,77.4,88.8
6,"Sat, Nov 25, 2017",indiana-state,93,85,-49,80.0,88.16666666666667
7,"Tue, Nov 28, 2017",oakland-city,81,57,-25,80.14285714285714,83.71428571428571
8,"Sat, Dec 2, 2017",iupui,83,64,-6,80.5,81.25
9,"Tue, Dec 5, 2017",notre-dame 9,80,77,-3,80.44444444444444,80.77777777777777
10,"Sat, Dec 9, 2017",valparaiso,71,70,-2,79.5,79.7
11,"Tue, Dec 19, 2017",north-florida,79,65,12,79.45454545454545,78.36363636363636
12,"Fri, Dec 22, 2017",jackson-state,70,54,28,78.66666666666667,76.33333333333333
13,"Fri, Dec 29, 2017",florida-am,75,54,49,78.38461538461539,74.61538461538461
14,"Tue, Jan 2, 2018",eastern-michigan,72,62,59,77.92857142857143,73.71428571428571
15,"Sat, Jan 6, 2018",buffalo,63,83,39,76.93333333333334,74.33333333333333
16,"Tue, Jan 9, 2018",ohio,75,68,46,76.8125,73.9375
17,"Sat, Jan 13, 2018",western-michigan,58,73,31,75.70588235294117,73.88235294117646
18,"Tue, Jan 16, 2018",central-michigan,82,76,37,76.05555555555556,74.0
19,"Sat, Jan 20, 2018",miami-oh,53,71,19,74.84210526315789,73.84210526315789
20,"Tue, Jan 23, 2018",kent-state,80,88,11,75.1,74.55
21,"Sat, Jan 27, 2018",akron,111,106,16,76.80952380952381,76.04761904761905
22,"Tue, Jan 30, 2018",toledo,75,63,28,76.72727272727273,75.45454545454545
23,"Sat, Feb 3, 2018",eastern-michigan,41,58,11,75.17391304347827,74.69565217391305
24,"Tue, Feb 6, 2018",bowling-green-state,59,56,14,74.5,73.91666666666667
25,"Fri, Feb 9, 2018",kent-state,87,68,33,75.0,73.68
26,"Tue, Feb 13, 2018",akron,90,77,46,75.57692307692308,73.8076923076923
27,"Sat, Feb 17, 2018",toledo,99,71,74,76.44444444444444,73.70370370370371
28,"Tue, Feb 20, 2018",northern-illinois,77,68,83,76.46428571428571,73.5
29,"Fri, Feb 23, 2018",western-michigan,80,87,76,76.58620689655173,73.96551724137932
30,"Tue, Feb 27, 2018",central-michigan,51,75,52,75.73333333333333,74.0
31,"Fri, Mar 2, 2018",northern-illinois,65,66,51,75.38709677419355,73.74193548387096
G,Date,opponent,Tm,Opp,51,75.38709677419355,73.74193548387096
32,"Thu, Mar 8, 2018",kent-state,73,76,48,75.3125,73.8125
