G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",central-arkansas,107,66,41,107.0,66.0
2,"Mon, Nov 13, 2017",texas-am-corpus-christi,70,46,65,88.5,56.0
3,"Fri, Nov 17, 2017",alcorn-state,78,61,82,85.0,57.666666666666664
4,"Mon, Nov 20, 2017",wisconsin,70,65,87,81.25,59.5
5,"Tue, Nov 21, 2017",creighton,65,59,93,78.0,59.4
6,"Tue, Nov 28, 2017",xavier 21,63,76,80,75.5,62.166666666666664
7,"Sat, Dec 2, 2017",wichita-state 8,62,69,73,73.57142857142857,63.142857142857146
8,"Mon, Dec 4, 2017",sam-houston-state,84,56,101,74.875,62.25
9,"Sat, Dec 9, 2017",hillsdale,105,82,124,78.22222222222223,64.44444444444444
10,"Thu, Dec 14, 2017",texas-southern,99,68,155,80.3,64.8
11,"Sun, Dec 17, 2017",savannah-state,118,86,187,83.72727272727273,66.72727272727273
12,"Wed, Dec 20, 2017",southern,80,60,207,83.41666666666667,66.16666666666667
13,"Fri, Dec 29, 2017",texas-tech 22,53,77,183,81.07692307692308,67.0
14,"Tue, Jan 2, 2018",texas-christian 16,78,81,180,80.85714285714286,68.0
15,"Sat, Jan 6, 2018",texas,69,60,189,80.06666666666666,67.46666666666667
16,"Tue, Jan 9, 2018",west-virginia 2,54,57,186,78.4375,66.8125
17,"Sat, Jan 13, 2018",iowa-state,65,75,176,77.6470588235294,67.29411764705883
18,"Mon, Jan 15, 2018",oklahoma-state,76,60,192,77.55555555555556,66.88888888888889
19,"Sat, Jan 20, 2018",kansas 10,67,70,189,77.0,67.05263157894737
20,"Mon, Jan 22, 2018",kansas-state,83,90,182,77.3,68.2
21,"Sat, Jan 27, 2018",florida 20,60,81,161,76.47619047619048,68.80952380952381
22,"Tue, Jan 30, 2018",oklahoma 12,96,98,159,77.36363636363636,70.13636363636364
23,"Sat, Feb 3, 2018",iowa-state,81,67,173,77.52173913043478,70.0
24,"Tue, Feb 6, 2018",oklahoma-state,67,56,184,77.08333333333333,69.41666666666667
25,"Sat, Feb 10, 2018",kansas 10,80,64,200,77.2,69.2
26,"Mon, Feb 12, 2018",texas,74,73,201,77.07692307692308,69.34615384615384
27,"Sat, Feb 17, 2018",texas-tech 7,59,57,203,76.4074074074074,68.88888888888889
28,"Tue, Feb 20, 2018",west-virginia 21,60,71,192,75.82142857142857,68.96428571428571
29,"Sat, Feb 24, 2018",texas-christian,72,82,182,75.6896551724138,69.41379310344827
30,"Tue, Feb 27, 2018",oklahoma,87,64,205,76.06666666666666,69.23333333333333
31,"Sat, Mar 3, 2018",kansas-state,67,77,195,75.7741935483871,69.48387096774194
G,Date,opponent,Tm,Opp,195,75.7741935483871,69.48387096774194
32,"Thu, Mar 8, 2018",west-virginia 18,65,78,182,75.4375,69.75
G,Date,opponent,Tm,Opp,182,75.4375,69.75
33,"Tue, Mar 13, 2018",wagner,80,59,203,75.57575757575758,69.42424242424242
34,"Sun, Mar 18, 2018",mississippi-state,77,78,202,75.61764705882354,69.67647058823529
