G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",washington,82,86,-4,82.0,86.0
2,"Mon, Nov 13, 2017",vanderbilt,69,60,5,75.5,73.0
3,"Thu, Nov 16, 2017",middle-tennessee,69,63,11,73.33333333333333,69.66666666666667
4,"Sat, Nov 18, 2017",houston-baptist,93,88,16,78.25,74.25
5,"Sun, Nov 19, 2017",seattle,90,77,29,80.6,74.8
6,"Wed, Nov 22, 2017",providence,65,66,28,78.0,73.33333333333333
7,"Mon, Nov 27, 2017",lipscomb,66,74,20,76.28571428571429,73.42857142857143
8,"Wed, Nov 29, 2017",texas-christian 23,76,87,9,76.25,75.125
9,"Sat, Dec 2, 2017",green-bay,86,75,20,77.33333333333333,75.11111111111111
10,"Mon, Dec 4, 2017",lipscomb,54,69,5,75.0,74.5
11,"Wed, Dec 13, 2017",milwaukee,82,63,24,75.63636363636364,73.45454545454545
12,"Sat, Dec 16, 2017",pepperdine,79,62,41,75.91666666666667,72.5
13,"Tue, Dec 19, 2017",western-kentucky,75,72,44,75.84615384615384,72.46153846153847
14,"Thu, Dec 28, 2017",southeast-missouri-state,94,72,66,77.14285714285714,72.42857142857143
15,"Sat, Dec 30, 2017",tennessee-martin,65,58,73,76.33333333333333,71.46666666666667
16,"Thu, Jan 4, 2018",tennessee-tech,80,67,86,76.5625,71.1875
17,"Sat, Jan 6, 2018",jacksonville-state,60,64,82,75.58823529411765,70.76470588235294
18,"Thu, Jan 11, 2018",southern-illinois-edwardsville,76,61,97,75.61111111111111,70.22222222222223
19,"Sat, Jan 13, 2018",eastern-illinois,75,66,106,75.57894736842105,70.0
20,"Thu, Jan 18, 2018",murray-state,79,72,113,75.75,70.1
21,"Sat, Jan 20, 2018",austin-peay,83,59,137,76.0952380952381,69.57142857142857
22,"Thu, Jan 25, 2018",eastern-illinois,81,59,159,76.31818181818181,69.0909090909091
23,"Sat, Jan 27, 2018",southern-illinois-edwardsville,83,72,170,76.6086956521739,69.21739130434783
24,"Thu, Feb 1, 2018",eastern-kentucky,98,63,205,77.5,68.95833333333333
25,"Sat, Feb 3, 2018",morehead-state,83,73,215,77.72,69.12
26,"Thu, Feb 8, 2018",tennessee-state,56,64,207,76.88461538461539,68.92307692307692
27,"Sat, Feb 10, 2018",tennessee-tech,75,70,212,76.81481481481481,68.96296296296296
28,"Thu, Feb 15, 2018",eastern-kentucky,84,73,223,77.07142857142857,69.10714285714286
29,"Sat, Feb 17, 2018",morehead-state,108,65,266,78.13793103448276,68.96551724137932
30,"Thu, Feb 22, 2018",jacksonville-state,67,78,255,77.76666666666667,69.26666666666667
31,"Sat, Feb 24, 2018",tennessee-state,84,59,280,77.96774193548387,68.93548387096774
G,Date,opponent,Tm,Opp,280,77.96774193548387,68.93548387096774
32,"Fri, Mar 2, 2018",austin-peay,94,79,295,78.46875,69.25
33,"Sat, Mar 3, 2018",murray-state,51,68,278,77.63636363636364,69.21212121212122
