G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",johnson-university,108,66,42,108.0,66.0
2,"Mon, Nov 13, 2017",texas-pan-american,74,92,24,91.0,79.0
3,"Thu, Nov 16, 2017",north-texas,78,90,12,86.66666666666667,82.66666666666667
4,"Sun, Nov 19, 2017",georgia-tech,62,65,9,80.5,78.25
5,"Tue, Nov 21, 2017",grambling,87,78,18,81.8,78.2
6,"Sat, Nov 25, 2017",florida-college,95,67,46,84.0,76.33333333333333
7,"Thu, Nov 30, 2017",jacksonville,77,66,57,83.0,74.85714285714286
8,"Sat, Dec 2, 2017",florida-atlantic,75,93,39,82.0,77.125
9,"Fri, Dec 8, 2017",boston-university,87,90,36,82.55555555555556,78.55555555555556
10,"Tue, Dec 12, 2017",cal-poly,67,53,50,81.0,76.0
11,"Thu, Dec 14, 2017",south-florida,63,83,30,79.36363636363636,76.63636363636364
12,"Sat, Dec 16, 2017",kennesaw-state,74,81,23,78.91666666666667,77.0
13,"Tue, Dec 19, 2017",washington,55,106,-28,77.07692307692308,79.23076923076923
14,"Fri, Dec 22, 2017",washington-state,58,86,-56,75.71428571428571,79.71428571428571
15,"Wed, Jan 3, 2018",south-carolina-state,86,80,-50,76.4,79.73333333333333
16,"Sat, Jan 6, 2018",howard,92,87,-45,77.375,80.1875
17,"Mon, Jan 8, 2018",maryland-eastern-shore,89,84,-40,78.05882352941177,80.41176470588235
18,"Sat, Jan 13, 2018",florida-am,99,81,-22,79.22222222222223,80.44444444444444
19,"Mon, Jan 15, 2018",stetson,74,62,-10,78.94736842105263,79.47368421052632
20,"Sat, Jan 20, 2018",delaware-state,85,78,-3,79.25,79.4
21,"Sat, Jan 27, 2018",norfolk-state,70,71,-4,78.80952380952381,79.0
22,"Mon, Jan 29, 2018",hampton,69,80,-15,78.36363636363636,79.04545454545455
23,"Sat, Feb 3, 2018",coppin-state,80,60,5,78.43478260869566,78.21739130434783
24,"Mon, Feb 5, 2018",norfolk-state,79,83,1,78.45833333333333,78.41666666666667
25,"Sat, Feb 10, 2018",maryland-eastern-shore,87,67,21,78.8,77.96
26,"Mon, Feb 12, 2018",north-carolina-central,99,81,39,79.57692307692308,78.07692307692308
27,"Sat, Feb 17, 2018",coppin-state,89,85,43,79.92592592592592,78.33333333333333
28,"Mon, Feb 19, 2018",morgan-state,96,95,44,80.5,78.92857142857143
29,"Sat, Feb 24, 2018",savannah-state,121,92,73,81.89655172413794,79.37931034482759
30,"Mon, Feb 26, 2018",north-carolina-at,80,86,67,81.83333333333333,79.6
31,"Thu, Mar 1, 2018",florida-am,89,77,79,82.06451612903226,79.51612903225806
G,Date,opponent,Tm,Opp,79,82.06451612903226,79.51612903225806
32,"Wed, Mar 7, 2018",morgan-state,77,78,78,81.90625,79.46875
