G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",morgan-state,76,59,17,76.0,59.0
2,"Mon, Nov 13, 2017",cornell,84,94,7,80.0,76.5
3,"Thu, Nov 16, 2017",george-mason,57,69,-5,72.33333333333333,74.0
4,"Sat, Nov 18, 2017",evansville,61,66,-10,69.5,72.0
5,"Tue, Nov 21, 2017",montana-state,64,74,-20,68.4,72.4
6,"Wed, Nov 22, 2017",cal-state-northridge,70,65,-15,68.66666666666667,71.16666666666667
7,"Sun, Nov 26, 2017",hartwick,97,65,17,72.71428571428571,70.28571428571429
8,"Wed, Nov 29, 2017",delaware-state,85,64,38,74.25,69.5
9,"Sat, Dec 2, 2017",colgate,76,65,49,74.44444444444444,69.0
10,"Wed, Dec 6, 2017",army,71,66,54,74.1,68.7
11,"Sat, Dec 9, 2017",loyola-md,77,64,67,74.36363636363636,68.27272727272727
12,"Sun, Dec 17, 2017",sacred-heart,51,48,70,72.41666666666667,66.58333333333333
13,"Tue, Dec 19, 2017",penn-state,65,80,55,71.84615384615384,67.61538461538461
14,"Fri, Dec 22, 2017",long-island-university,66,74,47,71.42857142857143,68.07142857142857
15,"Sat, Dec 30, 2017",elmira,113,65,95,74.2,67.86666666666666
16,"Sat, Jan 6, 2018",maine,73,76,92,74.125,68.375
17,"Wed, Jan 10, 2018",new-hampshire,67,71,88,73.70588235294117,68.52941176470588
18,"Sat, Jan 13, 2018",hartford,65,97,56,73.22222222222223,70.11111111111111
19,"Mon, Jan 15, 2018",albany-ny,79,66,69,73.52631578947368,69.89473684210526
20,"Thu, Jan 18, 2018",stony-brook,66,77,58,73.15,70.25
21,"Sun, Jan 21, 2018",massachusetts-lowell,71,79,50,73.04761904761905,70.66666666666667
22,"Wed, Jan 24, 2018",maryland-baltimore-county,57,69,38,72.31818181818181,70.5909090909091
23,"Sat, Jan 27, 2018",new-hampshire,52,57,33,71.43478260869566,70.0
24,"Wed, Jan 31, 2018",vermont,54,68,19,70.70833333333333,69.91666666666667
25,"Sat, Feb 3, 2018",maine,79,81,17,71.04,70.36
26,"Thu, Feb 8, 2018",maryland-baltimore-county,68,78,7,70.92307692307692,70.65384615384616
27,"Thu, Feb 15, 2018",stony-brook,69,57,19,70.85185185185185,70.14814814814815
28,"Sun, Feb 18, 2018",massachusetts-lowell,69,74,14,70.78571428571429,70.28571428571429
29,"Wed, Feb 21, 2018",vermont,54,75,-7,70.20689655172414,70.44827586206897
30,"Sat, Feb 24, 2018",hartford,57,67,-17,69.76666666666667,70.33333333333333
31,"Tue, Feb 27, 2018",albany-ny,54,71,-34,69.25806451612904,70.35483870967742
