G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",eastern-oregon,104,65,39,104.0,65.0
2,"Sun, Nov 12, 2017",southern-utah,90,69,60,97.0,67.0
3,"Thu, Nov 16, 2017",texas-el-paso,58,56,62,84.0,63.333333333333336
4,"Fri, Nov 17, 2017",illinois-state,82,64,80,83.5,63.5
5,"Sun, Nov 19, 2017",iowa-state,64,75,69,79.6,65.8
6,"Sat, Nov 25, 2017",loyola-marymount,68,48,89,77.66666666666667,62.833333333333336
7,"Tue, Nov 28, 2017",loyola-il,87,53,123,79.0,61.42857142857143
8,"Fri, Dec 1, 2017",oregon,73,70,126,78.25,62.5
9,"Sun, Dec 3, 2017",portland,77,54,149,78.11111111111111,61.55555555555556
10,"Sat, Dec 9, 2017",sacramento-state,77,54,172,78.0,60.8
11,"Wed, Dec 13, 2017",grand-canyon,85,80,177,78.63636363636364,62.54545454545455
12,"Mon, Dec 18, 2017",southern-methodist,63,86,154,77.33333333333333,64.5
13,"Wed, Dec 27, 2017",colorado-state,93,71,176,78.53846153846153,65.0
14,"Sat, Dec 30, 2017",nevada-las-vegas,83,74,185,78.85714285714286,65.64285714285714
15,"Wed, Jan 3, 2018",new-mexico,90,62,213,79.6,65.4
16,"Sat, Jan 6, 2018",wyoming,78,79,212,79.5,66.25
17,"Tue, Jan 9, 2018",fresno-state,70,64,218,78.94117647058823,66.11764705882354
18,"Sat, Jan 13, 2018",san-diego-state,83,80,221,79.16666666666667,66.88888888888889
19,"Wed, Jan 17, 2018",utah-state,71,67,225,78.73684210526316,66.89473684210526
20,"Sat, Jan 20, 2018",nevada,68,74,219,78.2,67.25
21,"Wed, Jan 24, 2018",san-jose-state,94,71,242,78.95238095238095,67.42857142857143
22,"Sat, Jan 27, 2018",air-force,70,64,248,78.54545454545455,67.27272727272727
23,"Sat, Feb 3, 2018",nevada-las-vegas,93,91,250,79.17391304347827,68.30434782608695
24,"Tue, Feb 6, 2018",new-mexico,73,71,252,78.91666666666667,68.41666666666667
25,"Sat, Feb 10, 2018",utah-state,65,71,246,78.36,68.52
26,"Wed, Feb 14, 2018",nevada 24,72,77,241,78.11538461538461,68.84615384615384
27,"Sat, Feb 17, 2018",air-force,76,52,265,78.03703703703704,68.22222222222223
28,"Wed, Feb 21, 2018",colorado-state,87,54,298,78.35714285714286,67.71428571428571
29,"Tue, Feb 27, 2018",san-diego-state,64,72,290,77.86206896551724,67.86206896551724
30,"Sat, Mar 3, 2018",wyoming,95,87,298,78.43333333333334,68.5
G,Date,opponent,Tm,Opp,298,78.43333333333334,68.5
31,"Thu, Mar 8, 2018",utah-state,75,78,295,78.3225806451613,68.80645161290323
G,Date,opponent,Tm,Opp,295,78.3225806451613,68.80645161290323
32,"Wed, Mar 14, 2018",washington,74,77,292,78.1875,69.0625
