G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",maine,85,65,20,85.0,65.0
2,"Sun, Nov 12, 2017",south-carolina-state,91,52,59,88.0,58.5
3,"Tue, Nov 14, 2017",sacred-heart,73,53,79,83.0,56.666666666666664
4,"Sat, Nov 18, 2017",texas-tech,64,75,68,78.25,61.25
5,"Sun, Nov 19, 2017",la-salle,82,61,89,79.0,61.2
6,"Wed, Nov 22, 2017",colgate,83,79,93,79.66666666666667,64.16666666666667
7,"Sat, Nov 25, 2017",providence,66,86,73,77.71428571428571,67.28571428571429
8,"Wed, Nov 29, 2017",nebraska,62,71,64,75.75,67.75
9,"Sat, Dec 2, 2017",hartford,73,61,76,75.44444444444444,67.0
10,"Sat, Dec 9, 2017",duke 1,89,84,81,76.8,68.7
11,"Tue, Dec 12, 2017",columbia,81,66,96,77.18181818181819,68.45454545454545
12,"Sun, Dec 17, 2017",central-connecticut-state,84,65,115,77.75,68.16666666666667
13,"Sat, Dec 23, 2017",richmond,78,73,120,77.76923076923077,68.53846153846153
14,"Sat, Dec 30, 2017",virginia 9,58,59,119,76.35714285714286,67.85714285714286
15,"Wed, Jan 3, 2018",clemson 25,70,74,115,75.93333333333334,68.26666666666667
16,"Sat, Jan 6, 2018",wake-forest,77,71,121,76.0,68.4375
17,"Tue, Jan 9, 2018",north-carolina 20,66,96,91,75.41176470588235,70.05882352941177
18,"Sat, Jan 13, 2018",dartmouth,86,72,105,76.0,70.16666666666667
19,"Mon, Jan 15, 2018",florida-state,81,75,111,76.26315789473684,70.42105263157895
20,"Sun, Jan 21, 2018",louisville,69,77,103,75.9,70.75
21,"Wed, Jan 24, 2018",syracuse,63,81,85,75.28571428571429,71.23809523809524
22,"Wed, Jan 31, 2018",virginia-tech,80,85,80,75.5,71.86363636363636
23,"Sun, Feb 4, 2018",georgia-tech,80,72,88,75.69565217391305,71.8695652173913
24,"Tue, Feb 6, 2018",notre-dame,85,96,77,76.08333333333333,72.875
25,"Sat, Feb 10, 2018",miami-fl 25,72,70,79,75.92,72.76
26,"Tue, Feb 13, 2018",pittsburgh,81,58,102,76.11538461538461,72.1923076923077
27,"Sat, Feb 17, 2018",notre-dame,67,84,85,75.77777777777777,72.62962962962963
28,"Tue, Feb 20, 2018",north-carolina-state,66,82,69,75.42857142857143,72.96428571428571
29,"Sat, Feb 24, 2018",miami-fl,78,79,68,75.51724137931035,73.17241379310344
30,"Wed, Feb 28, 2018",syracuse,85,70,83,75.83333333333333,73.06666666666666
31,"Sat, Mar 3, 2018",florida-state,76,85,74,75.83870967741936,73.45161290322581
G,Date,opponent,Tm,Opp,74,75.83870967741936,73.45161290322581
32,"Tue, Mar 6, 2018",georgia-tech,87,77,84,76.1875,73.5625
33,"Wed, Mar 7, 2018",north-carolina-state,91,87,88,76.63636363636364,73.96969696969697
34,"Thu, Mar 8, 2018",clemson 19,82,90,80,76.79411764705883,74.44117647058823
G,Date,opponent,Tm,Opp,80,76.79411764705883,74.44117647058823
35,"Tue, Mar 13, 2018",western-kentucky,62,79,63,76.37142857142857,74.57142857142857
