G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",northeastern,59,65,-6,59.0,65.0
2,"Mon, Nov 13, 2017",albany-ny,74,88,-20,66.5,76.5
3,"Sun, Nov 19, 2017",connecticut,66,85,-39,66.33333333333333,79.33333333333333
4,"Wed, Nov 22, 2017",maine,78,69,-30,69.25,76.75
5,"Sun, Nov 26, 2017",wheaton-ma,83,48,5,72.0,71.0
6,"Wed, Nov 29, 2017",new-hampshire,70,69,6,71.66666666666667,70.66666666666667
7,"Tue, Dec 5, 2017",miami-fl 10,54,69,-9,69.14285714285714,70.42857142857143
8,"Fri, Dec 8, 2017",bethune-cookman,90,87,-6,71.75,72.5
9,"Wed, Dec 13, 2017",massachusetts-lowell,82,87,-11,72.88888888888889,74.11111111111111
10,"Sun, Dec 17, 2017",elon,69,77,-19,72.5,74.4
11,"Thu, Dec 21, 2017",harvard,63,74,-30,71.63636363636364,74.36363636363636
12,"Fri, Dec 29, 2017",army,90,82,-22,73.16666666666667,75.0
13,"Tue, Jan 2, 2018",bucknell,84,79,-17,74.0,75.3076923076923
14,"Fri, Jan 5, 2018",loyola-md,65,68,-20,73.35714285714286,74.78571428571429
15,"Mon, Jan 8, 2018",lehigh,92,81,-9,74.6,75.2
16,"Thu, Jan 11, 2018",colgate,72,58,5,74.4375,74.125
17,"Sun, Jan 14, 2018",holy-cross,54,40,19,73.23529411764706,72.11764705882354
18,"Wed, Jan 17, 2018",american,58,69,8,72.38888888888889,71.94444444444444
19,"Sat, Jan 20, 2018",navy,75,68,15,72.52631578947368,71.73684210526316
20,"Wed, Jan 24, 2018",lafayette,75,72,18,72.65,71.75
21,"Sun, Jan 28, 2018",bucknell,79,91,6,72.95238095238095,72.66666666666667
22,"Wed, Jan 31, 2018",loyola-md,64,55,15,72.54545454545455,71.86363636363636
23,"Sat, Feb 3, 2018",lehigh,75,80,10,72.65217391304348,72.21739130434783
24,"Wed, Feb 7, 2018",colgate,60,74,-4,72.125,72.29166666666667
25,"Sat, Feb 10, 2018",holy-cross,62,73,-15,71.72,72.32
26,"Wed, Feb 14, 2018",american,56,60,-19,71.11538461538461,71.84615384615384
27,"Sat, Feb 17, 2018",navy,48,62,-33,70.25925925925925,71.48148148148148
28,"Wed, Feb 21, 2018",lafayette,81,65,-17,70.64285714285714,71.25
29,"Sat, Feb 24, 2018",army,61,59,-15,70.3103448275862,70.82758620689656
G,Date,opponent,Tm,Opp,-15,70.3103448275862,70.82758620689656
30,"Thu, Mar 1, 2018",lehigh,88,82,-9,70.9,71.2
31,"Sun, Mar 4, 2018",bucknell,59,90,-40,70.51612903225806,71.80645161290323
