G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",drexel,78,69,9,78.0,69.0
2,"Mon, Nov 13, 2017",south-dakota,79,88,0,78.5,78.5
3,"Sat, Nov 18, 2017",florida-gulf-coast,83,80,3,80.0,79.0
4,"Mon, Nov 20, 2017",lake-erie,109,106,6,87.25,85.75
5,"Fri, Nov 24, 2017",south-carolina-upstate,83,74,15,86.4,83.4
6,"Sat, Nov 25, 2017",campbell,78,72,21,85.0,81.5
7,"Sun, Nov 26, 2017",abilene-christian,83,88,16,84.71428571428571,82.42857142857143
8,"Wed, Nov 29, 2017",san-jose-state,85,79,22,84.75,82.0
9,"Sat, Dec 2, 2017",norfolk-state,92,77,37,85.55555555555556,81.44444444444444
10,"Tue, Dec 5, 2017",evansville,76,91,22,84.6,82.4
11,"Sat, Dec 9, 2017",old-dominion,46,88,-20,81.0909090909091,82.9090909090909
12,"Thu, Dec 21, 2017",green-bay,81,78,-17,81.08333333333333,82.5
13,"Thu, Dec 28, 2017",lourdes,97,56,24,82.3076923076923,80.46153846153847
14,"Tue, Jan 2, 2018",miami-oh,72,77,19,81.57142857142857,80.21428571428571
15,"Sat, Jan 6, 2018",eastern-michigan,75,71,23,81.13333333333334,79.6
16,"Tue, Jan 9, 2018",northern-illinois,66,57,32,80.1875,78.1875
17,"Sat, Jan 13, 2018",akron,78,80,30,80.05882352941177,78.29411764705883
18,"Tue, Jan 16, 2018",miami-oh,81,70,41,80.11111111111111,77.83333333333333
19,"Sat, Jan 20, 2018",central-michigan,75,84,32,79.84210526315789,78.15789473684211
20,"Tue, Jan 23, 2018",northern-illinois,62,93,1,78.95,78.9
21,"Sat, Jan 27, 2018",toledo,75,101,-25,78.76190476190476,79.95238095238095
22,"Tue, Jan 30, 2018",ohio,66,50,-9,78.18181818181819,78.5909090909091
23,"Sat, Feb 3, 2018",kent-state,70,62,-1,77.82608695652173,77.8695652173913
24,"Tue, Feb 6, 2018",ball-state,56,59,-4,76.91666666666667,77.08333333333333
25,"Sat, Feb 10, 2018",eastern-michigan,70,63,3,76.64,76.52
26,"Tue, Feb 13, 2018",western-michigan,83,81,5,76.88461538461539,76.6923076923077
27,"Fri, Feb 16, 2018",buffalo,82,95,-8,77.07407407407408,77.37037037037037
28,"Tue, Feb 20, 2018",akron,79,81,-10,77.14285714285714,77.5
29,"Sat, Feb 24, 2018",kent-state,63,64,-11,76.65517241379311,77.03448275862068
30,"Tue, Feb 27, 2018",ohio,59,75,-27,76.06666666666666,76.96666666666667
31,"Fri, Mar 2, 2018",buffalo,70,100,-57,75.87096774193549,77.70967741935483
G,Date,opponent,Tm,Opp,-57,75.87096774193549,77.70967741935483
32,"Mon, Mar 5, 2018",central-michigan,77,81,-61,75.90625,77.8125
