G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",iupui,68,53,15,68.0,53.0
2,"Tue, Nov 14, 2017",delaware,61,53,23,64.5,53.0
3,"Fri, Nov 17, 2017",vermont,64,65,22,64.33333333333333,57.0
4,"Sat, Nov 18, 2017",texas-san-antonio,71,69,24,66.0,60.0
5,"Sun, Nov 19, 2017",weber-state,70,64,30,66.8,60.8
6,"Wed, Nov 22, 2017",missouri-st,79,47,62,68.83333333333333,58.5
7,"Sat, Nov 25, 2017",georgia-southern,62,57,67,67.85714285714286,58.285714285714285
8,"Fri, Dec 1, 2017",eastern-illinois,67,56,78,67.75,58.0
9,"Sun, Dec 3, 2017",san-diego-state,52,75,55,66.0,59.888888888888886
10,"Wed, Dec 13, 2017",arkansas-little-rock,86,46,95,68.0,58.5
11,"Sat, Dec 16, 2017",chicago-state,84,58,121,69.45454545454545,58.45454545454545
12,"Wed, Dec 20, 2017",southeast-missouri-state,75,67,129,69.91666666666667,59.166666666666664
13,"Fri, Dec 22, 2017",mississippi,59,82,106,69.07692307692308,60.92307692307692
14,"Thu, Dec 28, 2017",drake,64,66,104,68.71428571428571,61.285714285714285
15,"Sun, Dec 31, 2017",northern-iowa,72,53,123,68.93333333333334,60.733333333333334
16,"Wed, Jan 3, 2018",valparaiso,80,71,132,69.625,61.375
17,"Sat, Jan 6, 2018",evansville,44,68,108,68.11764705882354,61.76470588235294
18,"Tue, Jan 9, 2018",southern-illinois,68,62,114,68.11111111111111,61.77777777777778
19,"Sat, Jan 13, 2018",loyola-il,65,81,98,67.94736842105263,62.78947368421053
20,"Wed, Jan 17, 2018",illinois-state,57,70,85,67.4,63.15
21,"Sat, Jan 20, 2018",evansville,66,53,98,67.33333333333333,62.666666666666664
22,"Tue, Jan 23, 2018",missouri-state,72,52,118,67.54545454545455,62.18181818181818
23,"Sun, Jan 28, 2018",indiana-state,81,73,126,68.1304347826087,62.65217391304348
24,"Wed, Jan 31, 2018",loyola-il,69,67,128,68.16666666666667,62.833333333333336
25,"Sat, Feb 3, 2018",drake,68,78,118,68.16,63.44
26,"Wed, Feb 7, 2018",northern-iowa,65,74,109,68.03846153846153,63.84615384615385
27,"Sun, Feb 11, 2018",southern-illinois,57,74,92,67.62962962962963,64.22222222222223
28,"Wed, Feb 14, 2018",illinois-state,70,58,104,67.71428571428571,64.0
29,"Sat, Feb 17, 2018",valparaiso,64,77,91,67.58620689655173,64.44827586206897
30,"Wed, Feb 21, 2018",missouri-state,82,78,95,68.06666666666666,64.9
31,"Sat, Feb 24, 2018",indiana-state,64,66,93,67.93548387096774,64.93548387096774
G,Date,opponent,Tm,Opp,93,67.93548387096774,64.93548387096774
32,"Fri, Mar 2, 2018",drake,63,61,95,67.78125,64.8125
33,"Sat, Mar 3, 2018",loyola-il,54,62,87,67.36363636363636,64.72727272727273
