G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",mississippi-valley-state,91,61,30,91.0,61.0
2,"Wed, Nov 15, 2017",princeton,65,56,39,78.0,58.5
3,"Sat, Nov 18, 2017",texas-arlington,75,89,25,77.0,68.66666666666667
4,"Tue, Nov 21, 2017",niagara,95,88,32,81.5,73.5
5,"Fri, Nov 24, 2017",alabama 25,59,71,20,77.0,73.0
6,"Sat, Nov 25, 2017",massachusetts,68,66,22,75.5,71.83333333333333
7,"Wed, Nov 29, 2017",utah-valley,85,58,49,76.85714285714286,69.85714285714286
8,"Sat, Dec 2, 2017",utah-state,75,66,58,76.625,69.375
9,"Wed, Dec 6, 2017",illinois-state,80,68,70,77.0,69.22222222222223
10,"Sat, Dec 9, 2017",weber-state,74,68,76,76.7,69.1
11,"Sat, Dec 16, 2017",utah,77,65,88,76.72727272727273,68.72727272727273
12,"Thu, Dec 21, 2017",idaho-state,85,71,102,77.41666666666667,68.91666666666667
13,"Sat, Dec 23, 2017",texas-southern,73,52,123,77.07692307692308,67.61538461538461
14,"Thu, Dec 28, 2017",portland,69,45,147,76.5,66.0
15,"Sat, Dec 30, 2017",saint-marys-ca,64,74,137,75.66666666666667,66.53333333333333
16,"Thu, Jan 4, 2018",san-francisco,69,59,147,75.25,66.0625
17,"Sat, Jan 6, 2018",pacific,66,67,146,74.70588235294117,66.11764705882354
18,"Thu, Jan 11, 2018",pepperdine,83,63,166,75.16666666666667,65.94444444444444
19,"Sat, Jan 13, 2018",santa-clara,84,50,200,75.63157894736842,65.10526315789474
20,"Thu, Jan 18, 2018",loyola-marymount,82,67,215,75.95,65.2
21,"Sat, Jan 20, 2018",san-diego,74,58,231,75.85714285714286,64.85714285714286
22,"Thu, Jan 25, 2018",saint-marys-ca 16,62,75,218,75.22727272727273,65.31818181818181
23,"Sat, Jan 27, 2018",pacific,80,65,233,75.43478260869566,65.30434782608695
24,"Thu, Feb 1, 2018",loyola-marymount,69,76,226,75.16666666666667,65.75
25,"Sat, Feb 3, 2018",gonzaga 14,60,68,218,74.56,65.84
26,"Thu, Feb 8, 2018",santa-clara,80,58,240,74.76923076923077,65.53846153846153
27,"Sat, Feb 10, 2018",san-francisco,75,73,242,74.77777777777777,65.81481481481481
28,"Thu, Feb 15, 2018",pepperdine,75,70,247,74.78571428571429,65.96428571428571
29,"Sat, Feb 17, 2018",san-diego,62,75,234,74.34482758620689,66.27586206896552
30,"Thu, Feb 22, 2018",portland,72,60,246,74.26666666666667,66.06666666666666
31,"Sat, Feb 24, 2018",gonzaga 6,65,79,232,73.96774193548387,66.48387096774194
G,Date,opponent,Tm,Opp,232,73.96774193548387,66.48387096774194
32,"Sat, Mar 3, 2018",san-diego,85,79,238,74.3125,66.875
33,"Mon, Mar 5, 2018",saint-marys-ca 20,85,72,251,74.63636363636364,67.03030303030303
34,"Tue, Mar 6, 2018",gonzaga 6,54,74,231,74.02941176470588,67.23529411764706
G,Date,opponent,Tm,Opp,231,74.02941176470588,67.23529411764706
35,"Wed, Mar 14, 2018",stanford,83,86,228,74.28571428571429,67.77142857142857
