G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",johnson--wales-ri,106,78,28,106.0,78.0
2,"Mon, Nov 13, 2017",quinnipiac,79,72,35,92.5,75.0
3,"Sun, Nov 19, 2017",st-francis-ny,74,77,32,86.33333333333333,75.66666666666667
4,"Wed, Nov 22, 2017",stony-brook,64,77,19,80.75,76.0
5,"Sat, Nov 25, 2017",long-island-university,94,86,27,83.4,78.0
6,"Sun, Nov 26, 2017",bryant,81,67,41,83.0,76.16666666666667
7,"Tue, Nov 28, 2017",rhode-island,62,86,17,80.0,77.57142857142857
8,"Sat, Dec 2, 2017",central-connecticut-state,62,68,11,77.75,76.375
9,"Wed, Dec 6, 2017",providence,72,77,6,77.11111111111111,76.44444444444444
10,"Sat, Dec 9, 2017",massachusetts-lowell,89,75,20,78.3,76.3
11,"Fri, Dec 22, 2017",marist,90,69,41,79.36363636363636,75.63636363636364
12,"Sat, Dec 30, 2017",northwestern,73,95,19,78.83333333333333,77.25
13,"Wed, Jan 3, 2018",njit,70,69,20,78.15384615384616,76.61538461538461
14,"Fri, Jan 12, 2018",yale,72,78,14,77.71428571428571,76.71428571428571
15,"Fri, Jan 19, 2018",yale,81,80,15,77.93333333333334,76.93333333333334
16,"Fri, Jan 26, 2018",dartmouth,64,62,17,77.0625,76.0
17,"Sat, Jan 27, 2018",harvard,77,86,8,77.05882352941177,76.58823529411765
18,"Fri, Feb 2, 2018",pennsylvania,90,95,3,77.77777777777777,77.61111111111111
19,"Sat, Feb 3, 2018",princeton,102,100,5,79.05263157894737,78.78947368421052
20,"Fri, Feb 9, 2018",cornell,60,78,-13,78.1,78.75
21,"Sat, Feb 10, 2018",columbia,91,88,-10,78.71428571428571,79.19047619047619
22,"Fri, Feb 16, 2018",harvard,58,65,-17,77.77272727272727,78.54545454545455
23,"Sat, Feb 17, 2018",dartmouth,63,66,-20,77.1304347826087,78.0
24,"Fri, Feb 23, 2018",columbia,82,89,-27,77.33333333333333,78.45833333333333
25,"Sat, Feb 24, 2018",cornell,68,73,-32,76.96,78.24
26,"Fri, Mar 2, 2018",princeton,63,78,-47,76.42307692307692,78.23076923076923
27,"Sat, Mar 3, 2018",pennsylvania,93,99,-53,77.03703703703704,79.0
