G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",georgia,54,79,-25,54.0,79.0
2,"Tue, Nov 14, 2017",north-carolina-state,72,95,-48,63.0,87.0
3,"Sat, Nov 18, 2017",navy,71,79,-56,65.66666666666667,84.33333333333333
4,"Tue, Nov 21, 2017",rutgers,54,83,-85,62.75,84.0
5,"Fri, Nov 24, 2017",hartford,78,73,-80,65.8,81.8
6,"Sun, Nov 26, 2017",brown,67,81,-94,66.0,81.66666666666667
7,"Wed, Nov 29, 2017",yale,67,84,-111,66.14285714285714,82.0
8,"Sat, Dec 2, 2017",new-hampshire,59,75,-127,65.25,81.125
9,"Wed, Dec 6, 2017",albany-ny,68,84,-143,65.55555555555556,81.44444444444444
10,"Sat, Dec 9, 2017",memphis,72,90,-161,66.2,82.3
11,"Mon, Dec 11, 2017",louisville,59,102,-204,65.54545454545455,84.0909090909091
12,"Sun, Dec 17, 2017",siena,68,87,-223,65.75,84.33333333333333
13,"Fri, Dec 22, 2017",dartmouth,58,75,-240,65.15384615384616,83.61538461538461
14,"Fri, Dec 29, 2017",robert-morris,54,68,-254,64.35714285714286,82.5
15,"Sun, Dec 31, 2017",saint-francis-pa,82,86,-258,65.53333333333333,82.73333333333333
16,"Thu, Jan 4, 2018",mount-st-marys,80,96,-274,66.4375,83.5625
17,"Sat, Jan 6, 2018",sacred-heart,79,74,-269,67.17647058823529,83.0
18,"Thu, Jan 11, 2018",wagner,62,71,-278,66.88888888888889,82.33333333333333
19,"Sat, Jan 13, 2018",central-connecticut-state,76,80,-282,67.36842105263158,82.21052631578948
20,"Thu, Jan 18, 2018",long-island-university,79,83,-286,67.95,82.25
21,"Sat, Jan 20, 2018",st-francis-ny,80,85,-291,68.52380952380952,82.38095238095238
22,"Thu, Jan 25, 2018",central-connecticut-state,74,80,-297,68.77272727272727,82.27272727272727
23,"Sat, Jan 27, 2018",fairleigh-dickinson,78,89,-308,69.17391304347827,82.56521739130434
24,"Thu, Feb 1, 2018",st-francis-ny,69,73,-312,69.16666666666667,82.16666666666667
25,"Sat, Feb 3, 2018",long-island-university,71,84,-325,69.24,82.24
26,"Thu, Feb 8, 2018",wagner,76,96,-345,69.5,82.76923076923077
27,"Sat, Feb 10, 2018",mount-st-marys,79,77,-343,69.85185185185185,82.55555555555556
28,"Thu, Feb 15, 2018",robert-morris,60,83,-366,69.5,82.57142857142857
29,"Sat, Feb 17, 2018",saint-francis-pa,56,89,-399,69.03448275862068,82.79310344827586
30,"Thu, Feb 22, 2018",sacred-heart,84,94,-409,69.53333333333333,83.16666666666667
31,"Sat, Feb 24, 2018",fairleigh-dickinson,83,87,-413,69.96774193548387,83.29032258064517
