G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",monmouth,78,79,-1,78.0,79.0
2,"Sun, Nov 12, 2017",arkansas,73,101,-29,75.5,90.0
3,"Wed, Nov 15, 2017",north-carolina 9,81,93,-41,77.33333333333333,91.0
4,"Sat, Nov 18, 2017",maryland,78,80,-43,77.5,88.25
5,"Mon, Nov 20, 2017",siena,115,92,-20,85.0,89.0
6,"Wed, Nov 22, 2017",ball-state,87,83,-16,85.33333333333333,88.0
7,"Sun, Nov 26, 2017",stony-brook,85,76,-7,85.28571428571429,86.28571428571429
8,"Wed, Nov 29, 2017",saint-josephs,70,83,-20,83.375,85.875
9,"Sat, Dec 2, 2017",vermont,81,77,-16,83.11111111111111,84.88888888888889
10,"Tue, Dec 5, 2017",northeastern,64,82,-34,81.2,84.6
11,"Sat, Dec 16, 2017",virginia-commonwealth,79,85,-40,81.0,84.63636363636364
12,"Tue, Dec 19, 2017",richmond,86,78,-32,81.41666666666667,84.08333333333333
13,"Fri, Dec 22, 2017",la-salle,88,81,-25,81.92307692307692,83.84615384615384
14,"Fri, Dec 29, 2017",american,84,55,4,82.07142857142857,81.78571428571429
15,"Tue, Jan 2, 2018",boston-university,79,84,-1,81.86666666666666,81.93333333333334
16,"Fri, Jan 5, 2018",army,83,66,16,81.9375,80.9375
17,"Mon, Jan 8, 2018",lafayette,80,75,21,81.82352941176471,80.58823529411765
18,"Thu, Jan 11, 2018",lehigh,78,65,34,81.61111111111111,79.72222222222223
19,"Mon, Jan 15, 2018",colgate,63,51,46,80.63157894736842,78.21052631578948
20,"Wed, Jan 17, 2018",loyola-md,78,70,54,80.5,77.8
21,"Sat, Jan 20, 2018",holy-cross,77,56,75,80.33333333333333,76.76190476190476
22,"Wed, Jan 24, 2018",navy,87,67,95,80.63636363636364,76.31818181818181
23,"Sun, Jan 28, 2018",boston-university,91,79,107,81.08695652173913,76.43478260869566
24,"Wed, Jan 31, 2018",army,83,71,119,81.16666666666667,76.20833333333333
25,"Sat, Feb 3, 2018",lafayette,74,59,134,80.88,75.52
26,"Mon, Feb 5, 2018",lehigh,89,92,131,81.1923076923077,76.15384615384616
27,"Mon, Feb 12, 2018",colgate,65,64,132,80.5925925925926,75.70370370370371
28,"Wed, Feb 14, 2018",loyola-md,94,53,173,81.07142857142857,74.89285714285714
29,"Sat, Feb 17, 2018",holy-cross,68,67,174,80.62068965517241,74.62068965517241
30,"Wed, Feb 21, 2018",navy,85,61,198,80.76666666666667,74.16666666666667
31,"Sat, Feb 24, 2018",american,80,61,217,80.74193548387096,73.74193548387096
G,Date,opponent,Tm,Opp,217,80.74193548387096,73.74193548387096
32,"Thu, Mar 1, 2018",loyola-md,83,78,222,80.8125,73.875
33,"Sun, Mar 4, 2018",boston-university,90,59,253,81.0909090909091,73.42424242424242
34,"Wed, Mar 7, 2018",colgate,83,54,282,81.1470588235294,72.8529411764706
G,Date,opponent,Tm,Opp,282,81.1470588235294,72.8529411764706
35,"Fri, Mar 16, 2018",michigan-state 5,78,82,278,81.05714285714286,73.11428571428571
