G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",canisius,80,75,5,80.0,75.0
2,"Wed, Nov 15, 2017",jacksonville-state,81,76,10,80.5,75.5
3,"Mon, Nov 20, 2017",cincinnati 12,67,73,4,76.0,74.66666666666667
4,"Tue, Nov 21, 2017",alabama-birmingham,96,91,9,81.0,78.75
5,"Wed, Nov 22, 2017",south-dakota-state,80,94,-5,80.8,81.8
6,"Wed, Nov 29, 2017",niagara,106,87,14,85.0,82.66666666666667
7,"Sat, Dec 2, 2017",st-bonaventure,62,73,3,81.71428571428571,81.28571428571429
8,"Wed, Dec 6, 2017",delaware,75,72,6,80.875,80.125
9,"Sat, Dec 9, 2017",central-pennsylvania-college,88,54,40,81.66666666666667,77.22222222222223
10,"Sat, Dec 16, 2017",robert-morris,86,70,56,82.1,76.5
11,"Tue, Dec 19, 2017",syracuse,74,81,49,81.36363636363636,76.9090909090909
12,"Thu, Dec 21, 2017",texas-am 8,73,89,33,80.66666666666667,77.91666666666667
13,"Thu, Dec 28, 2017",njit,86,81,38,81.07692307692308,78.15384615384616
14,"Tue, Jan 2, 2018",toledo,104,94,48,82.71428571428571,79.28571428571429
15,"Sat, Jan 6, 2018",ball-state,83,63,68,82.73333333333333,78.2
16,"Tue, Jan 9, 2018",akron,87,65,90,83.0,77.375
17,"Sat, Jan 13, 2018",miami-oh,82,66,106,82.94117647058823,76.70588235294117
18,"Tue, Jan 16, 2018",northern-illinois,95,67,134,83.61111111111111,76.16666666666667
19,"Fri, Jan 19, 2018",western-michigan,84,74,144,83.63157894736842,76.05263157894737
20,"Tue, Jan 23, 2018",eastern-michigan,83,69,158,83.6,75.7
21,"Fri, Jan 26, 2018",ohio,73,66,165,83.0952380952381,75.23809523809524
22,"Tue, Jan 30, 2018",kent-state,79,82,162,82.9090909090909,75.54545454545455
23,"Fri, Feb 2, 2018",western-michigan,92,86,168,83.30434782608695,76.0
24,"Tue, Feb 6, 2018",central-michigan,88,82,174,83.5,76.25
25,"Sat, Feb 10, 2018",northern-illinois,88,90,172,83.68,76.8
26,"Tue, Feb 13, 2018",kent-state,84,72,184,83.6923076923077,76.61538461538461
27,"Fri, Feb 16, 2018",bowling-green-state,95,82,197,84.11111111111111,76.81481481481481
28,"Tue, Feb 20, 2018",miami-oh,81,84,194,84.0,77.07142857142857
29,"Sat, Feb 24, 2018",ohio,108,82,220,84.82758620689656,77.24137931034483
30,"Tue, Feb 27, 2018",akron,80,68,232,84.66666666666667,76.93333333333334
31,"Fri, Mar 2, 2018",bowling-green-state,100,70,262,85.16129032258064,76.70967741935483
G,Date,opponent,Tm,Opp,262,85.16129032258064,76.70967741935483
32,"Thu, Mar 8, 2018",central-michigan,89,74,277,85.28125,76.625
33,"Fri, Mar 9, 2018",kent-state,78,61,294,85.06060606060606,76.15151515151516
34,"Sat, Mar 10, 2018",toledo,76,66,304,84.79411764705883,75.8529411764706
G,Date,opponent,Tm,Opp,304,84.79411764705883,75.8529411764706
35,"Thu, Mar 15, 2018",arizona 12,89,68,325,84.91428571428571,75.62857142857143
36,"Sat, Mar 17, 2018",kentucky 18,75,95,305,84.63888888888889,76.16666666666667
