G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",kennesaw-state,82,64,18,82.0,64.0
2,"Sun, Nov 12, 2017",princeton,85,75,28,83.5,69.5
3,"Wed, Nov 15, 2017",maryland,65,79,14,77.33333333333333,72.66666666666667
4,"Sat, Nov 18, 2017",furman,82,65,31,78.5,70.75
5,"Thu, Nov 23, 2017",texas,48,61,18,72.4,68.8
6,"Fri, Nov 24, 2017",portland-state,71,69,20,72.16666666666667,68.83333333333333
7,"Sun, Nov 26, 2017",ohio-state,67,66,21,71.42857142857143,68.42857142857143
8,"Sat, Dec 2, 2017",saint-louis,75,45,51,71.875,65.5
9,"Tue, Dec 5, 2017",utah,81,69,63,72.88888888888889,65.88888888888889
10,"Sat, Dec 9, 2017",youngstown-state,95,67,91,75.1,66.0
11,"Sat, Dec 16, 2017",purdue 17,67,82,76,74.36363636363636,67.45454545454545
12,"Tue, Dec 19, 2017",morehead-state,85,69,92,75.25,67.58333333333333
13,"Thu, Dec 21, 2017",western-illinois,107,46,153,77.6923076923077,65.92307692307692
14,"Wed, Dec 27, 2017",georgetown,91,89,155,78.64285714285714,67.57142857142857
15,"Sat, Dec 30, 2017",villanova 1,101,93,163,80.13333333333334,69.26666666666667
16,"Tue, Jan 2, 2018",xavier 5,79,86,156,80.0625,70.3125
17,"Sat, Jan 6, 2018",seton-hall 21,87,90,153,80.47058823529412,71.47058823529412
18,"Tue, Jan 9, 2018",creighton 25,74,85,142,80.11111111111111,72.22222222222223
19,"Fri, Jan 12, 2018",marquette,94,83,153,80.84210526315789,72.78947368421052
20,"Mon, Jan 15, 2018",providence,60,70,143,79.8,72.65
21,"Sat, Jan 20, 2018",depaul,79,67,155,79.76190476190476,72.38095238095238
22,"Sat, Jan 27, 2018",st-johns-ny,70,45,180,79.31818181818181,71.13636363636364
23,"Wed, Jan 31, 2018",marquette,92,72,200,79.8695652173913,71.17391304347827
24,"Sat, Feb 3, 2018",depaul,80,57,223,79.875,70.58333333333333
25,"Tue, Feb 6, 2018",xavier 5,93,98,218,80.4,71.68
26,"Sat, Feb 10, 2018",villanova 1,75,86,207,80.1923076923077,72.23076923076923
27,"Tue, Feb 13, 2018",georgetown,83,87,203,80.29629629629629,72.77777777777777
28,"Sat, Feb 17, 2018",providence,69,54,218,79.89285714285714,72.10714285714286
29,"Tue, Feb 20, 2018",creighton,93,70,241,80.34482758620689,72.03448275862068
30,"Wed, Feb 28, 2018",st-johns-ny,68,75,234,79.93333333333334,72.13333333333334
31,"Sat, Mar 3, 2018",seton-hall,70,77,227,79.61290322580645,72.29032258064517
G,Date,opponent,Tm,Opp,227,79.61290322580645,72.29032258064517
32,"Thu, Mar 8, 2018",seton-hall,75,74,228,79.46875,72.34375
33,"Fri, Mar 9, 2018",villanova 2,68,87,209,79.12121212121212,72.78787878787878
G,Date,opponent,Tm,Opp,209,79.12121212121212,72.78787878787878
34,"Fri, Mar 16, 2018",arkansas,79,62,226,79.11764705882354,72.47058823529412
35,"Sun, Mar 18, 2018",purdue 11,73,76,223,78.94285714285714,72.57142857142857
