G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",stanford,62,78,-16,62.0,78.0
2,"Sun, Nov 12, 2017",california,82,85,-19,72.0,81.5
3,"Wed, Nov 15, 2017",holy-names,76,47,10,73.33333333333333,70.0
4,"Sat, Nov 18, 2017",santa-clara,63,59,14,70.75,67.25
5,"Wed, Nov 22, 2017",college-of-charleston,73,68,19,71.2,67.4
6,"Fri, Nov 24, 2017",central-michigan,53,56,16,68.16666666666667,65.5
7,"Sat, Nov 25, 2017",idaho,66,75,7,67.85714285714286,66.85714285714286
8,"Sat, Dec 2, 2017",pepperdine,91,81,17,70.75,68.625
9,"Sat, Dec 9, 2017",fresno-state,63,83,-3,69.88888888888889,70.22222222222223
10,"Tue, Dec 12, 2017",bethune-cookman,53,67,-17,68.2,69.9
11,"Sat, Dec 16, 2017",princeton,60,80,-37,67.45454545454545,70.81818181818181
12,"Tue, Dec 19, 2017",southern-methodist,64,84,-57,67.16666666666667,71.91666666666667
13,"Thu, Dec 21, 2017",texas-arlington,56,77,-78,66.3076923076923,72.3076923076923
14,"Sat, Dec 30, 2017",notre-dame-ca,73,40,-45,66.78571428571429,70.0
15,"Thu, Jan 4, 2018",california-santa-barbara,80,79,-44,67.66666666666667,70.6
16,"Sat, Jan 6, 2018",cal-state-fullerton,97,101,-48,69.5,72.5
17,"Wed, Jan 10, 2018",hawaii,45,57,-60,68.05882352941177,71.58823529411765
18,"Thu, Jan 18, 2018",california-irvine,73,80,-67,68.33333333333333,72.05555555555556
19,"Sat, Jan 20, 2018",cal-state-northridge,54,72,-85,67.57894736842105,72.05263157894737
20,"Thu, Jan 25, 2018",long-beach-state,71,87,-101,67.75,72.8
21,"Sat, Jan 27, 2018",california-davis,56,80,-125,67.19047619047619,73.14285714285714
22,"Wed, Jan 31, 2018",california-riverside,71,68,-122,67.36363636363636,72.9090909090909
23,"Sat, Feb 3, 2018",hawaii,78,64,-108,67.82608695652173,72.52173913043478
24,"Thu, Feb 8, 2018",cal-state-fullerton,59,75,-124,67.45833333333333,72.625
25,"Sat, Feb 10, 2018",long-beach-state,54,73,-143,66.92,72.64
26,"Thu, Feb 15, 2018",california-davis,84,92,-151,67.57692307692308,73.38461538461539
27,"Sat, Feb 17, 2018",california-irvine,58,75,-168,67.22222222222223,73.44444444444444
28,"Thu, Feb 22, 2018",cal-state-northridge,90,86,-164,68.03571428571429,73.89285714285714
29,"Thu, Mar 1, 2018",california-riverside,63,72,-173,67.86206896551724,73.82758620689656
30,"Sat, Mar 3, 2018",california-santa-barbara,61,86,-198,67.63333333333334,74.23333333333333
G,Date,opponent,Tm,Opp,-198,67.63333333333334,74.23333333333333
31,"Thu, Mar 8, 2018",california-santa-barbara,53,75,-220,67.16129032258064,74.25806451612904
