G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",whittier,88,66,22,88.0,66.0
2,"Mon, Nov 13, 2017",georgia-southern,53,77,-2,70.5,71.5
3,"Thu, Nov 16, 2017",arizona 3,59,91,-34,66.66666666666667,78.0
4,"Sun, Nov 19, 2017",lamar,85,73,-22,71.25,76.75
5,"Wed, Nov 22, 2017",alaska-anchorage,59,39,-2,68.8,69.2
6,"Fri, Nov 24, 2017",idaho,64,62,0,68.0,68.0
7,"Sat, Nov 25, 2017",central-michigan,72,75,-3,68.57142857142857,69.0
8,"Wed, Nov 29, 2017",ucla,66,75,-12,68.25,69.75
9,"Sat, Dec 2, 2017",northern-arizona,52,60,-20,66.44444444444444,68.66666666666667
10,"Tue, Dec 5, 2017",fresno-state,55,70,-35,65.3,68.8
11,"Fri, Dec 8, 2017",life-pacific,100,71,-6,68.45454545454545,69.0
12,"Sat, Dec 9, 2017",idaho,66,55,5,68.25,67.83333333333333
13,"Sat, Dec 16, 2017",georgia-southern,55,53,7,67.23076923076923,66.6923076923077
14,"Wed, Dec 20, 2017",delaware,62,76,-7,66.85714285714286,67.35714285714286
15,"Wed, Dec 27, 2017",arkansas,68,95,-34,66.93333333333334,69.2
16,"Sat, Jan 6, 2018",utah-valley,42,75,-67,65.375,69.5625
17,"Thu, Jan 11, 2018",texas-pan-american,74,87,-80,65.88235294117646,70.58823529411765
18,"Sat, Jan 13, 2018",new-mexico-state,53,66,-93,65.16666666666667,70.33333333333333
19,"Thu, Jan 18, 2018",missouri-kansas-city,59,62,-96,64.84210526315789,69.89473684210526
20,"Sat, Jan 20, 2018",chicago-state,89,78,-85,66.05,70.3
21,"Fri, Jan 26, 2018",seattle,55,59,-89,65.52380952380952,69.76190476190476
22,"Thu, Feb 1, 2018",chicago-state,91,61,-59,66.68181818181819,69.36363636363636
23,"Sat, Feb 3, 2018",missouri-kansas-city,81,58,-36,67.30434782608695,68.8695652173913
24,"Thu, Feb 8, 2018",new-mexico-state,43,69,-62,66.29166666666667,68.875
25,"Sat, Feb 10, 2018",texas-pan-american,66,68,-64,66.28,68.84
26,"Sat, Feb 17, 2018",grand-canyon,71,58,-51,66.46153846153847,68.42307692307692
27,"Thu, Feb 22, 2018",utah-valley,47,70,-74,65.74074074074075,68.48148148148148
28,"Sat, Feb 24, 2018",seattle,64,57,-67,65.67857142857143,68.07142857142857
29,"Sat, Mar 3, 2018",grand-canyon,68,81,-80,65.75862068965517,68.51724137931035
G,Date,opponent,Tm,Opp,-80,65.75862068965517,68.51724137931035
30,"Thu, Mar 8, 2018",utah-valley,74,81,-87,66.03333333333333,68.93333333333334
