G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",southern-california 10,42,84,-42,42.0,84.0
2,"Wed, Nov 15, 2017",saint-marys-ca 21,57,76,-61,49.5,80.0
3,"Sat, Nov 18, 2017",bethesda-university-ca,77,35,-19,58.666666666666664,65.0
4,"Thu, Nov 23, 2017",georgia,57,64,-26,58.25,64.75
5,"Fri, Nov 24, 2017",sacramento-state,68,63,-21,60.2,64.4
6,"Sun, Nov 26, 2017",harvard,70,61,-12,61.833333333333336,63.833333333333336
7,"Sat, Dec 2, 2017",cal-lutheran,86,58,16,65.28571428571429,63.0
8,"Wed, Dec 6, 2017",portland,76,66,26,66.625,63.375
9,"Sat, Dec 9, 2017",utah-valley,91,83,34,69.33333333333333,65.55555555555556
10,"Sat, Dec 16, 2017",california,89,95,28,71.3,68.5
11,"Fri, Dec 22, 2017",loyola-marymount,88,80,36,72.81818181818181,69.54545454545455
12,"Sat, Dec 30, 2017",utah-valley,78,87,27,73.25,71.0
13,"Wed, Jan 3, 2018",california-riverside,68,65,30,72.84615384615384,70.53846153846153
14,"Sat, Jan 6, 2018",cal-poly,101,97,34,74.85714285714286,72.42857142857143
15,"Thu, Jan 11, 2018",california-irvine,67,64,37,74.33333333333333,71.86666666666666
16,"Sat, Jan 13, 2018",california-davis,85,70,52,75.0,71.75
17,"Wed, Jan 17, 2018",california-santa-barbara,64,83,33,74.3529411764706,72.41176470588235
18,"Sat, Jan 20, 2018",long-beach-state,73,81,25,74.27777777777777,72.88888888888889
19,"Thu, Jan 25, 2018",california-santa-barbara,65,70,20,73.78947368421052,72.73684210526316
20,"Sun, Jan 28, 2018",hawaii,69,66,23,73.55,72.4
21,"Sat, Feb 3, 2018",california-irvine,58,63,18,72.80952380952381,71.95238095238095
22,"Thu, Feb 8, 2018",cal-poly,75,59,34,72.9090909090909,71.36363636363636
23,"Sat, Feb 10, 2018",california-davis,68,66,36,72.69565217391305,71.1304347826087
24,"Sat, Feb 17, 2018",cal-state-northridge,88,70,54,73.33333333333333,71.08333333333333
25,"Wed, Feb 21, 2018",california-riverside,65,69,50,73.0,71.0
26,"Sat, Feb 24, 2018",long-beach-state,81,71,60,73.3076923076923,71.0
27,"Wed, Feb 28, 2018",cal-state-northridge,102,76,86,74.37037037037037,71.18518518518519
28,"Sat, Mar 3, 2018",hawaii,60,68,78,73.85714285714286,71.07142857142857
G,Date,opponent,Tm,Opp,78,73.85714285714286,71.07142857142857
29,"Thu, Mar 8, 2018",long-beach-state,76,74,80,73.93103448275862,71.17241379310344
30,"Fri, Mar 9, 2018",california-davis,55,52,83,73.3,70.53333333333333
31,"Sat, Mar 10, 2018",california-irvine,71,55,99,73.2258064516129,70.03225806451613
G,Date,opponent,Tm,Opp,99,73.2258064516129,70.03225806451613
32,"Fri, Mar 16, 2018",purdue 11,48,74,73,72.4375,70.15625
