G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Mon, Nov 13, 2017",northern-colorado,72,59,13,72.0,59.0
2,"Wed, Nov 15, 2017",pacific,62,58,17,67.0,58.5
3,"Sat, Nov 18, 2017",utah-valley,71,80,8,68.33333333333333,65.66666666666667
4,"Tue, Nov 21, 2017",sacramento-state,64,47,25,67.25,61.0
5,"Sun, Nov 26, 2017",washington,70,77,18,67.8,64.2
6,"Wed, Nov 29, 2017",northern-colorado,56,51,23,65.83333333333333,62.0
7,"Sat, Dec 2, 2017",washington-state,81,67,37,68.0,62.714285714285715
8,"Wed, Dec 6, 2017",pacific,71,67,41,68.375,63.25
9,"Sat, Dec 9, 2017",william-jessup,86,52,75,70.33333333333333,62.0
10,"Fri, Dec 15, 2017",san-francisco,61,74,62,69.4,63.2
11,"Tue, Dec 19, 2017",nevada,73,88,47,69.72727272727273,65.45454545454545
12,"Fri, Dec 22, 2017",lamar,77,68,56,70.33333333333333,65.66666666666667
13,"Sat, Dec 23, 2017",radford,62,72,46,69.6923076923077,66.15384615384616
14,"Sat, Dec 30, 2017",holy-names,89,62,73,71.07142857142857,65.85714285714286
15,"Thu, Jan 4, 2018",california-irvine,64,53,84,70.6,65.0
16,"Thu, Jan 11, 2018",california-riverside,75,65,94,70.875,65.0
17,"Sat, Jan 13, 2018",cal-state-fullerton,70,85,79,70.82352941176471,66.17647058823529
18,"Wed, Jan 17, 2018",long-beach-state,84,75,88,71.55555555555556,66.66666666666667
19,"Sat, Jan 20, 2018",hawaii,72,77,83,71.57894736842105,67.21052631578948
20,"Thu, Jan 25, 2018",cal-state-northridge,63,56,90,71.15,66.65
21,"Sat, Jan 27, 2018",cal-poly,80,56,114,71.57142857142857,66.14285714285714
22,"Thu, Feb 1, 2018",cal-state-northridge,63,56,121,71.18181818181819,65.68181818181819
23,"Sat, Feb 3, 2018",long-beach-state,105,104,122,72.65217391304348,67.34782608695652
24,"Thu, Feb 8, 2018",california-santa-barbara,81,90,113,73.0,68.29166666666667
25,"Sat, Feb 10, 2018",cal-state-fullerton,66,68,111,72.72,68.28
26,"Thu, Feb 15, 2018",cal-poly,92,84,119,73.46153846153847,68.88461538461539
27,"Sat, Feb 17, 2018",california-santa-barbara,71,54,136,73.37037037037037,68.33333333333333
28,"Sat, Feb 24, 2018",california-riverside,64,63,137,73.03571428571429,68.14285714285714
29,"Thu, Mar 1, 2018",hawaii,70,59,148,72.93103448275862,67.82758620689656
30,"Sat, Mar 3, 2018",california-irvine,90,84,154,73.5,68.36666666666666
G,Date,opponent,Tm,Opp,154,73.5,68.36666666666666
31,"Thu, Mar 8, 2018",california-riverside,70,66,158,73.38709677419355,68.29032258064517
32,"Fri, Mar 9, 2018",cal-state-fullerton,52,55,155,72.71875,67.875
G,Date,opponent,Tm,Opp,155,72.71875,67.875
33,"Wed, Mar 14, 2018",utah,59,69,145,72.3030303030303,67.9090909090909
