G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",south-dakota-state,54,65,-11,54.0,65.0
2,"Sun, Nov 12, 2017",denver,83,69,3,68.5,67.0
3,"Tue, Nov 14, 2017",chapman,91,52,42,76.0,62.0
4,"Fri, Nov 17, 2017",kansas-state,49,71,20,69.25,64.25
5,"Sun, Nov 19, 2017",arizona-state,78,99,-1,71.0,71.2
6,"Thu, Nov 23, 2017",rider,82,90,-9,72.83333333333333,74.33333333333333
7,"Fri, Nov 24, 2017",northern-arizona,77,71,-3,73.42857142857143,73.85714285714286
8,"Sun, Nov 26, 2017",californiala 24,63,87,-27,72.125,75.5
9,"Wed, Nov 29, 2017",whittier,112,65,20,76.55555555555556,74.33333333333333
10,"Sat, Dec 2, 2017",nevada,65,76,9,75.4,74.5
11,"Wed, Dec 6, 2017",utah-state,59,62,6,73.9090909090909,73.36363636363636
12,"Sat, Dec 9, 2017",texas-pan-american,59,73,-8,72.66666666666667,73.33333333333333
13,"Sat, Dec 16, 2017",saint-marys-ca,66,73,-15,72.15384615384616,73.3076923076923
14,"Tue, Dec 19, 2017",montana,68,86,-33,71.85714285714286,74.21428571428571
15,"Thu, Dec 21, 2017",idaho,67,59,-25,71.53333333333333,73.2
16,"Thu, Dec 28, 2017",new-mexico-state,60,65,-30,70.8125,72.6875
17,"Thu, Jan 4, 2018",california-davis,53,64,-41,69.76470588235294,72.17647058823529
18,"Sat, Jan 6, 2018",long-beach-state,86,73,-28,70.66666666666667,72.22222222222223
19,"Thu, Jan 11, 2018",cal-state-fullerton,64,67,-31,70.3157894736842,71.94736842105263
20,"Sat, Jan 13, 2018",cal-state-northridge,71,54,-14,70.35,71.05
21,"Thu, Jan 18, 2018",cal-poly,80,73,-7,70.80952380952381,71.14285714285714
22,"Sat, Jan 20, 2018",california-santa-barbara,58,70,-19,70.22727272727273,71.0909090909091
23,"Wed, Jan 24, 2018",california-riverside,79,40,20,70.6086956521739,69.73913043478261
24,"Wed, Jan 31, 2018",long-beach-state,75,68,27,70.79166666666667,69.66666666666667
25,"Sat, Feb 3, 2018",cal-state-fullerton,63,58,32,70.48,69.2
26,"Wed, Feb 7, 2018",cal-state-northridge,77,56,53,70.73076923076923,68.6923076923077
27,"Sat, Feb 10, 2018",california-riverside,62,52,63,70.4074074074074,68.07407407407408
28,"Thu, Feb 15, 2018",hawaii,61,62,62,70.07142857142857,67.85714285714286
29,"Sat, Feb 17, 2018",cal-poly,75,58,79,70.24137931034483,67.51724137931035
30,"Thu, Feb 22, 2018",california-santa-barbara,69,49,99,70.2,66.9
31,"Sat, Feb 24, 2018",hawaii,66,57,108,70.06451612903226,66.58064516129032
32,"Sat, Mar 3, 2018",california-davis,84,90,102,70.5,67.3125
G,Date,opponent,Tm,Opp,102,70.5,67.3125
33,"Thu, Mar 8, 2018",hawaii,68,67,103,70.42424242424242,67.3030303030303
34,"Fri, Mar 9, 2018",california-santa-barbara,61,58,106,70.1470588235294,67.02941176470588
35,"Sat, Mar 10, 2018",cal-state-fullerton,55,71,90,69.71428571428571,67.14285714285714
