G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",california,74,66,8,74.0,66.0
2,"Wed, Nov 15, 2017",loyola-marymount,64,76,-4,69.0,71.0
3,"Sat, Nov 18, 2017",portland-state,82,94,-16,73.33333333333333,78.66666666666667
4,"Wed, Nov 22, 2017",western-new-mexico,75,57,2,73.75,73.25
5,"Sun, Nov 26, 2017",michigan,42,87,-43,67.4,76.0
6,"Thu, Nov 30, 2017",pacific,55,57,-45,65.33333333333333,72.83333333333333
7,"Sat, Dec 2, 2017",grand-canyon,56,68,-57,64.0,72.14285714285714
8,"Tue, Dec 5, 2017",pepperdine,59,70,-68,63.375,71.875
9,"Fri, Dec 8, 2017",air-force,67,48,-49,63.77777777777778,69.22222222222223
10,"Sun, Dec 17, 2017",montana,61,77,-65,63.5,70.0
11,"Wed, Dec 20, 2017",valparaiso,73,60,-52,64.36363636363636,69.0909090909091
12,"Fri, Dec 22, 2017",california-merced,91,46,-7,66.58333333333333,67.16666666666667
13,"Thu, Dec 28, 2017",utah-valley,82,90,-15,67.76923076923077,68.92307692307692
14,"Sat, Dec 30, 2017",seattle,71,95,-39,68.0,70.78571428571429
15,"Wed, Jan 3, 2018",cal-state-fullerton,65,68,-42,67.8,70.6
16,"Sat, Jan 6, 2018",california-santa-barbara,57,65,-50,67.125,70.25
17,"Thu, Jan 11, 2018",california-davis,65,75,-60,67.0,70.52941176470588
18,"Sat, Jan 13, 2018",long-beach-state,68,75,-67,67.05555555555556,70.77777777777777
19,"Wed, Jan 17, 2018",cal-state-northridge,57,66,-76,66.52631578947368,70.52631578947368
20,"Wed, Jan 24, 2018",california-irvine,40,79,-115,65.2,70.95
21,"Sat, Jan 27, 2018",california-santa-barbara,69,76,-122,65.38095238095238,71.19047619047619
22,"Wed, Jan 31, 2018",cal-poly,68,71,-125,65.5,71.18181818181819
23,"Wed, Feb 7, 2018",hawaii,64,60,-121,65.43478260869566,70.69565217391305
24,"Sat, Feb 10, 2018",california-irvine,52,62,-131,64.875,70.33333333333333
25,"Wed, Feb 14, 2018",cal-state-northridge,69,62,-124,65.04,70.0
26,"Sat, Feb 17, 2018",hawaii,69,74,-129,65.1923076923077,70.15384615384616
27,"Wed, Feb 21, 2018",cal-state-fullerton,69,65,-125,65.33333333333333,69.96296296296296
28,"Sat, Feb 24, 2018",california-davis,63,64,-126,65.25,69.75
29,"Thu, Mar 1, 2018",cal-poly,72,63,-117,65.48275862068965,69.51724137931035
30,"Sat, Mar 3, 2018",long-beach-state,59,77,-135,65.26666666666667,69.76666666666667
G,Date,opponent,Tm,Opp,-135,65.26666666666667,69.76666666666667
31,"Thu, Mar 8, 2018",california-davis,66,70,-139,65.29032258064517,69.7741935483871
