G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",north-dakota-state,85,66,19,85.0,66.0
2,"Wed, Nov 15, 2017",pittsburgh,62,70,11,73.5,68.0
3,"Fri, Nov 17, 2017",texas-am 16,65,84,-8,70.66666666666667,73.33333333333333
4,"Mon, Nov 20, 2017",pepperdine,92,84,0,76.0,76.0
5,"Tue, Nov 21, 2017",montana,80,73,7,76.8,75.4
6,"Fri, Nov 24, 2017",prairie-view,69,66,10,75.5,73.83333333333333
7,"Tue, Nov 28, 2017",san-francisco,79,72,17,76.0,73.57142857142857
8,"Sat, Dec 2, 2017",san-diego,67,57,27,74.875,71.5
9,"Tue, Dec 5, 2017",nebraska-omaha,77,70,34,75.11111111111111,71.33333333333333
10,"Sat, Dec 9, 2017",montana-state,91,69,56,76.7,71.1
11,"Sun, Dec 17, 2017",southern-california,87,98,45,77.63636363636364,73.54545454545455
12,"Tue, Dec 19, 2017",san-diego-christian,87,69,63,78.41666666666667,73.16666666666667
13,"Sat, Dec 23, 2017",sacramento-state,82,72,73,78.6923076923077,73.07692307692308
14,"Sat, Dec 30, 2017",pacific-union,81,49,105,78.85714285714286,71.35714285714286
15,"Thu, Jan 4, 2018",cal-poly,79,80,104,78.86666666666666,71.93333333333334
16,"Sat, Jan 6, 2018",california-riverside,65,57,112,78.0,71.0
17,"Sun, Jan 14, 2018",hawaii,76,77,111,77.88235294117646,71.3529411764706
18,"Wed, Jan 17, 2018",cal-state-fullerton,83,64,130,78.16666666666667,70.94444444444444
19,"Sat, Jan 20, 2018",california-irvine,70,58,142,77.73684210526316,70.26315789473684
20,"Thu, Jan 25, 2018",cal-state-fullerton,70,65,147,77.35,70.0
21,"Sat, Jan 27, 2018",california-riverside,76,69,154,77.28571428571429,69.95238095238095
22,"Thu, Feb 1, 2018",hawaii,84,82,156,77.5909090909091,70.5
23,"Sat, Feb 3, 2018",cal-state-northridge,75,51,180,77.47826086956522,69.65217391304348
24,"Thu, Feb 8, 2018",california-davis,90,81,189,78.0,70.125
25,"Thu, Feb 15, 2018",long-beach-state,80,70,199,78.08,70.12
26,"Sat, Feb 17, 2018",california-davis,54,71,182,77.15384615384616,70.15384615384616
27,"Thu, Feb 22, 2018",california-irvine,49,69,162,76.11111111111111,70.11111111111111
28,"Sat, Feb 24, 2018",cal-state-northridge,82,73,171,76.32142857142857,70.21428571428571
29,"Thu, Mar 1, 2018",long-beach-state,69,70,170,76.06896551724138,70.20689655172414
30,"Sat, Mar 3, 2018",cal-poly,86,61,195,76.4,69.9
G,Date,opponent,Tm,Opp,195,76.4,69.9
31,"Thu, Mar 8, 2018",cal-poly,75,53,217,76.35483870967742,69.35483870967742
32,"Fri, Mar 9, 2018",california-irvine,58,61,214,75.78125,69.09375
