G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",california-riverside,66,74,-8,66.0,74.0
2,"Sun, Nov 12, 2017",cal-poly,85,82,-5,75.5,78.0
3,"Thu, Nov 16, 2017",wofford,79,65,9,76.66666666666667,73.66666666666667
4,"Mon, Nov 20, 2017",wichita-state 6,82,92,-1,78.0,78.25
5,"Tue, Nov 21, 2017",virginia-commonwealth,69,83,-15,76.2,79.2
6,"Wed, Nov 22, 2017",chaminade,72,96,-39,75.5,82.0
7,"Tue, Nov 28, 2017",cal-state-northridge,83,63,-19,76.57142857142857,79.28571428571429
8,"Sat, Dec 2, 2017",saint-marys-ca,63,74,-30,74.875,78.625
9,"Wed, Dec 6, 2017",central-arkansas,69,96,-57,74.22222222222223,80.55555555555556
10,"Sat, Dec 9, 2017",san-diego-state,63,62,-56,73.1,78.7
11,"Sat, Dec 16, 2017",cal-state-fullerton,95,89,-50,75.0909090909091,79.63636363636364
12,"Tue, Dec 19, 2017",seattle,81,59,-28,75.58333333333333,77.91666666666667
13,"Thu, Dec 21, 2017",portland-state,81,106,-53,76.0,80.07692307692308
14,"Sat, Dec 30, 2017",stanford,77,74,-50,76.07142857142857,79.64285714285714
15,"Thu, Jan 4, 2018",southern-california,62,80,-68,75.13333333333334,79.66666666666667
16,"Sat, Jan 6, 2018",ucla,84,107,-91,75.6875,81.375
17,"Thu, Jan 11, 2018",washington,56,66,-101,74.52941176470588,80.47058823529412
18,"Sat, Jan 13, 2018",washington-state,53,78,-126,73.33333333333333,80.33333333333333
19,"Wed, Jan 17, 2018",arizona 14,58,79,-147,72.52631578947368,80.26315789473684
20,"Sat, Jan 20, 2018",arizona-state 16,73,81,-155,72.55,80.3
21,"Thu, Jan 25, 2018",ucla,57,70,-168,71.80952380952381,79.80952380952381
22,"Sun, Jan 28, 2018",southern-california,59,77,-186,71.22727272727273,79.68181818181819
23,"Thu, Feb 1, 2018",oregon,53,66,-199,70.43478260869566,79.08695652173913
24,"Sat, Feb 3, 2018",oregon-state,74,70,-195,70.58333333333333,78.70833333333333
25,"Wed, Feb 7, 2018",colorado,64,68,-199,70.32,78.28
26,"Sat, Feb 10, 2018",utah,43,77,-233,69.26923076923077,78.23076923076923
27,"Sun, Feb 18, 2018",stanford,73,77,-237,69.4074074074074,78.18518518518519
28,"Thu, Feb 22, 2018",washington-state,76,78,-239,69.64285714285714,78.17857142857143
29,"Sat, Feb 24, 2018",washington,51,68,-256,69.0,77.82758620689656
30,"Thu, Mar 1, 2018",arizona-state,53,84,-287,68.46666666666667,78.03333333333333
31,"Sat, Mar 3, 2018",arizona 19,54,66,-299,68.0,77.64516129032258
G,Date,opponent,Tm,Opp,-299,68.0,77.64516129032258
32,"Wed, Mar 7, 2018",stanford,58,76,-317,67.6875,77.59375
