G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",penn-state,75,86,-11,75.0,86.0
2,"Mon, Nov 13, 2017",columbia-international,108,44,53,91.5,65.0
3,"Sat, Nov 18, 2017",north-carolina-wilmington,84,88,49,89.0,72.66666666666667
4,"Mon, Nov 20, 2017",johnson--wales-nc,98,53,94,91.25,67.75
5,"Fri, Nov 24, 2017",abilene-christian,80,85,89,89.0,71.2
6,"Sat, Nov 25, 2017",bowling-green-state,72,78,83,86.16666666666667,72.33333333333333
7,"Sun, Nov 26, 2017",south-carolina-upstate,93,74,102,87.14285714285714,72.57142857142857
8,"Thu, Nov 30, 2017",stetson,85,78,109,86.875,73.25
9,"Mon, Dec 4, 2017",east-carolina,66,69,106,84.55555555555556,72.77777777777777
10,"Thu, Dec 14, 2017",citadel,87,77,116,84.8,73.2
11,"Tue, Dec 19, 2017",saint-louis,66,74,108,83.0909090909091,73.27272727272727
12,"Fri, Dec 22, 2017",allen,91,62,137,83.75,72.33333333333333
13,"Sat, Dec 30, 2017",north-carolina-asheville,79,85,131,83.38461538461539,73.3076923076923
14,"Wed, Jan 3, 2018",gardner-webb,80,82,129,83.14285714285714,73.92857142857143
15,"Sat, Jan 6, 2018",winthrop,88,77,140,83.46666666666667,74.13333333333334
16,"Tue, Jan 9, 2018",presbyterian,83,79,144,83.4375,74.4375
17,"Fri, Jan 12, 2018",high-point,65,64,145,82.3529411764706,73.82352941176471
18,"Mon, Jan 15, 2018",longwood,62,76,131,81.22222222222223,73.94444444444444
19,"Thu, Jan 18, 2018",charleston-southern,62,47,146,80.21052631578948,72.52631578947368
20,"Sun, Jan 21, 2018",radford,59,56,149,79.15,71.7
21,"Tue, Jan 23, 2018",liberty,94,85,158,79.85714285714286,72.33333333333333
22,"Sat, Jan 27, 2018",winthrop,64,75,147,79.13636363636364,72.45454545454545
23,"Thu, Feb 1, 2018",north-carolina-asheville,57,64,140,78.17391304347827,72.08695652173913
24,"Sat, Feb 3, 2018",high-point,56,67,129,77.25,71.875
25,"Wed, Feb 7, 2018",gardner-webb,78,70,137,77.28,71.8
26,"Sat, Feb 10, 2018",longwood,88,54,171,77.6923076923077,71.11538461538461
27,"Thu, Feb 15, 2018",radford,53,72,152,76.77777777777777,71.14814814814815
28,"Sun, Feb 18, 2018",liberty,79,69,162,76.85714285714286,71.07142857142857
29,"Thu, Feb 22, 2018",charleston-southern,68,72,158,76.55172413793103,71.10344827586206
30,"Sat, Feb 24, 2018",presbyterian,72,56,174,76.4,70.6
G,Date,opponent,Tm,Opp,174,76.4,70.6
31,"Thu, Mar 1, 2018",liberty,59,73,160,75.83870967741936,70.6774193548387
G,Date,opponent,Tm,Opp,160,75.83870967741936,70.6774193548387
32,"Wed, Mar 14, 2018",miami-oh,97,87,170,76.5,71.1875
33,"Mon, Mar 19, 2018",new-orleans,71,69,172,76.33333333333333,71.12121212121212
34,"Thu, Mar 22, 2018",san-francisco,62,65,169,75.91176470588235,70.94117647058823
