G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",buffalo,75,80,-5,75.0,80.0
2,"Tue, Nov 14, 2017",air-force,79,93,-19,77.0,86.5
3,"Sat, Nov 18, 2017",youngstown-state,104,84,1,86.0,85.66666666666667
4,"Tue, Nov 21, 2017",tennessee-state,52,60,-7,77.5,79.25
5,"Fri, Nov 24, 2017",texas-state,68,62,-1,75.6,75.8
6,"Sat, Nov 25, 2017",arkansas-pine-bluff,81,58,22,76.5,72.83333333333333
7,"Sun, Nov 26, 2017",pacific,58,80,0,73.85714285714286,73.85714285714286
8,"Sat, Dec 2, 2017",dartmouth,73,60,13,73.75,72.125
9,"Wed, Dec 6, 2017",st-bonaventure,65,73,5,72.77777777777777,72.22222222222223
10,"Sat, Dec 9, 2017",evansville,58,65,-2,71.3,71.5
11,"Sat, Dec 16, 2017",albany-ny,65,68,-5,70.72727272727273,71.18181818181819
12,"Tue, Dec 19, 2017",elon,67,51,11,70.41666666666667,69.5
13,"Fri, Dec 22, 2017",robert-morris,76,62,25,70.84615384615384,68.92307692307692
14,"Fri, Dec 29, 2017",rider,77,76,26,71.28571428571429,69.42857142857143
15,"Sun, Dec 31, 2017",iona,85,78,33,72.2,70.0
16,"Fri, Jan 5, 2018",quinnipiac,82,74,41,72.8125,70.25
17,"Sun, Jan 7, 2018",siena,62,65,38,72.17647058823529,69.94117647058823
18,"Fri, Jan 12, 2018",saint-peters,70,58,50,72.05555555555556,69.27777777777777
19,"Sun, Jan 14, 2018",monmouth,94,79,65,73.21052631578948,69.78947368421052
20,"Fri, Jan 19, 2018",manhattan,68,59,74,72.95,69.25
21,"Sun, Jan 21, 2018",iona,84,82,76,73.47619047619048,69.85714285714286
22,"Sat, Jan 27, 2018",niagara,89,105,60,74.18181818181819,71.45454545454545
23,"Fri, Feb 2, 2018",marist,73,67,66,74.1304347826087,71.26086956521739
24,"Sun, Feb 4, 2018",saint-peters,73,58,81,74.08333333333333,70.70833333333333
25,"Thu, Feb 8, 2018",siena,89,65,105,74.68,70.48
26,"Sat, Feb 10, 2018",quinnipiac,71,64,112,74.53846153846153,70.23076923076923
27,"Mon, Feb 12, 2018",fairfield,81,63,130,74.77777777777777,69.96296296296296
28,"Fri, Feb 16, 2018",monmouth,78,60,148,74.89285714285714,69.60714285714286
29,"Sun, Feb 18, 2018",rider,82,83,147,75.13793103448276,70.06896551724138
30,"Wed, Feb 21, 2018",niagara,95,88,154,75.8,70.66666666666667
31,"Sun, Feb 25, 2018",marist,98,74,178,76.51612903225806,70.7741935483871
G,Date,opponent,Tm,Opp,178,76.51612903225806,70.7741935483871
32,"Fri, Mar 2, 2018",quinnipiac,69,72,175,76.28125,70.8125
G,Date,opponent,Tm,Opp,175,76.28125,70.8125
33,"Wed, Mar 14, 2018",jacksonville-state,78,80,173,76.33333333333333,71.0909090909091
