G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",baylor 24,66,107,-41,66.0,107.0
2,"Sun, Nov 12, 2017",university-of-the-ozarks,99,51,7,82.5,79.0
3,"Wed, Nov 15, 2017",californiala 23,101,106,2,88.66666666666667,88.0
4,"Sun, Nov 19, 2017",alcorn-state,102,76,28,92.0,85.0
5,"Tue, Nov 21, 2017",south-carolina-state,73,64,37,88.2,80.8
6,"Sat, Nov 25, 2017",tulsa,72,92,17,85.5,82.66666666666667
7,"Mon, Nov 27, 2017",morehead-state,82,78,21,85.0,82.0
8,"Wed, Nov 29, 2017",arkansas-little-rock,65,71,15,82.5,80.625
9,"Mon, Dec 4, 2017",san-francisco,76,78,13,81.77777777777777,80.33333333333333
10,"Wed, Dec 6, 2017",california,96,69,40,83.2,79.2
11,"Sat, Dec 9, 2017",arkansas-little-rock,69,54,55,81.9090909090909,76.9090909090909
12,"Sun, Dec 17, 2017",morehead-state,94,98,51,82.91666666666667,78.66666666666667
13,"Wed, Dec 20, 2017",oregon,82,96,37,82.84615384615384,80.0
14,"Thu, Dec 28, 2017",texas-am-corpus-christi,81,69,49,82.71428571428571,79.21428571428571
15,"Sun, Dec 31, 2017",southeastern-louisiana,69,73,45,81.8,78.8
16,"Wed, Jan 3, 2018",sam-houston-state,76,82,39,81.4375,79.0
17,"Sat, Jan 6, 2018",lamar,100,91,48,82.52941176470588,79.70588235294117
18,"Wed, Jan 10, 2018",incarnate-word,92,76,64,83.05555555555556,79.5
19,"Sat, Jan 13, 2018",nicholls-state,79,86,57,82.84210526315789,79.84210526315789
20,"Wed, Jan 17, 2018",new-orleans,81,57,81,82.75,78.7
21,"Sat, Jan 20, 2018",abilene-christian,63,80,64,81.80952380952381,78.76190476190476
22,"Wed, Jan 24, 2018",stephen-f-austin,100,92,72,82.63636363636364,79.36363636363636
23,"Sat, Jan 27, 2018",northwestern-state,95,78,89,83.17391304347827,79.30434782608695
24,"Sat, Feb 3, 2018",southeastern-louisiana,84,89,84,83.20833333333333,79.70833333333333
25,"Wed, Feb 7, 2018",houston-baptist,100,80,104,83.88,79.72
26,"Wed, Feb 14, 2018",mcneese-state,72,76,100,83.42307692307692,79.57692307692308
27,"Sat, Feb 17, 2018",nicholls-state,83,87,96,83.4074074074074,79.85185185185185
28,"Wed, Feb 21, 2018",stephen-f-austin,62,97,61,82.64285714285714,80.46428571428571
29,"Sat, Feb 24, 2018",abilene-christian,74,72,63,82.34482758620689,80.17241379310344
30,"Wed, Feb 28, 2018",sam-houston-state,88,70,81,82.53333333333333,79.83333333333333
31,"Sat, Mar 3, 2018",northwestern-state,61,58,84,81.83870967741936,79.12903225806451
G,Date,opponent,Tm,Opp,84,81.83870967741936,79.12903225806451
32,"Wed, Mar 7, 2018",lamar,67,57,94,81.375,78.4375
33,"Thu, Mar 8, 2018",stephen-f-austin,64,86,72,80.84848484848484,78.66666666666667
G,Date,opponent,Tm,Opp,72,80.84848484848484,78.66666666666667
34,"Wed, Mar 14, 2018",seattle,92,90,74,81.17647058823529,79.0
35,"Mon, Mar 19, 2018",jacksonville-state,59,80,53,80.54285714285714,79.02857142857142
