G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",hartford,84,85,-1,84.0,85.0
2,"Sun, Nov 12, 2017",rutgers,67,71,-5,75.5,78.0
3,"Tue, Nov 14, 2017",st-johns-ny,55,80,-30,68.66666666666667,78.66666666666667
4,"Fri, Nov 17, 2017",east-carolina,79,68,-19,71.25,76.0
5,"Tue, Nov 21, 2017",coppin-state,74,71,-16,71.8,75.0
6,"Fri, Nov 24, 2017",cleveland-state,74,73,-15,72.16666666666667,74.66666666666667
7,"Thu, Nov 30, 2017",north-carolina-at,72,59,-2,72.14285714285714,72.42857142857143
8,"Sat, Dec 2, 2017",brown,68,62,4,71.625,71.125
9,"Wed, Dec 6, 2017",depaul,57,85,-24,70.0,72.66666666666667
10,"Sat, Dec 9, 2017",northern-illinois,55,61,-30,68.5,71.5
11,"Sun, Dec 17, 2017",boston-college,65,84,-49,68.18181818181819,72.63636363636364
12,"Wed, Dec 20, 2017",maine,84,57,-22,69.5,71.33333333333333
13,"Sat, Dec 23, 2017",massachusetts-lowell,76,73,-19,70.0,71.46153846153847
14,"Fri, Dec 29, 2017",saint-francis-pa,72,68,-15,70.14285714285714,71.21428571428571
15,"Sun, Dec 31, 2017",robert-morris,57,71,-29,69.26666666666667,71.2
16,"Thu, Jan 4, 2018",fairleigh-dickinson,77,81,-33,69.75,71.8125
17,"Sat, Jan 6, 2018",mount-st-marys,51,78,-60,68.6470588235294,72.17647058823529
18,"Thu, Jan 11, 2018",st-francis-ny,60,77,-77,68.16666666666667,72.44444444444444
19,"Sat, Jan 13, 2018",bryant,80,76,-73,68.78947368421052,72.63157894736842
20,"Thu, Jan 18, 2018",fairleigh-dickinson,66,65,-72,68.65,72.25
21,"Sat, Jan 20, 2018",long-island-university,72,63,-63,68.80952380952381,71.80952380952381
22,"Thu, Jan 25, 2018",bryant,80,74,-57,69.31818181818181,71.9090909090909
23,"Sat, Jan 27, 2018",long-island-university,89,94,-62,70.17391304347827,72.8695652173913
24,"Thu, Feb 1, 2018",wagner,59,72,-75,69.70833333333333,72.83333333333333
25,"Sat, Feb 3, 2018",sacred-heart,54,67,-88,69.08,72.6
26,"Thu, Feb 8, 2018",mount-st-marys,57,71,-102,68.61538461538461,72.53846153846153
27,"Sat, Feb 10, 2018",sacred-heart,50,67,-119,67.92592592592592,72.33333333333333
28,"Thu, Feb 15, 2018",saint-francis-pa,71,77,-125,68.03571428571429,72.5
29,"Sat, Feb 17, 2018",robert-morris,65,58,-118,67.93103448275862,72.0
30,"Thu, Feb 22, 2018",wagner,62,64,-120,67.73333333333333,71.73333333333333
31,"Sat, Feb 24, 2018",st-francis-ny,78,75,-117,68.06451612903226,71.83870967741936
G,Date,opponent,Tm,Opp,-117,68.06451612903226,71.83870967741936
32,"Wed, Feb 28, 2018",wagner,61,73,-129,67.84375,71.875
