G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",mercer,88,79,9,88.0,79.0
2,"Wed, Nov 15, 2017",gardner-webb,68,65,12,78.0,72.0
3,"Sat, Nov 18, 2017",william-mary,75,64,23,77.0,69.33333333333333
4,"Thu, Nov 23, 2017",nebraska,68,59,32,74.75,66.75
5,"Fri, Nov 24, 2017",west-virginia 23,45,83,-6,68.8,70.0
6,"Sun, Nov 26, 2017",st-johns-ny,43,46,-9,64.5,66.0
7,"Thu, Nov 30, 2017",missouri,59,62,-12,63.714285714285715,65.42857142857143
8,"Sun, Dec 3, 2017",alabama 24,65,62,-9,63.875,65.0
9,"Sat, Dec 9, 2017",southern,76,60,7,65.22222222222223,64.44444444444444
10,"Tue, Dec 12, 2017",southeastern-louisiana,61,53,15,64.8,63.3
11,"Tue, Dec 19, 2017",stetson,74,55,34,65.63636363636364,62.54545454545455
12,"Thu, Dec 21, 2017",south-carolina-state,89,64,59,67.58333333333333,62.666666666666664
13,"Wed, Dec 27, 2017",southern-methodist,51,56,54,66.3076923076923,62.15384615384615
14,"Sun, Dec 31, 2017",east-carolina,59,39,74,65.78571428571429,60.5
15,"Wed, Jan 3, 2018",memphis,65,56,83,65.73333333333333,60.2
16,"Sun, Jan 7, 2018",temple,60,39,104,65.375,58.875
17,"Wed, Jan 10, 2018",connecticut,53,62,95,64.6470588235294,59.05882352941177
18,"Tue, Jan 16, 2018",cincinnati 12,38,49,84,63.166666666666664,58.5
19,"Sat, Jan 20, 2018",south-florida,71,69,86,63.578947368421055,59.05263157894737
20,"Thu, Jan 25, 2018",wichita-state 17,62,81,67,63.5,60.15
21,"Wed, Jan 31, 2018",connecticut,70,61,76,63.80952380952381,60.19047619047619
22,"Sat, Feb 3, 2018",houston,65,69,72,63.86363636363637,60.59090909090909
23,"Tue, Feb 6, 2018",cincinnati 6,40,77,35,62.82608695652174,61.30434782608695
24,"Sun, Feb 11, 2018",memphis,68,64,39,63.041666666666664,61.416666666666664
25,"Wed, Feb 14, 2018",south-florida,72,57,54,63.4,61.24
26,"Sat, Feb 17, 2018",southern-methodist,52,37,69,62.96153846153846,60.30769230769231
27,"Wed, Feb 21, 2018",tulsa,61,70,60,62.888888888888886,60.666666666666664
28,"Sun, Feb 25, 2018",temple,56,75,41,62.642857142857146,61.17857142857143
29,"Thu, Mar 1, 2018",wichita-state 11,71,75,37,62.93103448275862,61.6551724137931
30,"Sun, Mar 4, 2018",tulane,60,51,46,62.833333333333336,61.3
G,Date,opponent,Tm,Opp,46,62.833333333333336,61.3
31,"Thu, Mar 8, 2018",east-carolina,66,52,60,62.935483870967744,61.0
32,"Fri, Mar 9, 2018",houston 21,56,84,32,62.71875,61.71875
