G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",siena-heights,108,48,60,108.0,48.0
2,"Mon, Nov 13, 2017",michigan,65,72,53,86.5,60.0
3,"Sat, Nov 18, 2017",eureka,103,68,88,92.0,62.666666666666664
4,"Wed, Nov 22, 2017",sam-houston-state,71,60,99,86.75,62.0
5,"Fri, Nov 24, 2017",cal-poly,56,53,102,80.6,60.2
6,"Sat, Nov 25, 2017",cal-state-bakersfield,75,72,105,79.66666666666667,62.166666666666664
7,"Fri, Dec 1, 2017",jackson-state,70,63,112,78.28571428571429,62.285714285714285
8,"Tue, Dec 5, 2017",montana-state,75,48,139,77.875,60.5
9,"Sat, Dec 9, 2017",tennessee-tech,74,69,144,77.44444444444444,61.44444444444444
10,"Sat, Dec 16, 2017",southern-utah,80,86,138,77.7,63.9
11,"Tue, Dec 19, 2017",missouri-kansas-city,92,86,144,79.0,65.9090909090909
12,"Fri, Dec 22, 2017",southern-illinois-edwardsville,70,52,162,78.25,64.75
13,"Fri, Dec 29, 2017",lawrence,91,73,180,79.23076923076923,65.38461538461539
14,"Tue, Jan 2, 2018",ohio,75,50,205,78.92857142857143,64.28571428571429
15,"Sat, Jan 6, 2018",kent-state,69,85,189,78.26666666666667,65.66666666666667
16,"Tue, Jan 9, 2018",eastern-michigan,74,79,184,78.0,66.5
17,"Sat, Jan 13, 2018",toledo,82,93,173,78.23529411764706,68.05882352941177
18,"Tue, Jan 16, 2018",ball-state,76,82,167,78.11111111111111,68.83333333333333
19,"Sat, Jan 20, 2018",bowling-green-state,84,75,176,78.42105263157895,69.15789473684211
20,"Tue, Jan 23, 2018",miami-oh,61,70,167,77.55,69.2
21,"Sat, Jan 27, 2018",kent-state,76,84,159,77.47619047619048,69.9047619047619
22,"Tue, Jan 30, 2018",northern-illinois,81,67,173,77.63636363636364,69.77272727272727
23,"Sat, Feb 3, 2018",ohio,101,98,176,78.65217391304348,71.0
24,"Tue, Feb 6, 2018",buffalo,82,88,170,78.79166666666667,71.70833333333333
25,"Sat, Feb 10, 2018",akron,63,69,164,78.16,71.6
26,"Tue, Feb 13, 2018",northern-illinois,80,72,172,78.23076923076923,71.61538461538461
27,"Sat, Feb 17, 2018",eastern-michigan,67,72,167,77.81481481481481,71.62962962962963
28,"Tue, Feb 20, 2018",western-michigan,81,83,165,77.92857142857143,72.03571428571429
29,"Fri, Feb 23, 2018",toledo,76,89,152,77.86206896551724,72.62068965517241
30,"Tue, Feb 27, 2018",ball-state,75,51,176,77.76666666666667,71.9
31,"Sat, Mar 3, 2018",western-michigan,84,71,189,77.96774193548387,71.87096774193549
G,Date,opponent,Tm,Opp,189,77.96774193548387,71.87096774193549
32,"Mon, Mar 5, 2018",bowling-green-state,81,77,193,78.0625,72.03125
33,"Thu, Mar 8, 2018",buffalo,74,89,178,77.93939393939394,72.54545454545455
G,Date,opponent,Tm,Opp,178,77.93939393939394,72.54545454545455
34,"Mon, Mar 12, 2018",purdue-fort-wayne,94,89,183,78.41176470588235,73.02941176470588
35,"Fri, Mar 16, 2018",wofford,98,94,187,78.97142857142858,73.62857142857143
36,"Sat, Mar 24, 2018",liberty,71,84,174,78.75,73.91666666666667
