G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",davidson,62,110,-48,62.0,110.0
2,"Sun, Nov 12, 2017",north-carolina-state,56,78,-70,59.0,94.0
3,"Wed, Nov 15, 2017",columbia-international,98,58,-30,72.0,82.0
4,"Sat, Nov 18, 2017",south-carolina-upstate,82,72,-20,74.5,79.5
5,"Mon, Nov 20, 2017",toccoa-falls,107,36,51,81.0,70.8
6,"Sat, Nov 25, 2017",illinois-state,64,62,53,78.16666666666667,69.33333333333333
7,"Tue, Nov 28, 2017",virginia-military-institute,68,76,45,76.71428571428571,70.28571428571429
8,"Tue, Dec 12, 2017",south-carolina-state,88,91,42,78.125,72.875
9,"Fri, Dec 15, 2017",eastern-kentucky,65,70,37,76.66666666666667,72.55555555555556
10,"Mon, Dec 18, 2017",florida-state 24,58,69,26,74.8,72.2
11,"Thu, Dec 21, 2017",johnson--wales-nc,102,58,70,77.27272727272727,70.9090909090909
12,"Sat, Dec 30, 2017",longwood,84,43,111,77.83333333333333,68.58333333333333
13,"Tue, Jan 2, 2018",liberty,53,70,94,75.92307692307692,68.6923076923077
14,"Sat, Jan 6, 2018",high-point,59,80,73,74.71428571428571,69.5
15,"Tue, Jan 9, 2018",radford,61,64,70,73.8,69.13333333333334
16,"Fri, Jan 12, 2018",winthrop,53,64,59,72.5,68.8125
17,"Mon, Jan 15, 2018",north-carolina-asheville,73,83,49,72.52941176470588,69.6470588235294
18,"Thu, Jan 18, 2018",campbell,47,62,34,71.11111111111111,69.22222222222223
19,"Sun, Jan 21, 2018",gardner-webb,83,68,49,71.73684210526316,69.15789473684211
20,"Wed, Jan 24, 2018",presbyterian,49,57,41,70.6,68.55
21,"Sat, Jan 27, 2018",radford,84,81,44,71.23809523809524,69.14285714285714
22,"Thu, Feb 1, 2018",high-point,83,74,53,71.77272727272727,69.36363636363636
23,"Sat, Feb 3, 2018",gardner-webb,61,63,51,71.30434782608695,69.08695652173913
24,"Wed, Feb 7, 2018",liberty,87,75,63,71.95833333333333,69.33333333333333
25,"Sat, Feb 10, 2018",presbyterian,64,54,73,71.64,68.72
26,"Thu, Feb 15, 2018",longwood,77,65,85,71.84615384615384,68.57692307692308
27,"Sun, Feb 18, 2018",north-carolina-asheville,80,85,80,72.14814814814815,69.18518518518519
28,"Thu, Feb 22, 2018",campbell,72,68,84,72.14285714285714,69.14285714285714
29,"Sat, Feb 24, 2018",winthrop,78,75,87,72.34482758620689,69.34482758620689
G,Date,opponent,Tm,Opp,87,72.34482758620689,69.34482758620689
30,"Tue, Feb 27, 2018",presbyterian,68,51,104,72.2,68.73333333333333
31,"Thu, Mar 1, 2018",north-carolina-asheville,66,71,99,72.0,68.80645161290323
