G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",wyoming,65,74,-9,65.0,74.0
2,"Mon, Nov 13, 2017",alabama-birmingham,47,89,-51,56.0,81.5
3,"Thu, Nov 16, 2017",hiwassee,94,46,-3,68.66666666666667,69.66666666666667
4,"Mon, Nov 20, 2017",alabama-state,67,50,14,68.25,64.75
5,"Tue, Nov 21, 2017",jacksonville-state,75,77,12,69.6,67.2
6,"Sat, Nov 25, 2017",tennessee-wesleyan,95,60,47,73.83333333333333,66.0
7,"Tue, Nov 28, 2017",akron,70,75,42,73.28571428571429,67.28571428571429
8,"Sat, Dec 2, 2017",tennessee-martin,66,63,45,72.375,66.75
9,"Tue, Dec 5, 2017",marshall,66,70,41,71.66666666666667,67.11111111111111
10,"Sun, Dec 10, 2017",charlotte,64,50,55,70.9,65.4
11,"Sun, Dec 17, 2017",tennessee-tech,76,82,49,71.36363636363636,66.9090909090909
12,"Thu, Dec 21, 2017",jacksonville-state,70,67,52,71.25,66.91666666666667
13,"Sat, Dec 23, 2017",georgia-state,48,71,29,69.46153846153847,67.23076923076923
14,"Sat, Dec 30, 2017",samford,56,73,12,68.5,67.64285714285714
15,"Thu, Jan 4, 2018",western-carolina,63,75,0,68.13333333333334,68.13333333333334
16,"Sat, Jan 6, 2018",east-tennessee-state,66,85,-19,68.0,69.1875
17,"Wed, Jan 10, 2018",furman,55,73,-37,67.23529411764706,69.41176470588235
18,"Sat, Jan 13, 2018",citadel,101,110,-46,69.11111111111111,71.66666666666667
19,"Mon, Jan 15, 2018",mercer,71,75,-50,69.21052631578948,71.84210526315789
20,"Sat, Jan 20, 2018",wofford,67,71,-54,69.1,71.8
21,"Wed, Jan 24, 2018",samford,78,71,-47,69.52380952380952,71.76190476190476
22,"Sat, Jan 27, 2018",virginia-military-institute,69,70,-48,69.5,71.68181818181819
23,"Mon, Jan 29, 2018",north-carolina-greensboro,87,85,-46,70.26086956521739,72.26086956521739
24,"Thu, Feb 1, 2018",western-carolina,68,70,-48,70.16666666666667,72.16666666666667
25,"Sat, Feb 3, 2018",east-tennessee-state,61,81,-68,69.8,72.52
26,"Thu, Feb 8, 2018",citadel,85,82,-65,70.38461538461539,72.88461538461539
27,"Sat, Feb 10, 2018",mercer,75,84,-74,70.55555555555556,73.29629629629629
28,"Thu, Feb 15, 2018",furman,56,75,-93,70.03571428571429,73.35714285714286
29,"Sat, Feb 17, 2018",wofford,64,74,-103,69.82758620689656,73.37931034482759
30,"Fri, Feb 23, 2018",north-carolina-greensboro,51,72,-124,69.2,73.33333333333333
31,"Sun, Feb 25, 2018",virginia-military-institute,65,68,-127,69.06451612903226,73.16129032258064
G,Date,opponent,Tm,Opp,-127,69.06451612903226,73.16129032258064
32,"Fri, Mar 2, 2018",samford,89,79,-117,69.6875,73.34375
33,"Sat, Mar 3, 2018",east-tennessee-state,59,77,-135,69.36363636363636,73.45454545454545
