G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",iowa,62,95,-33,62.0,95.0
2,"Sun, Nov 12, 2017",purdue 20,42,111,-102,52.0,103.0
3,"Tue, Nov 14, 2017",silver-lake,101,53,-54,68.33333333333333,86.33333333333333
4,"Thu, Nov 16, 2017",notre-dame 13,66,105,-93,67.75,91.0
5,"Sat, Nov 18, 2017",northern-iowa,44,82,-131,63.0,89.2
6,"Tue, Nov 21, 2017",east-west,113,65,-83,71.33333333333333,85.16666666666667
7,"Thu, Nov 23, 2017",maryland-baltimore-county,73,84,-94,71.57142857142857,85.0
8,"Fri, Nov 24, 2017",presbyterian,73,75,-96,71.75,83.75
9,"Sun, Nov 26, 2017",drake,67,79,-108,71.22222222222223,83.22222222222223
10,"Wed, Nov 29, 2017",marquette,69,95,-134,71.0,84.4
11,"Sat, Dec 2, 2017",northern-illinois,77,95,-152,71.54545454545455,85.36363636363636
12,"Sat, Dec 9, 2017",oakland,50,82,-184,69.75,85.08333333333333
13,"Mon, Dec 11, 2017",northwestern,31,96,-249,66.76923076923077,85.92307692307692
14,"Sat, Dec 16, 2017",bradley,58,84,-275,66.14285714285714,85.78571428571429
15,"Tue, Dec 19, 2017",southern-illinois-edwardsville,76,88,-287,66.8,85.93333333333334
16,"Wed, Dec 27, 2017",wisconsin,70,82,-299,67.0,85.6875
17,"Sat, Dec 30, 2017",western-michigan,71,92,-320,67.23529411764706,86.05882352941177
18,"Sat, Jan 6, 2018",new-mexico-state,60,97,-357,66.83333333333333,86.66666666666667
19,"Thu, Jan 11, 2018",seattle,64,67,-360,66.6842105263158,85.63157894736842
20,"Sat, Jan 13, 2018",utah-valley,58,83,-385,66.25,85.5
21,"Thu, Jan 18, 2018",grand-canyon,58,86,-413,65.85714285714286,85.52380952380952
22,"Sat, Jan 20, 2018",cal-state-bakersfield,78,89,-424,66.4090909090909,85.68181818181819
23,"Sat, Jan 27, 2018",texas-pan-american,81,87,-430,67.04347826086956,85.73913043478261
24,"Thu, Feb 1, 2018",cal-state-bakersfield,61,91,-460,66.79166666666667,85.95833333333333
25,"Sat, Feb 3, 2018",grand-canyon,55,89,-494,66.32,86.08
26,"Thu, Feb 8, 2018",utah-valley,57,97,-534,65.96153846153847,86.5
27,"Sat, Feb 10, 2018",seattle,81,91,-544,66.51851851851852,86.66666666666667
28,"Thu, Feb 15, 2018",missouri-kansas-city,67,76,-553,66.53571428571429,86.28571428571429
29,"Thu, Feb 22, 2018",new-mexico-state,67,78,-564,66.55172413793103,86.0
30,"Sat, Feb 24, 2018",texas-pan-american,75,83,-572,66.83333333333333,85.9
31,"Sat, Mar 3, 2018",missouri-kansas-city,96,82,-558,67.7741935483871,85.7741935483871
G,Date,opponent,Tm,Opp,-558,67.7741935483871,85.7741935483871
32,"Thu, Mar 8, 2018",new-mexico-state,70,97,-585,67.84375,86.125
