G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",savannah-state,107,77,30,107.0,77.0
2,"Mon, Nov 13, 2017",western-carolina,102,51,81,104.5,64.0
3,"Thu, Nov 16, 2017",coppin-state,97,54,124,102.0,60.666666666666664
4,"Mon, Nov 20, 2017",buffalo,73,67,130,94.75,62.25
5,"Tue, Nov 21, 2017",richmond,75,48,157,90.8,59.4
6,"Wed, Nov 22, 2017",wyoming,78,53,182,88.66666666666667,58.333333333333336
7,"Mon, Nov 27, 2017",alabama-state,83,51,214,87.85714285714286,57.285714285714285
8,"Sat, Dec 2, 2017",xavier 21,76,89,201,86.375,61.25
9,"Sat, Dec 9, 2017",florida 5,60,66,195,83.44444444444444,61.77777777777778
10,"Tue, Dec 12, 2017",mississippi-state,65,50,210,81.6,60.6
11,"Sat, Dec 16, 2017",ucla,77,63,224,81.18181818181819,60.81818181818182
12,"Tue, Dec 19, 2017",arkansas-pine-bluff,77,49,252,80.83333333333333,59.833333333333336
13,"Thu, Dec 21, 2017",cleveland-state,81,62,271,80.84615384615384,60.0
14,"Sun, Dec 31, 2017",memphis,82,48,305,80.92857142857143,59.142857142857146
15,"Thu, Jan 4, 2018",temple,55,53,307,79.2,58.733333333333334
16,"Sun, Jan 7, 2018",southern-methodist,76,56,327,79.0,58.5625
17,"Sat, Jan 13, 2018",south-florida,78,55,350,78.94117647058823,58.35294117647059
18,"Tue, Jan 16, 2018",central-florida,49,38,361,77.27777777777777,57.22222222222222
19,"Sat, Jan 20, 2018",east-carolina,86,60,387,77.73684210526316,57.36842105263158
20,"Wed, Jan 24, 2018",temple,75,42,420,77.6,56.6
21,"Sat, Jan 27, 2018",memphis,62,48,434,76.85714285714286,56.19047619047619
22,"Wed, Jan 31, 2018",houston,80,70,444,77.0,56.81818181818182
23,"Sat, Feb 3, 2018",connecticut,65,57,452,76.47826086956522,56.82608695652174
24,"Tue, Feb 6, 2018",central-florida,77,40,489,76.5,56.125
25,"Sun, Feb 11, 2018",southern-methodist,76,51,514,76.48,55.92
26,"Thu, Feb 15, 2018",houston,62,67,509,75.92307692307692,56.34615384615385
27,"Sun, Feb 18, 2018",wichita-state 19,72,76,505,75.77777777777777,57.074074074074076
28,"Thu, Feb 22, 2018",connecticut,77,52,530,75.82142857142857,56.892857142857146
29,"Sun, Feb 25, 2018",tulsa,82,74,538,76.03448275862068,57.48275862068966
30,"Thu, Mar 1, 2018",tulane,78,49,567,76.1,57.2
31,"Sun, Mar 4, 2018",wichita-state 11,62,61,568,75.64516129032258,57.32258064516129
G,Date,opponent,Tm,Opp,568,75.64516129032258,57.32258064516129
32,"Fri, Mar 9, 2018",southern-methodist,61,51,578,75.1875,57.125
33,"Sat, Mar 10, 2018",memphis,70,60,588,75.03030303030303,57.21212121212121
34,"Sun, Mar 11, 2018",houston 21,56,55,589,74.47058823529412,57.14705882352941
G,Date,opponent,Tm,Opp,589,74.47058823529412,57.14705882352941
35,"Fri, Mar 16, 2018",georgia-state,68,53,604,74.28571428571429,57.02857142857143
36,"Sun, Mar 18, 2018",nevada 24,73,75,602,74.25,57.52777777777778
