G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",oglethorpe,109,73,36,109.0,73.0
2,"Sun, Nov 12, 2017",virginia-tech,93,132,-3,101.0,102.5
3,"Wed, Nov 15, 2017",north-carolina-at,73,92,-22,91.66666666666667,99.0
4,"Sat, Nov 18, 2017",high-point,79,77,-20,88.5,93.5
5,"Tue, Nov 21, 2017",trinity-baptist,116,66,30,94.0,88.0
6,"Fri, Nov 24, 2017",florida-state,78,113,-5,91.33333333333333,92.16666666666667
7,"Fri, Dec 1, 2017",marist,91,100,-14,91.28571428571429,93.28571428571429
8,"Sat, Dec 2, 2017",maryland-baltimore-county,72,98,-40,88.875,93.875
9,"Tue, Dec 5, 2017",james-madison,84,82,-38,88.33333333333333,92.55555555555556
10,"Thu, Dec 14, 2017",campbell,77,87,-48,87.2,92.0
11,"Sat, Dec 16, 2017",point-university,110,66,-4,89.27272727272727,89.63636363636364
12,"Tue, Dec 19, 2017",ohio-state,65,94,-33,87.25,90.0
13,"Sat, Dec 30, 2017",western-carolina,79,81,-35,86.61538461538461,89.3076923076923
14,"Thu, Jan 4, 2018",furman,67,107,-75,85.21428571428571,90.57142857142857
15,"Sat, Jan 6, 2018",wofford,92,109,-92,85.66666666666667,91.8
16,"Thu, Jan 11, 2018",samford,91,107,-108,86.0,92.75
17,"Sat, Jan 13, 2018",chattanooga,110,101,-99,87.41176470588235,93.23529411764706
18,"Thu, Jan 18, 2018",north-carolina-greensboro,58,72,-113,85.77777777777777,92.05555555555556
19,"Sat, Jan 20, 2018",virginia-military-institute,81,88,-120,85.52631578947368,91.84210526315789
20,"Sat, Jan 27, 2018",mercer,76,74,-118,85.05,90.95
21,"Mon, Jan 29, 2018",east-tennessee-state,71,73,-120,84.38095238095238,90.0952380952381
22,"Thu, Feb 1, 2018",wofford,80,78,-118,84.18181818181819,89.54545454545455
23,"Sat, Feb 3, 2018",furman,100,92,-110,84.8695652173913,89.65217391304348
24,"Thu, Feb 8, 2018",chattanooga,82,85,-113,84.75,89.45833333333333
25,"Sat, Feb 10, 2018",samford,103,116,-126,85.48,90.52
26,"Thu, Feb 15, 2018",north-carolina-greensboro,66,82,-142,84.73076923076923,90.1923076923077
27,"Sat, Feb 17, 2018",virginia-military-institute,71,75,-146,84.22222222222223,89.62962962962963
28,"Tue, Feb 20, 2018",east-tennessee-state,84,82,-144,84.21428571428571,89.35714285714286
29,"Fri, Feb 23, 2018",mercer,70,83,-157,83.72413793103448,89.13793103448276
30,"Sun, Feb 25, 2018",western-carolina,75,92,-174,83.43333333333334,89.23333333333333
G,Date,opponent,Tm,Opp,-174,83.43333333333334,89.23333333333333
31,"Fri, Mar 2, 2018",virginia-military-institute,78,70,-166,83.25806451612904,88.61290322580645
32,"Sat, Mar 3, 2018",north-carolina-greensboro,58,72,-180,82.46875,88.09375
