G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",western-carolina,85,57,28,85.0,57.0
2,"Sun, Nov 12, 2017",north-carolina-at,87,63,52,86.0,60.0
3,"Thu, Nov 16, 2017",ohio,81,76,57,84.33333333333333,65.33333333333333
4,"Fri, Nov 17, 2017",hofstra,78,59,76,82.75,63.75
5,"Sun, Nov 19, 2017",temple,60,67,69,78.2,64.4
6,"Fri, Nov 24, 2017",texas-southern,84,77,76,79.16666666666667,66.5
7,"Wed, Nov 29, 2017",ohio-state,79,65,90,79.14285714285714,66.28571428571429
8,"Sun, Dec 3, 2017",north-carolina-asheville,83,52,121,79.625,64.5
9,"Sat, Dec 9, 2017",samford,81,59,143,79.77777777777777,63.888888888888886
10,"Sat, Dec 16, 2017",florida 22,71,69,145,78.9,64.4
11,"Tue, Dec 19, 2017",south-carolina,64,48,161,77.54545454545455,62.90909090909091
12,"Fri, Dec 22, 2017",louisiana-lafayette,89,60,190,78.5,62.666666666666664
13,"Sat, Dec 30, 2017",north-carolina-state,78,62,206,78.46153846153847,62.61538461538461
14,"Wed, Jan 3, 2018",boston-college,74,70,210,78.14285714285714,63.142857142857146
15,"Sat, Jan 6, 2018",louisville,74,69,215,77.86666666666666,63.53333333333333
16,"Thu, Jan 11, 2018",north-carolina-state,77,78,214,77.8125,64.4375
17,"Sat, Jan 13, 2018",miami-fl 18,72,63,223,77.47058823529412,64.3529411764706
18,"Tue, Jan 16, 2018",north-carolina 15,79,87,215,77.55555555555556,65.61111111111111
19,"Sat, Jan 20, 2018",notre-dame,67,58,224,77.0,65.21052631578948
20,"Tue, Jan 23, 2018",virginia 2,36,61,199,74.95,65.0
21,"Sun, Jan 28, 2018",georgia-tech,72,70,201,74.80952380952381,65.23809523809524
22,"Tue, Jan 30, 2018",north-carolina 19,82,78,205,75.13636363636364,65.81818181818181
23,"Sat, Feb 3, 2018",wake-forest,75,67,213,75.1304347826087,65.8695652173913
24,"Thu, Feb 8, 2018",pittsburgh,72,48,237,75.0,65.125
25,"Wed, Feb 14, 2018",florida-state,79,81,235,75.16,65.76
26,"Sun, Feb 18, 2018",duke 12,57,66,226,74.46153846153847,65.76923076923077
27,"Wed, Feb 21, 2018",virginia-tech,58,65,219,73.85185185185185,65.74074074074075
28,"Sat, Feb 24, 2018",georgia-tech,75,67,227,73.89285714285714,65.78571428571429
29,"Wed, Feb 28, 2018",florida-state,76,63,240,73.96551724137932,65.6896551724138
30,"Sat, Mar 3, 2018",syracuse,52,55,237,73.23333333333333,65.33333333333333
G,Date,opponent,Tm,Opp,237,73.23333333333333,65.33333333333333
31,"Thu, Mar 8, 2018",boston-college,90,82,245,73.7741935483871,65.87096774193549
32,"Fri, Mar 9, 2018",virginia 1,58,64,239,73.28125,65.8125
G,Date,opponent,Tm,Opp,239,73.28125,65.8125
33,"Fri, Mar 16, 2018",new-mexico-state,79,68,250,73.45454545454545,65.87878787878788
34,"Sun, Mar 18, 2018",auburn 19,84,53,281,73.76470588235294,65.5
35,"Fri, Mar 23, 2018",kansas 4,76,80,277,73.82857142857142,65.91428571428571
