G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",akron,57,67,-10,57.0,67.0
2,"Tue, Nov 14, 2017",rutgers,38,70,-42,47.5,68.5
3,"Fri, Nov 17, 2017",coppin-state,80,56,-18,58.333333333333336,64.33333333333333
4,"Mon, Nov 20, 2017",east-carolina,69,72,-21,61.0,66.25
5,"Fri, Nov 24, 2017",central-connecticut-state,73,74,-22,63.4,67.8
6,"Wed, Nov 29, 2017",arkansas-state,75,72,-19,65.33333333333333,68.5
7,"Sat, Dec 2, 2017",kent-state,62,72,-29,64.85714285714286,69.0
8,"Wed, Dec 6, 2017",western-michigan,67,78,-40,65.125,70.125
9,"Sun, Dec 10, 2017",notre-dame-ca,89,56,-7,67.77777777777777,68.55555555555556
10,"Tue, Dec 19, 2017",niagara,77,79,-9,68.7,69.6
11,"Thu, Dec 21, 2017",cincinnati 20,62,81,-28,68.0909090909091,70.63636363636364
12,"Sat, Dec 23, 2017",toledo,62,77,-43,67.58333333333333,71.16666666666667
13,"Fri, Dec 29, 2017",michigan-state 2,61,111,-93,67.07692307692308,74.23076923076923
14,"Mon, Jan 1, 2018",youngstown-state,77,80,-96,67.78571428571429,74.64285714285714
15,"Thu, Jan 4, 2018",green-bay,80,79,-95,68.6,74.93333333333334
16,"Sat, Jan 6, 2018",milwaukee,63,67,-99,68.25,74.4375
17,"Wed, Jan 10, 2018",detroit-mercy,84,85,-100,69.17647058823529,75.05882352941177
18,"Fri, Jan 12, 2018",oakland,68,81,-113,69.11111111111111,75.38888888888889
19,"Mon, Jan 15, 2018",northern-kentucky,55,70,-128,68.36842105263158,75.10526315789474
20,"Thu, Jan 18, 2018",iupui,70,67,-125,68.45,74.7
21,"Sat, Jan 20, 2018",illinois-chicago,80,87,-132,69.0,75.28571428571429
22,"Thu, Jan 25, 2018",green-bay,44,66,-154,67.86363636363636,74.86363636363636
23,"Sat, Jan 27, 2018",milwaukee,47,70,-177,66.95652173913044,74.65217391304348
24,"Thu, Feb 1, 2018",wright-state,77,74,-174,67.375,74.625
25,"Sat, Feb 3, 2018",northern-kentucky,61,78,-191,67.12,74.76
26,"Thu, Feb 8, 2018",iupui,73,78,-196,67.34615384615384,74.88461538461539
27,"Sat, Feb 10, 2018",illinois-chicago,86,78,-188,68.03703703703704,75.0
28,"Wed, Feb 14, 2018",detroit-mercy,75,72,-185,68.28571428571429,74.89285714285714
29,"Fri, Feb 16, 2018",oakland,66,82,-201,68.20689655172414,75.13793103448276
30,"Mon, Feb 19, 2018",wright-state,63,72,-210,68.03333333333333,75.03333333333333
31,"Sat, Feb 24, 2018",youngstown-state,99,94,-205,69.03225806451613,75.64516129032258
G,Date,opponent,Tm,Opp,-205,69.03225806451613,75.64516129032258
32,"Fri, Mar 2, 2018",youngstown-state,72,71,-204,69.125,75.5
33,"Sat, Mar 3, 2018",northern-kentucky,89,80,-195,69.72727272727273,75.63636363636364
34,"Mon, Mar 5, 2018",oakland,44,43,-194,68.97058823529412,74.67647058823529
35,"Tue, Mar 6, 2018",wright-state,57,74,-211,68.62857142857143,74.65714285714286
