G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",piedmont,102,50,52,102.0,50.0
2,"Tue, Nov 14, 2017",lamar,60,66,46,81.0,58.0
3,"Fri, Nov 17, 2017",texas-san-antonio,83,69,60,81.66666666666667,61.666666666666664
4,"Sat, Nov 18, 2017",vermont,67,80,47,78.0,66.25
5,"Sun, Nov 19, 2017",iona,89,84,52,80.2,69.8
6,"Wed, Nov 22, 2017",st-andrews,70,34,88,78.5,63.833333333333336
7,"Wed, Nov 29, 2017",wofford,81,87,82,78.85714285714286,67.14285714285714
8,"Sat, Dec 2, 2017",lamar,67,69,80,77.375,67.375
9,"Wed, Dec 6, 2017",hampton,85,81,84,78.22222222222223,68.88888888888889
10,"Sat, Dec 9, 2017",south-carolina,78,80,82,78.2,70.0
11,"Sat, Dec 16, 2017",montreat,83,70,95,78.63636363636364,70.0
12,"Mon, Dec 18, 2017",wake-forest,80,84,91,78.75,71.16666666666667
13,"Fri, Dec 22, 2017",college-of-charleston,65,67,89,77.6923076923077,70.84615384615384
14,"Fri, Dec 29, 2017",texas-arlington,90,65,114,78.57142857142857,70.42857142857143
15,"Sun, Dec 31, 2017",texas-state,48,53,109,76.53333333333333,69.26666666666667
16,"Thu, Jan 4, 2018",louisiana-monroe,72,82,99,76.25,70.0625
17,"Sat, Jan 6, 2018",louisiana-lafayette,64,81,82,75.52941176470588,70.70588235294117
18,"Thu, Jan 11, 2018",georgia-southern,66,77,71,75.0,71.05555555555556
19,"Sat, Jan 13, 2018",georgia-state,58,72,57,74.10526315789474,71.10526315789474
20,"Thu, Jan 18, 2018",south-alabama,57,60,54,73.25,70.55
21,"Sat, Jan 20, 2018",troy,74,73,55,73.28571428571429,70.66666666666667
22,"Thu, Jan 25, 2018",arkansas-state,62,47,70,72.77272727272727,69.5909090909091
23,"Sat, Jan 27, 2018",arkansas-little-rock,72,62,80,72.73913043478261,69.26086956521739
24,"Thu, Feb 1, 2018",texas-state,56,54,82,72.04166666666667,68.625
25,"Sat, Feb 3, 2018",texas-arlington,80,87,75,72.36,69.36
26,"Sat, Feb 10, 2018",appalachian-state,66,81,60,72.11538461538461,69.8076923076923
27,"Thu, Feb 15, 2018",troy,65,66,59,71.85185185185185,69.66666666666667
28,"Sat, Feb 17, 2018",south-alabama,72,70,61,71.85714285714286,69.67857142857143
29,"Thu, Feb 22, 2018",arkansas-little-rock,65,60,66,71.62068965517241,69.34482758620689
30,"Sat, Feb 24, 2018",arkansas-state,88,81,73,72.16666666666667,69.73333333333333
31,"Sat, Mar 3, 2018",appalachian-state,67,76,64,72.0,69.93548387096774
G,Date,opponent,Tm,Opp,64,72.0,69.93548387096774
32,"Wed, Mar 7, 2018",texas-state,66,73,57,71.8125,70.03125
