G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",connecticut,58,70,-12,58.0,70.0
2,"Thu, Nov 16, 2017",cornell,72,61,-1,65.0,65.5
3,"Sun, Nov 19, 2017",maryland-baltimore-county,93,88,4,74.33333333333333,73.0
4,"Wed, Nov 22, 2017",boston-college,79,83,0,75.5,75.5
5,"Sat, Nov 25, 2017",columbia,77,71,6,75.8,74.6
6,"Wed, Nov 29, 2017",albany-ny,69,75,0,74.66666666666667,74.66666666666667
7,"Sat, Dec 2, 2017",binghamton,65,76,-11,73.28571428571429,74.85714285714286
8,"Wed, Dec 6, 2017",marist,76,78,-13,73.625,75.25
9,"Sat, Dec 9, 2017",syracuse,58,72,-27,71.88888888888889,74.88888888888889
10,"Tue, Dec 12, 2017",njit,87,76,-16,73.4,75.0
11,"Fri, Dec 22, 2017",pittsburgh-bradford,103,52,35,76.0909090909091,72.9090909090909
12,"Fri, Dec 29, 2017",holy-cross,79,74,40,76.33333333333333,73.0
13,"Tue, Jan 2, 2018",american,72,63,49,76.0,72.23076923076923
14,"Fri, Jan 5, 2018",lafayette,68,71,46,75.42857142857143,72.14285714285714
15,"Mon, Jan 8, 2018",navy,70,62,54,75.06666666666666,71.46666666666667
16,"Thu, Jan 11, 2018",boston-university,58,72,40,74.0,71.5
17,"Mon, Jan 15, 2018",bucknell,51,63,28,72.6470588235294,71.0
18,"Wed, Jan 17, 2018",lehigh,76,72,32,72.83333333333333,71.05555555555556
19,"Sat, Jan 20, 2018",loyola-md,77,72,37,73.05263157894737,71.10526315789474
20,"Wed, Jan 24, 2018",army,81,78,40,73.45,71.45
21,"Sat, Jan 27, 2018",american,83,69,54,73.9047619047619,71.33333333333333
22,"Wed, Jan 31, 2018",lafayette,83,93,44,74.31818181818181,72.31818181818181
23,"Sun, Feb 4, 2018",navy,69,64,49,74.08695652173913,71.95652173913044
24,"Wed, Feb 7, 2018",boston-university,74,60,63,74.08333333333333,71.45833333333333
25,"Mon, Feb 12, 2018",bucknell,64,65,62,73.68,71.2
26,"Wed, Feb 14, 2018",lehigh,78,88,52,73.84615384615384,71.84615384615384
27,"Sun, Feb 18, 2018",loyola-md,68,47,73,73.62962962962963,70.92592592592592
28,"Wed, Feb 21, 2018",army,87,83,77,74.10714285714286,71.35714285714286
29,"Sat, Feb 24, 2018",holy-cross,59,53,83,73.58620689655173,70.72413793103448
G,Date,opponent,Tm,Opp,83,73.58620689655173,70.72413793103448
30,"Thu, Mar 1, 2018",lafayette,76,54,105,73.66666666666667,70.16666666666667
31,"Sun, Mar 4, 2018",holy-cross,62,55,112,73.29032258064517,69.6774193548387
32,"Wed, Mar 7, 2018",bucknell,54,83,83,72.6875,70.09375
G,Date,opponent,Tm,Opp,83,72.6875,70.09375
33,"Wed, Mar 14, 2018",san-francisco,68,72,79,72.54545454545455,70.15151515151516
