G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",siena,68,60,8,68.0,60.0
2,"Mon, Nov 13, 2017",wichita-state 6,63,81,-10,65.5,70.5
3,"Sat, Nov 18, 2017",charlotte,81,72,-1,70.66666666666667,71.0
4,"Wed, Nov 22, 2017",cal-poly,68,73,-6,70.0,71.5
5,"Thu, Nov 23, 2017",sam-houston-state,59,49,4,67.8,67.0
6,"Sat, Nov 25, 2017",alaska-anchorage,55,46,13,65.66666666666667,63.5
7,"Thu, Nov 30, 2017",western-carolina,69,60,22,66.14285714285714,63.0
8,"Mon, Dec 4, 2017",high-point,70,58,34,66.625,62.375
9,"Sun, Dec 10, 2017",north-greenville,92,60,66,69.44444444444444,62.111111111111114
10,"Sat, Dec 16, 2017",rhode-island,62,68,60,68.7,62.7
11,"Tue, Dec 19, 2017",south-carolina-state,80,64,76,69.72727272727273,62.81818181818182
12,"Fri, Dec 22, 2017",coastal-carolina,67,65,78,69.5,63.0
13,"Sat, Dec 30, 2017",towson,73,62,89,69.76923076923077,62.92307692307692
14,"Tue, Jan 2, 2018",delaware,93,78,104,71.42857142857143,64.0
15,"Fri, Jan 5, 2018",drexel,82,87,99,72.13333333333334,65.53333333333333
16,"Sun, Jan 7, 2018",towson,62,73,88,71.5,66.0
17,"Thu, Jan 11, 2018",northeastern,82,66,104,72.11764705882354,66.0
18,"Sat, Jan 13, 2018",elon,58,63,99,71.33333333333333,65.83333333333333
19,"Thu, Jan 18, 2018",north-carolina-wilmington,80,76,103,71.78947368421052,66.36842105263158
20,"Sat, Jan 20, 2018",hofstra,76,70,109,72.0,66.55
21,"Thu, Jan 25, 2018",delaware,62,54,117,71.52380952380952,65.95238095238095
22,"Sat, Jan 27, 2018",james-madison,66,59,124,71.27272727272727,65.63636363636364
23,"Thu, Feb 1, 2018",northeastern,69,64,129,71.17391304347827,65.56521739130434
24,"Sat, Feb 3, 2018",hofstra,86,85,130,71.79166666666667,66.375
25,"Thu, Feb 8, 2018",william-mary,82,77,135,72.2,66.8
26,"Sat, Feb 10, 2018",drexel,89,67,157,72.84615384615384,66.8076923076923
27,"Thu, Feb 15, 2018",james-madison,81,78,160,73.14814814814815,67.22222222222223
28,"Sat, Feb 17, 2018",north-carolina-wilmington,88,74,174,73.67857142857143,67.46428571428571
29,"Thu, Feb 22, 2018",elon,79,58,195,73.86206896551724,67.13793103448276
30,"Sat, Feb 24, 2018",william-mary,104,114,185,74.86666666666666,68.7
G,Date,opponent,Tm,Opp,185,74.86666666666666,68.7
31,"Sun, Mar 4, 2018",drexel,66,59,192,74.58064516129032,68.38709677419355
32,"Mon, Mar 5, 2018",william-mary,83,73,202,74.84375,68.53125
33,"Tue, Mar 6, 2018",northeastern,83,76,209,75.0909090909091,68.75757575757575
G,Date,opponent,Tm,Opp,209,75.0909090909091,68.75757575757575
34,"Fri, Mar 16, 2018",auburn 19,58,62,205,74.58823529411765,68.55882352941177
