G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",sacramento-state,72,61,11,72.0,61.0
2,"Tue, Nov 14, 2017",winthrop,80,76,15,76.0,68.5
3,"Fri, Nov 17, 2017",tulane,53,80,-12,68.33333333333333,72.33333333333333
4,"Sun, Nov 19, 2017",florida-state,73,90,-29,69.5,76.75
5,"Wed, Nov 22, 2017",new-mexico-state,76,89,-42,70.8,79.2
6,"Fri, Nov 24, 2017",northwestern-state,72,60,-30,71.0,76.0
7,"Tue, Nov 28, 2017",missouri-state,67,77,-40,70.42857142857143,76.14285714285714
8,"Sat, Dec 2, 2017",colorado,72,63,-31,70.625,74.5
9,"Tue, Dec 5, 2017",arkansas,66,92,-57,70.11111111111111,76.44444444444444
10,"Fri, Dec 8, 2017",oregon,65,95,-87,69.6,78.3
11,"Sun, Dec 17, 2017",texas-state,66,58,-79,69.27272727272727,76.45454545454545
12,"Tue, Dec 19, 2017",arkansas-fort-smith,87,73,-65,70.75,76.16666666666667
13,"Sat, Dec 23, 2017",long-beach-state,68,66,-63,70.53846153846153,75.38461538461539
14,"Wed, Dec 27, 2017",boise-state,71,93,-85,70.57142857142857,76.64285714285714
15,"Sat, Dec 30, 2017",san-jose-state,59,52,-78,69.8,75.0
16,"Tue, Jan 2, 2018",san-diego-state,68,77,-87,69.6875,75.125
17,"Sat, Jan 6, 2018",fresno-state,79,82,-90,70.23529411764706,75.52941176470588
18,"Wed, Jan 10, 2018",utah-state,84,75,-81,71.0,75.5
19,"Sat, Jan 13, 2018",wyoming,78,73,-76,71.36842105263158,75.36842105263158
20,"Wed, Jan 17, 2018",air-force,71,76,-81,71.35,75.4
21,"Sat, Jan 20, 2018",nevada-las-vegas,74,79,-86,71.47619047619048,75.57142857142857
22,"Wed, Jan 24, 2018",san-diego-state,78,97,-105,71.77272727272727,76.54545454545455
23,"Sat, Jan 27, 2018",new-mexico,65,80,-120,71.47826086956522,76.69565217391305
24,"Wed, Jan 31, 2018",wyoming,86,91,-125,72.08333333333333,77.29166666666667
25,"Sat, Feb 3, 2018",nevada,67,76,-134,71.88,77.24
26,"Tue, Feb 6, 2018",air-force,73,78,-139,71.92307692307692,77.26923076923077
27,"Sat, Feb 10, 2018",san-jose-state,90,79,-128,72.5925925925926,77.33333333333333
28,"Sat, Feb 17, 2018",fresno-state,65,86,-149,72.32142857142857,77.64285714285714
29,"Wed, Feb 21, 2018",boise-state,54,87,-182,71.6896551724138,77.96551724137932
30,"Sun, Feb 25, 2018",nevada 20,83,92,-191,72.06666666666666,78.43333333333334
31,"Wed, Feb 28, 2018",new-mexico,87,108,-212,72.54838709677419,79.38709677419355
G,Date,opponent,Tm,Opp,-212,72.54838709677419,79.38709677419355
32,"Wed, Mar 7, 2018",utah-state,65,76,-223,72.3125,79.28125
