G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",northern-colorado,66,51,15,66.0,51.0
2,"Tue, Nov 14, 2017",denver,89,62,42,77.5,56.5
3,"Fri, Nov 17, 2017",quinnipiac,70,69,43,75.0,60.666666666666664
4,"Sat, Nov 18, 2017",drake,86,81,48,77.75,65.75
5,"Sun, Nov 19, 2017",mercer,79,70,57,78.0,66.6
6,"Sun, Nov 26, 2017",air-force,81,69,69,78.5,67.0
7,"Sat, Dec 2, 2017",colorado-state,63,72,60,76.28571428571429,67.71428571428571
8,"Wed, Dec 6, 2017",new-mexico,75,57,78,76.125,66.375
9,"Sat, Dec 9, 2017",xavier 13,69,96,51,75.33333333333333,69.66666666666667
10,"Tue, Dec 12, 2017",san-diego,59,69,41,73.7,69.6
11,"Fri, Dec 15, 2017",south-dakota-state,112,103,50,77.18181818181819,72.63636363636364
12,"Fri, Dec 22, 2017",iowa,73,80,43,76.83333333333333,73.25
13,"Fri, Dec 29, 2017",oregon-state,57,76,24,75.3076923076923,73.46153846153847
14,"Sun, Dec 31, 2017",oregon,62,77,9,74.35714285714286,73.71428571428571
15,"Thu, Jan 4, 2018",arizona-state 4,90,81,18,75.4,74.2
16,"Sat, Jan 6, 2018",arizona 14,80,77,21,75.6875,74.375
17,"Wed, Jan 10, 2018",southern-california,58,70,9,74.6470588235294,74.11764705882354
18,"Sat, Jan 13, 2018",ucla,68,59,18,74.27777777777777,73.27777777777777
19,"Thu, Jan 18, 2018",washington-state,82,73,27,74.6842105263158,73.26315789473684
20,"Sat, Jan 20, 2018",washington,62,72,17,74.05,73.2
21,"Thu, Jan 25, 2018",arizona 11,71,80,8,73.9047619047619,73.52380952380952
22,"Sat, Jan 27, 2018",arizona-state 21,66,80,-6,73.54545454545455,73.81818181818181
23,"Fri, Feb 2, 2018",utah,67,55,6,73.26086956521739,73.0
24,"Wed, Feb 7, 2018",california,68,64,10,73.04166666666667,72.625
25,"Sun, Feb 11, 2018",stanford,64,56,18,72.68,71.96
26,"Thu, Feb 15, 2018",washington-state,69,73,14,72.53846153846153,72.0
27,"Sat, Feb 17, 2018",washington,59,82,-9,72.03703703703704,72.37037037037037
28,"Wed, Feb 21, 2018",southern-california,64,75,-20,71.75,72.46428571428571
29,"Sun, Feb 25, 2018",ucla,80,76,-16,72.03448275862068,72.58620689655173
30,"Sat, Mar 3, 2018",utah,54,64,-26,71.43333333333334,72.3
G,Date,opponent,Tm,Opp,-26,71.43333333333334,72.3
31,"Wed, Mar 7, 2018",arizona-state,97,85,-14,72.25806451612904,72.70967741935483
32,"Thu, Mar 8, 2018",arizona 15,67,83,-30,72.09375,73.03125
