G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",villanova 6,60,75,-15,60.0,75.0
2,"Tue, Nov 14, 2017",longwood,87,77,-5,73.5,76.0
3,"Fri, Nov 17, 2017",penn-state,65,79,-19,70.66666666666667,77.0
4,"Tue, Nov 21, 2017",army,78,88,-29,72.5,79.75
5,"Sat, Nov 25, 2017",colgate,71,77,-35,72.2,79.2
6,"Wed, Nov 29, 2017",connecticut,73,77,-39,72.33333333333333,78.83333333333333
7,"Sat, Dec 2, 2017",albany-ny,82,86,-43,73.71428571428571,79.85714285714286
8,"Mon, Dec 4, 2017",quinnipiac,87,89,-45,75.375,81.0
9,"Thu, Dec 7, 2017",stony-brook,66,76,-55,74.33333333333333,80.44444444444444
10,"Sun, Dec 10, 2017",navy,68,73,-60,73.7,79.7
11,"Tue, Dec 12, 2017",boston-college,66,81,-75,73.0,79.81818181818181
12,"Sat, Dec 30, 2017",maine,83,71,-63,73.83333333333333,79.08333333333333
13,"Sat, Jan 6, 2018",sarah-lawrence,87,42,-18,74.84615384615384,76.23076923076923
14,"Fri, Jan 12, 2018",princeton,56,72,-34,73.5,75.92857142857143
15,"Sat, Jan 13, 2018",pennsylvania,71,77,-40,73.33333333333333,76.0
16,"Sat, Jan 20, 2018",cornell,88,62,-14,74.25,75.125
17,"Sat, Jan 27, 2018",cornell,81,82,-15,74.6470588235294,75.52941176470588
18,"Fri, Feb 2, 2018",harvard,83,76,-8,75.11111111111111,75.55555555555556
19,"Sat, Feb 3, 2018",dartmouth,77,74,-5,75.21052631578948,75.47368421052632
20,"Fri, Feb 9, 2018",yale,84,88,-9,75.65,76.1
21,"Sat, Feb 10, 2018",brown,88,91,-12,76.23809523809524,76.80952380952381
22,"Fri, Feb 16, 2018",pennsylvania,62,74,-24,75.5909090909091,76.68181818181819
23,"Sat, Feb 17, 2018",princeton,85,60,1,76.0,75.95652173913044
24,"Fri, Feb 23, 2018",brown,89,82,8,76.54166666666667,76.20833333333333
25,"Sat, Feb 24, 2018",yale,73,83,-2,76.4,76.48
26,"Fri, Mar 2, 2018",dartmouth,78,80,-4,76.46153846153847,76.61538461538461
27,"Sat, Mar 3, 2018",harvard,74,93,-23,76.37037037037037,77.22222222222223
