G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",colgate,70,58,12,70.0,58.0
2,"Tue, Nov 14, 2017",stony-brook,72,64,20,71.0,61.0
3,"Sun, Nov 19, 2017",boston-university,85,66,39,75.66666666666667,62.666666666666664
4,"Thu, Nov 23, 2017",oregon,71,63,47,74.5,62.75
5,"Sat, Nov 25, 2017",michigan-state 4,57,77,27,71.0,65.6
6,"Sun, Nov 26, 2017",arkansas,67,102,-8,70.33333333333333,71.66666666666667
7,"Wed, Nov 29, 2017",columbia,77,73,-4,71.28571428571429,71.85714285714286
8,"Sat, Dec 2, 2017",monmouth,84,81,-1,72.875,73.0
9,"Tue, Dec 5, 2017",syracuse,63,72,-10,71.77777777777777,72.88888888888889
10,"Sat, Dec 9, 2017",coppin-state,72,59,3,71.8,71.5
11,"Thu, Dec 21, 2017",arizona 18,58,73,-12,70.54545454545455,71.63636363636364
12,"Sat, Dec 23, 2017",auburn,64,89,-37,70.0,73.08333333333333
13,"Sat, Dec 30, 2017",wichita-state 8,62,72,-47,69.38461538461539,73.0
14,"Wed, Jan 3, 2018",tulsa,88,90,-49,70.71428571428571,74.21428571428571
15,"Sat, Jan 6, 2018",east-carolina,70,65,-44,70.66666666666667,73.6
16,"Wed, Jan 10, 2018",central-florida,62,53,-35,70.125,72.3125
17,"Sat, Jan 13, 2018",tulane,67,57,-25,69.94117647058823,71.41176470588235
18,"Tue, Jan 16, 2018",memphis,49,73,-49,68.77777777777777,71.5
19,"Sat, Jan 20, 2018",villanova 1,61,81,-69,68.36842105263158,72.0
20,"Thu, Jan 25, 2018",southern-methodist,63,52,-58,68.1,71.0
21,"Sun, Jan 28, 2018",temple,57,85,-86,67.57142857142857,71.66666666666667
22,"Wed, Jan 31, 2018",central-florida,61,70,-95,67.27272727272727,71.5909090909091
23,"Sat, Feb 3, 2018",cincinnati 8,57,65,-103,66.82608695652173,71.30434782608695
24,"Wed, Feb 7, 2018",south-florida,68,65,-100,66.875,71.04166666666667
25,"Sat, Feb 10, 2018",wichita-state 22,74,95,-121,67.16,72.0
26,"Thu, Feb 15, 2018",tulsa,71,73,-123,67.3076923076923,72.03846153846153
27,"Sun, Feb 18, 2018",east-carolina,84,80,-119,67.92592592592592,72.33333333333333
28,"Thu, Feb 22, 2018",cincinnati 11,52,77,-144,67.35714285714286,72.5
29,"Sun, Feb 25, 2018",memphis,79,83,-148,67.75862068965517,72.86206896551724
30,"Wed, Feb 28, 2018",temple,72,66,-142,67.9,72.63333333333334
31,"Sun, Mar 4, 2018",houston 25,71,81,-152,68.0,72.90322580645162
G,Date,opponent,Tm,Opp,-152,68.0,72.90322580645162
32,"Thu, Mar 8, 2018",southern-methodist,73,80,-159,68.15625,73.125
